 	la	femme	qu'	il	a	épousée	n'	a	pas	encore	mis	au	monde	</S>
o	0.789608	0.0331384	0.0295423	0.0203811	0.0128458	0.0353855	0.0146351	0.0115009	0.0104695	0.00457759	0.0284612	0.00766789	0.000967327	0.000819573
y	0.236484	0.653816	0.0319989	0.00422487	0.0049027	0.00368174	0.00240895	0.00214013	0.00432996	0.0181569	0.0215274	0.00414543	0.0065573	0.0056255
ú	0.669918	0.301281	0.0043087	0.000822051	0.00101358	0.0020353	0.0028216	0.00178648	0.00262519	0.00880942	0.00191396	0.000682924	0.000633199	0.00134939
r	0.703244	0.0946799	0.0106625	0.001321	0.00222557	0.000976226	0.00607108	0.00507643	0.0173591	0.0235152	0.0102099	0.0146805	0.0159166	0.0940621
u	0.734348	0.0382146	0.0730054	0.0173186	0.0127624	0.00741011	0.0127849	0.00879712	0.01859	0.0118894	0.0186789	0.0157062	0.0161736	0.0143204
y	0.0816434	0.0317849	0.474531	0.185998	0.0796229	0.0325564	0.0312851	0.0226485	0.0112376	0.0135485	0.0051954	0.00862052	0.00230238	0.0190258
é	0.396973	0.0171353	0.28191	0.0924021	0.0422077	0.0268005	0.0418449	0.0242959	0.0229693	0.0279954	0.00175397	0.0062616	0.00234258	0.015108
e	0.188235	0.00888094	0.323932	0.206241	0.091817	0.0505727	0.0589629	0.0294372	0.0143104	0.00733634	0.00106358	0.0050978	0.00156269	0.0125506
b	0.0108308	0.00710938	0.0488678	0.0543577	0.327215	0.293974	0.0394941	0.0260281	0.0130811	0.0363071	0.073751	0.011971	0.013247	0.0437662
a	0.00993347	0.000808701	0.0288474	0.0382349	0.152922	0.336317	0.0394626	0.0361092	0.0195984	0.0228518	0.264518	0.0121805	0.0137677	0.0244482
n	0.0270307	0.00458501	0.119231	0.0696656	0.203353	0.213661	0.0357045	0.019922	0.015288	0.0155662	0.150178	0.0155284	0.0101735	0.100112
d	0.0796826	0.00276266	0.0776456	0.0986017	0.226473	0.130831	0.124649	0.0580173	0.0521544	0.0319046	0.0455359	0.010906	0.00637529	0.0544609
í	0.0305735	0.0101783	0.184315	0.149408	0.15299	0.198831	0.104607	0.0316644	0.0236685	0.0136088	0.0103173	0.0061175	0.00751594	0.0762042
w	0.0152988	0.000327038	0.0782362	0.174898	0.147286	0.0741379	0.200655	0.144733	0.0868146	0.0407945	0.00869705	0.0196275	0.0017231	0.00677091
a	0.0111553	0.000193948	0.0877527	0.188615	0.149389	0.15152	0.153675	0.1208	0.0654223	0.011657	0.00962469	0.0139115	0.00890598	0.0273776
a	0.00267941	0.000118295	0.0248522	0.050343	0.0671812	0.0841091	0.190522	0.239337	0.172382	0.0763941	0.0223214	0.0364799	0.00991143	0.0233697
s	0.00240413	8.75932e-05	0.0138117	0.0118249	0.0395254	0.0144894	0.0331347	0.075219	0.131024	0.395374	0.138294	0.0872586	0.027727	0.0298253
á	0.00112086	0.000380818	0.00155935	0.000836995	0.00508286	0.00139016	0.0182263	0.0301402	0.120745	0.557295	0.0873676	0.0975368	0.0166887	0.0616297
a	0.0021802	7.93492e-05	0.00221909	0.00321359	0.0125609	0.0028402	0.0384999	0.0571472	0.16422	0.30539	0.0804667	0.224029	0.0339738	0.0731803
o	0.00363355	0.00013339	0.00498282	0.0065496	0.0102682	0.00357442	0.0129854	0.0249098	0.0755528	0.117433	0.120089	0.377567	0.107573	0.134748
t	0.0002575	0.000325231	0.000842488	0.000319933	0.00249677	0.00140529	0.00112909	0.000934006	0.00721323	0.0162589	0.0609341	0.147414	0.720074	0.0403947
ú	6.39096e-05	0.000178207	0.00134542	0.000525196	0.00269305	0.00772038	0.00557405	0.00657597	0.0289801	0.021682	0.117679	0.0739859	0.575005	0.157991
m	0.00339011	0.000365361	0.000666266	0.000449224	0.00134375	0.000787657	0.00513142	0.00531216	0.0297395	0.0182508	0.0686786	0.121597	0.251981	0.492308
b	0.0240934	0.000111586	0.00844072	0.0130239	0.0194076	0.010372	0.0518077	0.0576031	0.0780849	0.0159542	0.0485577	0.21032	0.303974	0.15825
á	0.195496	0.000253245	0.00654892	0.0155415	0.0162503	0.00506246	0.0196492	0.0157836	0.0471005	0.0149377	0.118152	0.155222	0.134876	0.255127
</S>	0.00614521	0.000120169	0.00611676	0.0161163	0.00841116	0.00320851	0.0134668	0.0224178	0.0424873	0.0173586	0.0343946	0.0937856	0.0951719	0.640799
