 	le	féticheur	lui	a	attaché	une	amulette	pour	le	protéger	contre	les	sorciers	</S>
n	0.314876	0.629804	0.0322738	0.00469745	0.00513461	0.00544173	0.00292205	0.00214012	0.00168406	0.00066104	0.000241758	0.000112294	3.8264e-06	7.04845e-06
g	0.0374917	0.961984	0.00030133	6.22729e-05	4.67153e-05	4.99378e-05	1.27129e-05	1.81503e-05	8.79728e-06	1.28304e-05	6.71756e-06	3.79092e-06	4.8459e-07	3.13112e-07
a	0.00436483	0.995137	0.000164879	4.68057e-05	0.000171556	6.11822e-05	2.17637e-05	6.43629e-06	7.67589e-06	7.25965e-06	4.55581e-06	8.71818e-07	4.23249e-06	6.71231e-07
n	0.158473	0.753109	0.0166443	0.00829935	0.0363976	0.00624677	0.00121467	0.000909747	0.00128694	0.00185101	0.00177111	0.000427205	0.00191748	0.0114524
g	0.406162	0.464579	0.0781577	0.0165675	0.00869602	0.00554475	0.00190332	0.00369518	0.00162115	0.003168	0.00184331	0.00062924	0.000314298	0.00711863
a	0.162521	0.559452	0.164228	0.0253098	0.0558033	0.00944442	0.00196182	0.00233317	0.0016836	0.00283963	0.00214901	0.000492642	0.000749815	0.0110315
á	0.0375907	0.00384367	0.649586	0.227112	0.03082	0.0113343	0.00428664	0.00618977	0.00351548	0.0057487	0.00576318	0.00696279	0.000598547	0.00664843
k	0.0085869	0.00263629	0.0814267	0.611436	0.224417	0.0331706	0.0128307	0.00239797	0.00266982	0.00332797	0.00415845	0.00630389	0.00100743	0.00562981
a	0.00175166	0.000632953	0.0113429	0.227167	0.690461	0.03085	0.0219785	0.001465	0.00254969	0.00182863	0.00387054	0.00317992	0.000406305	0.00251631
n	0.00307677	0.00126759	0.00406281	0.0525714	0.887005	0.0192439	0.0226692	0.000760781	0.00108265	0.000769685	0.00223165	0.00202692	0.00102001	0.00221137
g	0.0493665	0.004128	0.0897694	0.27196	0.44669	0.063346	0.0194708	0.0080016	0.00582288	0.00735468	0.00970856	0.0079559	0.00319496	0.0132302
i	0.110005	0.0128564	0.22493	0.147492	0.32864	0.103077	0.0133157	0.010507	0.00911714	0.00977485	0.00570569	0.00270014	0.00222402	0.0196545
w	0.0112127	0.00185394	0.486326	0.155071	0.0432419	0.187477	0.0241806	0.0255096	0.0155258	0.0194285	0.0102026	0.00806503	0.00047887	0.0114272
á	0.0312315	0.00403847	0.156734	0.119745	0.216069	0.238714	0.0686158	0.0323636	0.0388503	0.0332104	0.0328191	0.00771348	0.000383034	0.0195122
e	0.0141041	0.00124241	0.226839	0.159016	0.0171646	0.27822	0.0331043	0.0855741	0.049185	0.0633392	0.0277334	0.0108017	0.000856755	0.0328201
k	0.000743995	0.000758547	0.0036247	0.0165676	0.114796	0.391102	0.400553	0.0221464	0.0224812	0.0116785	0.00782308	0.00303685	0.00238093	0.00230772
