 	c'	est	une	très	belle	femme	</S>
é	0.63894	0.320651	0.0223587	0.00810886	0.00931921	0.000356469	0.000265394
d	0.18809	0.599848	0.1378	0.0358187	0.00235561	0.0312288	0.00485958
í	0.0771778	0.505539	0.28923	0.108723	0.0030754	0.0110309	0.00522339
ε	0.051786	0.415921	0.345367	0.0884213	0.0264333	0.0321134	0.0399576
s	0.0118283	0.0413522	0.398468	0.386304	0.0484551	0.0787807	0.0348119
w	0.00301234	0.0139688	0.192939	0.522575	0.032856	0.0841783	0.15047
ε	0.0107975	0.00435954	0.125145	0.390797	0.272827	0.165357	0.0307177
n	0.00618328	0.010962	0.18305	0.359898	0.187182	0.00297189	0.249753
g	0.0322712	0.0143212	0.231531	0.412278	0.214365	0.00268392	0.0925494
ε	0.0465423	0.0105479	0.129083	0.451741	0.2179	0.00167524	0.14251
l	0.0563991	0.0247142	0.17757	0.234575	0.177199	0.00521859	0.324325
ε	0.0236894	0.0110443	0.0907527	0.252168	0.394577	0.0034471	0.224321
y	0.0060568	0.00089002	0.00517015	0.0310602	0.920653	0.0131807	0.0229892
á	0.0285593	0.0205477	0.0389715	0.0735832	0.716554	0.0175225	0.104262
o	0.0071031	0.00369808	0.0156497	0.0436664	0.898736	0.00533128	0.0258157
y	0.00650028	0.0358918	0.0500242	0.249046	0.47525	0.0626301	0.120658
ú	0.00394029	0.00508998	0.0290332	0.161815	0.599242	0.0600718	0.140808
r	0.000999663	0.000293561	0.01488	0.109168	0.56714	0.00245051	0.305068
u	0.0071913	0.00334909	0.142553	0.355018	0.174209	0.00941961	0.308261
</S>	0.0091261	0.00463741	0.0467334	0.0945056	0.0982834	0.00297251	0.743741
