 	cette	manière	de	dire	au-revoir	est	celle	des	vieillards	</S>
e	0.241793	0.201163	0.317083	0.0359027	0.0484042	0.0580315	0.0213323	0.0280147	0.00751757	0.0407578
l	0.00336692	0.0324572	0.0121016	0.316767	0.324899	0.0778509	0.0716429	0.0629107	0.0930464	0.00495688
a	0.0024332	0.159707	0.0106842	0.46392	0.223347	0.0377953	0.0114321	0.0260179	0.0331514	0.031513
s	0.00145193	0.0635022	0.025737	0.639942	0.142366	0.0284393	0.0120642	0.0105438	0.0626417	0.0133128
í	0.0300505	0.10629	0.0343949	0.360971	0.188547	0.120821	0.0590455	0.0168973	0.00834142	0.0746409
n	0.385268	0.0336962	0.30317	0.0639413	0.0522935	0.0435971	0.0557192	0.0172662	0.00197279	0.0430759
í	0.285779	0.0584057	0.0882712	0.0847621	0.173895	0.0815183	0.0586633	0.0179926	0.0104288	0.140285
l	0.0708352	0.0479527	0.397287	0.116632	0.15682	0.061619	0.0440857	0.0332629	0.0045535	0.0669518
í	0.115227	0.0163679	0.0817383	0.107866	0.237084	0.153345	0.0996604	0.0334768	0.00725357	0.147981
y	0.184112	0.0311351	0.113103	0.0965216	0.156684	0.125825	0.0981423	0.107806	0.0444884	0.0421819
í	0.129637	0.0151572	0.0243368	0.0852393	0.221463	0.132272	0.236839	0.0629598	0.0469288	0.0451675
i	0.198559	0.00775428	0.0658243	0.0474276	0.0812253	0.0816549	0.239024	0.123183	0.049931	0.105417
y	0.00418756	0.00191088	0.0161167	0.00865998	0.046274	0.113414	0.24767	0.275282	0.120574	0.165912
á	0.128616	0.0174763	0.0330704	0.0426506	0.115222	0.0997778	0.26643	0.152998	0.0771249	0.0666344
i	0.0875189	0.00405392	0.0397537	0.010094	0.0312272	0.0765072	0.234796	0.161953	0.137751	0.216346
d	0.00371959	0.00228503	0.00424506	0.00358038	0.0207495	0.0486037	0.060057	0.142079	0.480309	0.234372
u	0.00409148	0.000695154	0.00178715	0.0238221	0.0466097	0.034047	0.161465	0.223022	0.433136	0.0713242
n	0.00121717	0.0001475	0.000550379	0.00151099	0.00915477	0.00967958	0.0806485	0.329707	0.460508	0.106875
ú	0.013172	0.00273964	0.00109796	0.000420354	0.00655863	0.0119883	0.0578302	0.239883	0.595088	0.071222
</S>	0.0122972	0.00323039	0.00558564	0.00339683	0.0135907	0.0472903	0.128231	0.289403	0.0840389	0.412936
