 	il	y	a	un	feu	de	brousse	</S>
k	0.190825	0.645097	0.080737	0.0211312	0.0149159	0.0340885	0.0124824	0.00072316
ώ	0.0438592	0.580223	0.0351409	0.0498241	0.00922865	0.041729	0.233247	0.0067476
é	0.0167011	0.552316	0.161763	0.156856	0.00355709	0.032598	0.0267424	0.0494663
m	0.0790879	0.0985324	0.506241	0.112834	0.0235784	0.0697533	0.0158925	0.0940809
i	0.0247424	0.00980991	0.0986247	0.132228	0.192474	0.0742988	0.0165024	0.45132
b	0.00422756	0.00698354	0.0888986	0.396392	0.256119	0.0473421	0.0682721	0.131765
o	0.0378653	0.038205	0.144135	0.480258	0.025634	0.0286938	0.165183	0.0800254
n	0.00628121	0.0346137	0.133509	0.410711	0.0264027	0.0290141	0.260203	0.0992647
g	0.0151327	0.0141126	0.0776445	0.709819	0.053751	0.0187959	0.0332048	0.0775394
a	0.222849	0.067435	0.0215383	0.0999471	0.146923	0.0687237	0.24052	0.132063
</S>	0.0151886	0.0122248	0.139032	0.0789653	0.127472	0.286325	0.0706483	0.270144
