 	je	ne	connais	pas	tes	enfants	</S>
n	0.678187	0.0787985	0.065889	0.077253	0.0731041	0.0247472	0.00202093
g	0.970092	0.015642	0.0015515	0.00130916	0.0108257	0.000409625	0.000170285
á	0.936143	0.0489772	0.00312979	0.00135258	0.00631809	0.00380955	0.000269553
i	0.114996	0.378081	0.173123	0.0693132	0.155671	0.049814	0.0590028
d	0.0658994	0.475193	0.246525	0.0564591	0.0128036	0.00403455	0.139086
i	0.0744154	0.646686	0.11925	0.0328241	0.0121654	0.000624634	0.114034
b	0.0154633	0.390401	0.322928	0.145635	0.0348557	0.000173988	0.0905429
á	0.0143662	0.203226	0.373669	0.098984	0.165663	0.125625	0.0184672
n	0.0651223	0.108474	0.158056	0.0998858	0.185477	0.311294	0.0716916
a	0.238048	0.23938	0.143024	0.0562209	0.12196	0.0375943	0.163773
b	0.0384225	0.364808	0.229171	0.174979	0.143398	0.0154837	0.0337375
á	0.035387	0.0416467	0.0957845	0.0788152	0.126608	0.591795	0.0299642
n	0.0930772	0.080668	0.0512542	0.111856	0.172116	0.430381	0.0606476
ω	0.107293	0.0576506	0.0145223	0.0478963	0.610269	0.0806599	0.0817094
o	0.00675824	0.129398	0.174696	0.526658	0.051883	0.0152946	0.0953115
s	0.000466003	0.0445975	0.137608	0.598849	0.0912782	0.0040666	0.123134
ω	0.00881468	0.0744214	0.0299442	0.204467	0.42595	0.000706692	0.255696
l	0.000257535	0.034146	0.0630771	0.353298	0.25255	0.00200972	0.294662
ω	0.00404763	0.0350963	0.0424987	0.250608	0.245716	0.00442432	0.417609
k	0.000524956	0.0185438	0.0330654	0.217144	0.0769867	0.00850486	0.64523
a	0.000283319	0.0143127	0.0678815	0.539278	0.131462	0.0159756	0.230807
á	0.000191795	0.00449074	0.0373317	0.271076	0.102899	0.016804	0.567207
</S>	0.00362323	0.0499973	0.0218955	0.0535183	0.142164	0.0067275	0.722074
