 	ces	femmes	travaillent	avec	persévérance	</S>
a	0.930251	0.0693377	0.000120033	0.000217104	6.36051e-05	1.00721e-05
y	0.184739	0.811361	0.00327169	0.000338754	0.000161237	0.00012865
ú	0.513774	0.362478	0.0037587	0.00444888	0.106902	0.00863739
r	0.558137	0.202336	0.00126994	0.00824929	0.082034	0.147973
u	0.710367	0.0594851	0.0484846	0.049931	0.0226756	0.109057
b	0.100191	0.0445688	0.305558	0.0590265	0.00637938	0.484277
á	0.617092	0.0129687	0.23736	0.0735338	0.00706665	0.0519791
á	0.309511	0.0618686	0.463569	0.0780793	0.0114502	0.0755227
d	0.00679387	0.0174871	0.838204	0.0791147	0.0143202	0.0440798
í	0.0174464	0.0088933	0.530709	0.127072	0.100658	0.215222
l	0.0236814	0.00281165	0.499418	0.223834	0.0605953	0.18966
a	0.0072472	0.00216955	0.271043	0.420986	0.173866	0.124689
p	0.0268413	0.00457171	0.223342	0.370906	0.312632	0.0617073
í	0.00943662	0.000667596	0.819892	0.122832	0.0123992	0.0347725
í	0.00253314	0.000283962	0.616111	0.233311	0.035109	0.112652
n	0.00570879	0.000588756	0.0412772	0.532127	0.286236	0.134062
í	0.00675272	0.0010727	0.0251254	0.222795	0.612594	0.13166
s	0.00246176	0.000350728	0.0161173	0.187771	0.428499	0.3648
í	0.00897171	0.000803646	0.00551227	0.0896402	0.771096	0.123976
s	0.0112834	0.00101805	0.000495731	0.0388211	0.833879	0.114503
á	0.000767109	0.000185133	0.000388643	0.00934639	0.963726	0.0255866
l	0.0179614	0.000621664	0.000647023	0.0410459	0.689446	0.250278
a	0.00153437	0.00035791	0.00263449	0.0502688	0.818968	0.126237
</S>	0.00123774	0.000158152	0.00375852	0.0590098	0.24275	0.693086
