 	les	légumes	se	sont	répandus	dans	mon	champ	</S>
a	0.428394	0.548935	0.0209586	0.000301417	8.10921e-05	0.000379431	0.000680472	0.000249821	1.96857e-05
t	0.0776946	0.8313	0.0805457	0.00182548	0.00531066	0.000831474	0.000759627	0.00118263	0.000549324
ú	0.0171404	0.941677	0.0189053	0.0010551	0.0150313	0.000635936	0.000718647	0.00156914	0.00326673
n	0.0433743	0.716035	0.0304716	0.00606787	0.194996	0.0028235	0.000406689	0.000812399	0.00501254
g	0.385345	0.459545	0.0948734	0.00691049	0.0181139	0.00365001	0.00618495	0.010106	0.0152721
u	0.21726	0.698604	0.0720945	0.00212499	0.00527637	0.000776984	0.00108883	0.00108556	0.00168836
á	0.0315984	0.0123454	0.857079	0.0764509	0.00123711	0.00935288	0.00264017	9.39717e-05	0.00920256
m	0.0193823	0.00839045	0.199472	0.712512	0.0366253	0.0168729	0.00141254	0.000720303	0.00461251
i	0.0221362	0.0062418	0.0778769	0.753669	0.0970843	0.0347569	0.00225545	0.000147439	0.00583211
b	0.00150699	0.000682734	0.00787913	0.66404	0.31171	0.0104124	0.000519099	0.000147702	0.00310143
h	0.00237384	0.000302193	0.00596804	0.340794	0.635219	0.0112206	0.000828801	6.45634e-06	0.00328699
a	0.000347047	8.43064e-05	0.000785133	0.0235063	0.972126	0.00270386	0.000105868	4.75539e-06	0.000336166
n	0.00233744	0.00894633	0.0643662	0.0959738	0.803033	0.020423	0.00188176	0.00131405	0.00172413
g	0.0225772	0.01727	0.0482984	0.151278	0.535562	0.167989	0.0350035	0.00774744	0.0142751
á	0.0959212	0.0165533	0.0188027	0.0450997	0.394791	0.157974	0.136962	0.0781697	0.0557265
s	0.00966784	0.00373382	0.0141484	0.110257	0.100288	0.596455	0.140115	0.0188814	0.00645387
á	0.0473854	0.00114067	0.00137504	0.0272059	0.165803	0.251529	0.402866	0.033236	0.0694592
k	0.0138517	0.0140115	0.00557549	0.0149842	0.0779115	0.215504	0.176535	0.463694	0.0179329
u	0.000747306	0.000997537	0.00060493	0.000660661	0.938972	0.036854	0.00533579	0.00496757	0.0108597
b	0.000243339	0.000416802	0.000184247	0.000234241	0.987812	0.00848093	0.00063485	0.000638216	0.00135523
h	0.0687469	0.00705988	0.000417761	0.00304173	0.835135	0.0303354	0.0111842	0.000777062	0.0433025
á	0.0127462	0.00130837	0.00318993	0.00488911	0.167194	0.2517	0.103229	0.0220048	0.433739
</S>	0.00546167	0.000472969	0.00128241	0.00689414	0.00287969	0.138306	0.37171	0.0367931	0.436201
