 	je	ne	peux	pas	te	montrer	l'	endroit	où	je	garde	mon	argent	</S>
n	0.601248	0.0764059	0.0507256	0.0563481	0.0547967	0.0217438	0.0646066	0.0290726	0.0159916	0.0108617	0.00410622	0.0130769	0.00063872	0.00037797
g	0.963948	0.00355299	0.00118514	0.00414803	0.012243	0.000639276	0.00249884	0.000978711	0.000706965	0.00494582	0.000157165	0.00250801	0.00248242	5.94269e-06
á	0.955523	0.00553596	0.000725226	0.00113414	0.00613397	0.00309766	0.00173939	0.0011045	0.00148585	0.0142246	0.000417909	0.00095617	0.00791037	1.11555e-05
í	0.115477	0.242953	0.0202802	0.0393836	0.112585	0.0710127	0.0381371	0.022738	0.0290096	0.0604998	0.0197225	0.107545	0.0226401	0.0980167
d	0.0300184	0.769833	0.0967144	0.0121505	0.0152543	0.024162	0.00277873	0.00291455	0.00803993	0.0100625	0.0170485	0.00233869	0.00125641	0.00742757
í	0.0683296	0.662479	0.0292941	0.0243197	0.0315532	0.0727085	0.0101162	0.0107318	0.0209823	0.0226462	0.0109934	0.0074121	0.00235091	0.0260834
o	0.0336878	0.19316	0.127091	0.235811	0.159261	0.115803	0.0312805	0.0210239	0.0158202	0.0115891	0.00733239	0.0123751	0.00157295	0.0341911
b	0.00255172	0.108042	0.315804	0.0887065	0.0649559	0.384491	0.0099833	0.00517895	0.00324623	0.00179409	0.0118791	0.000551797	0.000694679	0.00212068
h	0.000187389	0.0608034	0.65028	0.0451483	0.0451628	0.124604	0.0133796	0.0105448	0.00378452	0.000626569	0.0383875	0.000616573	0.00216213	0.00431317
e	0.000373085	0.0237448	0.497678	0.0267884	0.0288542	0.388267	0.00599898	0.00365274	0.00143671	0.000497326	0.0169105	0.000374052	0.00342752	0.00199726
r	0.00364861	0.0300353	0.561206	0.0914089	0.0702153	0.161786	0.0313926	0.0191694	0.0101044	0.00277867	0.00790065	0.00129591	0.00210295	0.00695495
á	0.00504699	0.0230931	0.209235	0.161904	0.156148	0.179289	0.128784	0.0614203	0.0108456	0.00259119	0.0105599	0.01298	0.00921285	0.0288902
o	0.00518965	0.0166215	0.0766226	0.193982	0.351979	0.0903307	0.160595	0.0666404	0.0197102	0.00531906	0.0036919	0.00516385	0.00101689	0.00313691
s	0.000543798	0.006806	0.0327381	0.0661819	0.0618217	0.749628	0.0454014	0.0163216	0.00553045	0.0012525	0.0116252	0.000299776	0.000398559	0.00145146
ε	0.000620394	0.00299319	0.00481861	0.0250016	0.0585145	0.856858	0.0275404	0.00804435	0.00243203	0.000928691	0.00870863	0.000219926	0.00116576	0.00215402
r	0.000200908	0.00359665	0.00282463	0.0532136	0.0754742	0.57046	0.197256	0.0356951	0.0103741	0.00186536	0.00850569	0.00279664	0.00165187	0.036085
έ	0.000550573	0.00633567	0.0156108	0.0668263	0.149322	0.335221	0.170146	0.106883	0.017965	0.00390644	0.036431	0.0212885	0.00615977	0.0633535
i	0.000193793	0.00451715	0.00459995	0.0975112	0.198946	0.186963	0.248133	0.178835	0.0431371	0.00932908	0.0053766	0.00743496	0.00111431	0.0139088
b	0.00341303	0.00695318	0.0111077	0.0383664	0.0587664	0.0757125	0.116311	0.25798	0.279287	0.0564276	0.0495774	0.0108168	0.00642087	0.0288601
h	0.00201825	0.0097961	0.0337043	0.0801006	0.122872	0.047228	0.0562503	0.186216	0.15983	0.0161824	0.209287	0.0122781	0.0288699	0.0353669
í	0.000197166	0.00218409	0.0269448	0.0395156	0.123156	0.108863	0.0839209	0.247558	0.143626	0.0122884	0.119488	0.0102935	0.0452263	0.0367378
s	5.59725e-05	0.00153794	0.00575665	0.0422974	0.0659719	0.0783458	0.173741	0.345409	0.18624	0.021557	0.0399608	0.00755983	0.0037528	0.0278135
i	0.000492932	0.00246949	0.00267998	0.0239782	0.0613442	0.0792408	0.120933	0.253358	0.147813	0.04593	0.0640681	0.0385753	0.0437391	0.115379
l	0.000641485	0.00235148	0.00115941	0.0256665	0.0314378	0.0161519	0.0841962	0.244349	0.352133	0.145074	0.0503869	0.0239978	0.00352102	0.0189334
