 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
e	0.961236	0.0323462	0.00302014	0.0003971	0.00071869	0.00160482	0.000606421	5.80067e-05	1.22641e-05
w	0.0950956	0.86778	0.0191513	0.00753702	0.00752072	0.00144602	0.00118183	0.00024493	4.21579e-05
á	0.0658694	0.441033	0.028252	0.0857706	0.352991	0.0173241	0.00402032	0.00325639	0.00148279
l	0.00800045	0.396962	0.0699372	0.0288126	0.0149857	0.00820055	0.00853449	0.00511145	0.459456
á	0.179554	0.633481	0.0499497	0.0231732	0.0238005	0.0198678	0.00629253	0.00811964	0.0557623
é	0.149772	0.00564544	0.58409	0.206355	0.0252315	0.0144273	0.00275034	0.00107509	0.0106535
b	0.00401208	0.0202441	0.178951	0.617083	0.150984	0.0105721	0.00504955	0.00443139	0.00867329
o	0.00515628	0.0089639	0.0563884	0.32876	0.49899	0.0568229	0.0219945	0.0117262	0.0111977
n	0.00413723	0.00834426	0.0559995	0.132186	0.759302	0.0162151	0.0102925	0.00303135	0.0104923
d	0.0490487	0.0462851	0.187269	0.284609	0.251697	0.07838	0.0133685	0.00420157	0.0851417
z	0.0233868	0.0182546	0.0801012	0.101879	0.248974	0.304422	0.16628	0.0135946	0.0431084
í	0.0110994	0.0112131	0.0443055	0.09943	0.283701	0.306189	0.153623	0.0136213	0.0768176
m	0.0179011	0.00178807	0.0590858	0.106093	0.0688893	0.411953	0.156554	0.118134	0.0596024
í	0.0029185	5.87083e-05	0.00223062	0.00794586	0.0220642	0.369025	0.281356	0.143112	0.171288
</S>	0.00307648	0.000497407	0.00123663	0.00368374	0.00475386	0.0410707	0.145437	0.730325	0.0699186
