 	je	les	suis	dans	le	champ	de	canne	à	sucre	</S>
n	0.713194	0.0819586	0.0363798	0.0238905	0.0366281	0.0393047	0.0330092	0.0168534	0.0160327	0.00265061	9.86405e-05
g	0.973414	0.00370357	0.000818697	0.000494711	0.0015154	0.0177381	0.00152616	0.000358253	0.000413744	1.81531e-06	1.57673e-05
á	0.946184	0.0311926	0.00493687	0.00104069	0.00134756	0.010442	0.00129981	0.00258524	0.000733594	0.000161782	7.56628e-05
l	0.162964	0.479856	0.123611	0.0214355	0.0241733	0.0148704	0.0376313	0.0324186	0.0513147	0.00241435	0.04931
í	0.475223	0.198932	0.0446851	0.0209691	0.0173001	0.0244397	0.0312717	0.0165268	0.0379063	0.000107583	0.132638
i	0.0396004	0.146196	0.202857	0.13828	0.0744243	0.0826417	0.0774464	0.0620778	0.0435854	0.000782479	0.132108
l	0.00758064	0.351502	0.552841	0.0522403	0.00351182	0.00104876	0.000951131	0.00756494	0.00190675	0.00256746	0.0182846
ω	0.00343315	0.365638	0.533815	0.0821134	0.00211709	0.000681059	0.000354925	0.00569739	0.000530238	0.000551326	0.00506846
n	0.00728574	0.221331	0.513518	0.118025	0.0222155	0.0291623	0.0096002	0.0310918	0.00611623	0.000888296	0.0407663
d	0.0202848	0.227473	0.433176	0.159412	0.0456509	0.0325323	0.0190044	0.0322526	0.00875923	0.00171976	0.0197361
ω	0.0916439	0.226787	0.32309	0.163492	0.0456058	0.0440763	0.0314922	0.0260801	0.0121587	0.000514506	0.0350596
ω	0.00290168	0.0277653	0.0713937	0.20605	0.340349	0.189373	0.054501	0.0788155	0.0137377	0.00249571	0.0126167
b	0.000660998	0.0105014	0.0575084	0.211683	0.321711	0.258529	0.0308318	0.0923315	0.00559894	0.00649282	0.00415049
á	0.00573201	0.0318788	0.123029	0.125797	0.123006	0.0584094	0.0511169	0.341998	0.0237198	0.0637505	0.0515623
a	0.0230099	0.0330794	0.0709958	0.216309	0.149501	0.0434307	0.0657643	0.224981	0.0514636	0.0109035	0.110561
s	0.00261303	0.019729	0.0510274	0.211172	0.246655	0.0713278	0.187434	0.13525	0.0454505	0.00882908	0.0205112
á	0.00429453	0.0188763	0.0374697	0.0857582	0.0808317	0.130947	0.158793	0.283301	0.0706501	0.00546007	0.123618
n	0.0120234	0.00345132	0.00432442	0.0201197	0.112049	0.250936	0.230415	0.252947	0.0336802	0.0723855	0.0076678
g	0.0109075	0.000444608	0.00090899	0.00453353	0.034138	0.763483	0.106813	0.0579518	0.0140962	0.00121961	0.00550388
o	0.00516574	0.000354576	0.000706912	0.00219859	0.0202826	0.851893	0.0556983	0.0524303	0.00661606	0.0011923	0.00346213
n	0.00027405	0.000507557	0.00170316	0.00493538	0.0211265	0.776419	0.0394094	0.12283	0.00613134	0.0112429	0.0154207
d	0.000898775	0.00425904	0.0112069	0.0209562	0.0532935	0.22133	0.145438	0.236599	0.0512055	0.00542071	0.249392
a	0.000968162	0.00103808	0.0026673	0.00455345	0.0337707	0.530341	0.0682317	0.182104	0.0171936	0.0206964	0.138436
y	0.000995976	0.0024133	0.00633318	0.0108579	0.0390092	0.0548557	0.20113	0.106352	0.350882	0.017953	0.209218
í	0.00397289	0.0226396	0.0214891	0.0361043	0.117865	0.112287	0.271372	0.18449	0.135924	0.0537291	0.0401271
k	0.00418182	0.00483641	0.00422457	0.0106264	0.0373902	0.0504444	0.263648	0.0701181	0.282252	0.0962579	0.176021
o	4.47951e-05	4.96146e-05	0.00020187	0.000458738	0.00168428	0.0031955	0.00435145	0.0222186	0.00860223	0.952216	0.00697656
ó	0.000190401	0.000271823	0.000683209	0.000878975	0.0016966	0.0120862	0.00329335	0.0424007	0.00580729	0.908513	0.0241784
</S>	0.000198043	0.00564253	0.00512806	0.00641223	0.00958199	0.0113551	0.0615711	0.0200789	0.204405	0.0195063	0.656121
