 	ils	ont	fait	soigner	le	malade	par	le	guérisseur	qui	vient	de	ngaé	</S>
b	0.78692	0.102499	0.022143	0.0120326	0.00310924	0.0213989	0.00625171	0.00785852	0.00899582	0.0261591	0.000167046	0.00229301	3.48398e-05	0.000137039
á	0.982937	0.0107499	0.00159065	0.00131479	0.000764565	0.000980629	0.000310233	0.00060386	6.6904e-05	0.000190034	3.5344e-05	0.000430042	6.48165e-06	1.95713e-05
a	0.994585	0.00255531	0.000924404	0.00057229	9.46369e-05	7.43821e-05	4.38551e-05	0.000456959	7.00546e-05	0.000125577	0.000225652	0.000117726	9.41887e-06	0.000144899
á	0.0230148	0.471094	0.311753	0.137801	0.0115587	0.000203421	0.00112548	0.00168344	4.66207e-05	0.00202648	0.00488248	0.00228272	0.000275525	0.0322527
k	0.000293876	0.0304935	0.159719	0.738227	0.0558322	0.00353641	0.000874297	0.000506754	6.5079e-05	0.000418024	0.00293328	0.0015509	0.000914925	0.00463464
á	0.000395939	0.0479499	0.229248	0.477518	0.142063	0.0517159	0.00819049	0.00768049	0.000256296	0.00549139	0.010439	0.00597612	0.00055254	0.0125233
r	0.00164738	0.0298698	0.127248	0.7193	0.0807585	0.0135678	0.00212454	0.000675642	0.00049026	0.000138548	0.00160931	0.000456465	0.000233993	0.0218791
i	0.00595177	0.0326156	0.212833	0.490505	0.20547	0.0194211	0.00407244	0.00687239	0.00877539	0.00334227	0.00204136	0.00316086	0.000335025	0.00460372
s	0.100209	0.078156	0.118849	0.170875	0.31597	0.0216144	0.0540865	0.0299518	0.0408254	0.0204271	0.0109784	0.0126186	0.00842573	0.017012
i	0.000258618	0.00485664	0.091329	0.0821962	0.488061	0.142918	0.043525	0.0454957	0.0459575	0.0113308	0.0099396	0.0118547	0.00845156	0.0138261
o	0.0107528	0.016672	0.0263461	0.0466498	0.233114	0.0660941	0.188552	0.0542293	0.277065	0.0316458	0.0151861	0.00437645	0.012788	0.0165281
k	0.000177565	0.000937977	0.00174082	0.00777898	0.0581503	0.721868	0.1729	0.0184251	0.00352582	0.0034576	0.00521579	0.000751649	0.00151858	0.00355174
ω	2.97782e-06	3.88756e-05	0.000162638	0.000233972	0.00322821	0.968671	0.0223736	0.00137159	0.000250035	0.000653093	0.000585497	0.000426616	5.80282e-05	0.00194396
n	2.94783e-06	0.000222216	0.000891281	0.00101045	0.00237223	0.983591	0.00881807	0.000226712	0.000186291	0.000272635	0.000139794	9.39539e-05	3.53409e-05	0.00213668
í	0.000202565	0.00109895	0.00354245	0.0187999	0.0163703	0.855571	0.0427201	0.00879519	0.00527837	0.00334949	0.00470276	0.00256137	0.000424896	0.0365826
l	0.00118593	0.00504467	0.0152697	0.0190743	0.0527616	0.0498072	0.368468	0.225527	0.0242135	0.168126	0.0262911	0.010328	0.000658509	0.0332446
a	0.00146773	0.00132166	0.0070274	0.0111085	0.0161206	0.00502816	0.199392	0.207978	0.171369	0.0880987	0.0790321	0.03876	0.0263261	0.146969
n	0.00281856	0.00159984	0.00495298	0.00268144	0.0148876	0.00446062	0.105817	0.279398	0.208732	0.187172	0.0765551	0.0255838	0.0198862	0.065456
g	0.00213104	0.000139166	0.000881773	0.000350659	0.00215764	0.000581501	0.0437067	0.157539	0.561493	0.0343488	0.0341594	0.00646521	0.129587	0.026459
a	1.79454e-05	1.24329e-05	3.47315e-05	5.3308e-05	0.000140552	0.000229231	0.00240521	0.00485966	0.951056	0.00280101	0.00223279	0.000403231	0.0341118	0.00164218
n	1.84258e-05	4.7171e-05	0.000496517	0.000238107	0.00361846	0.00118533	0.064119	0.064132	0.523289	0.0353349	0.0314349	0.010475	0.196132	0.0694788
g	0.00013108	0.00051039	0.00354043	0.00114099	0.00518073	0.00408953	0.064391	0.135977	0.0817116	0.315167	0.117838	0.0309773	0.0315594	0.207786
a	1.72804e-05	2.84169e-05	0.000193119	0.000122568	0.00130741	0.00797734	0.0416148	0.0883679	0.709722	0.0563107	0.0270911	0.00663036	0.0428694	0.0177479
y	7.23034e-05	0.00176975	0.00333067	0.00486299	0.00504362	0.00084006	0.0580283	0.117499	0.0123267	0.237071	0.166285	0.143039	0.133972	0.115859
e	0.000296712	0.000873152	0.00333719	0.00197761	0.00659027	0.000787429	0.0324364	0.0799789	0.0344723	0.404967	0.171159	0.104479	0.114844	0.0438008
e	0.000569911	0.00305853	0.00322665	0.00379009	0.009768	0.00086233	0.00765334	0.092479	0.0939628	0.514603	0.0815633	0.103458	0.0483945	0.03661
w	0.000217378	0.00377621	0.00786041	0.0149065	0.0139779	0.025143	0.0157387	0.0119841	0.00130384	0.0163907	0.220898	0.115296	0.217434	0.335073
ú	0.000139495	0.00122053	0.0109191	0.00434886	0.00981902	0.00532811	0.0108208	0.0184499	0.0018595	0.0122478	0.337505	0.14185	0.129312	0.31618
r	4.39419e-05	6.97913e-05	0.00171889	0.000618966	0.00638902	0.00208487	0.00940439	0.0352313	0.0506243	0.0219843	0.0815002	0.126313	0.0181212	0.645896
ú	4.60707e-05	6.43843e-05	0.00108547	0.000857681	0.0092746	0.00155061	0.0169101	0.202902	0.103685	0.0773096	0.122807	0.229556	0.0289407	0.205011
n	0.000453356	0.000320008	0.00141509	0.000784272	0.00184594	0.000195276	0.00609216	0.0469988	0.0213925	0.0878053	0.0782577	0.165863	0.205112	0.383465
g	0.00104894	4.35266e-05	0.000446506	0.000131556	0.000962761	0.000321076	0.00373482	0.0560372	0.0747377	0.0206857	0.050665	0.0804593	0.538708	0.172017
a	8.07692e-05	2.06614e-05	9.17537e-05	7.60838e-05	0.000300565	0.000130572	0.00124331	0.00604391	0.0956623	0.00908776	0.0129328	0.0103417	0.822979	0.0410085
é	0.000128012	4.43267e-05	0.000189115	6.30162e-05	0.00036422	0.000173405	0.00671385	0.0205033	0.00957165	0.0268237	0.0346684	0.0448419	0.402564	0.453351
</S>	0.000261312	0.00321355	0.0090184	0.0193606	0.0210412	0.0113999	0.0243399	0.0138978	0.000866439	0.016054	0.0836854	0.179117	0.282247	0.335497
