 	konga	m'	a	donné	dix	francs	</S>
k	0.82055	0.10339	0.0557007	0.00069728	0.0164292	0.00307369	0.000159306
o	0.995208	0.00167758	0.000400733	0.000373168	0.00069223	0.00154191	0.000106004
n	0.628239	0.128578	0.0823874	0.097753	0.0235836	0.021996	0.0174627
g	0.742545	0.103453	0.03901	0.015461	0.0529909	0.00852222	0.0380174
a	0.445125	0.420248	0.0257633	0.00389692	0.0615059	0.00816594	0.0352957
á	0.00995703	0.35193	0.557274	0.0384443	0.00437384	0.00124433	0.0367768
k	0.000661891	0.139812	0.410756	0.413222	0.0147914	0.00293655	0.0178201
a	0.00609109	0.0452203	0.147428	0.762104	0.00940093	0.00915373	0.0206017
b	0.00108387	0.024989	0.131474	0.795293	0.00662307	0.00731129	0.0332266
h	0.00583556	0.108478	0.162994	0.641274	0.0338164	0.021751	0.0258504
i	0.0131375	0.0415627	0.0935761	0.262329	0.073823	0.16851	0.347062
n	0.000645791	0.4911	0.139501	0.0363489	0.242348	0.0419608	0.0480954
g	0.00197758	0.442654	0.0637647	0.0178267	0.417511	0.0338475	0.0224185
á	0.000668009	0.514192	0.0366145	0.0191747	0.343012	0.0288774	0.0574617
p	0.00153547	0.0441894	0.0782901	0.0254525	0.627232	0.184908	0.0383919
á	0.00358573	0.0213313	0.018127	0.0295929	0.131795	0.69887	0.096698
r	0.00116527	0.0698005	0.0531634	0.0587392	0.156646	0.412648	0.247838
a	0.0035526	0.0249851	0.0225579	0.0323682	0.357861	0.341317	0.217359
m	0.000402588	0.0151643	0.062933	0.0379742	0.216573	0.529407	0.137546
b	0.000137546	0.00060598	0.00716608	0.00987397	0.323095	0.0708382	0.588283
a	0.00015489	0.000404743	0.00126096	0.00440324	0.521441	0.192942	0.279393
á	0.000167469	0.000496928	0.00287155	0.00485585	0.0800944	0.541462	0.370052
</S>	3.87209e-05	0.00212397	0.0181271	0.0370926	0.0518758	0.0969053	0.793836
