 	nyasoni	a	du	mal	à	préparer	pour	son	mari	car	celui-ci	n'	aime	pas	manger	certains	repas	</S>
n	0.856326	0.0609348	0.018743	0.0217338	0.0162725	0.0033664	0.0104859	0.00570008	0.000226013	0.00109665	0.000873432	0.000957813	0.000115363	0.00256919	8.07469e-05	0.000342552	0.000132678	4.28204e-05
y	0.986774	0.00409406	0.00184099	0.00475049	0.000463088	0.000171988	0.00038178	0.000453236	2.75615e-05	6.14489e-05	7.20657e-05	8.97988e-05	3.62565e-05	0.000173775	1.36289e-05	0.000380397	0.000200956	1.43081e-05
a	0.963196	0.0113037	0.0069783	0.00592849	0.00139149	0.00190193	0.00195659	0.001458	0.000957037	0.000397719	0.00131188	0.000414042	0.000195318	0.000919252	8.86131e-05	0.000834222	0.000518556	0.000248723
s	0.972865	0.0091413	0.00286388	0.00606482	0.000670622	0.000165172	0.000373794	0.00086899	0.0011915	0.000111975	5.84656e-05	0.000364276	4.44707e-05	0.000256417	3.98935e-05	0.00168094	6.06034e-05	0.00317757
ώ	0.0527218	0.158014	0.0912136	0.0728132	0.0619733	0.0373137	0.0749816	0.0301387	0.0167415	0.0482905	0.0233294	0.041899	0.00746342	0.0337937	0.0103232	0.0404199	0.0163957	0.182174
n	0.0803697	0.666745	0.101371	0.0285203	0.0264744	0.00365176	0.0123549	0.00690106	0.00176003	0.0147235	0.00310208	0.0100676	0.00194978	0.00692921	0.00314255	0.00648606	0.00141794	0.0240334
i	0.128975	0.438223	0.113921	0.0510763	0.0347801	0.012702	0.0167899	0.0265687	0.0116001	0.007745	0.00278015	0.0162293	0.000979001	0.0070596	0.00492159	0.0397855	0.00280863	0.0830552
l	0.0310702	0.576258	0.212174	0.0524324	0.0374036	0.0106733	0.0104407	0.0091244	0.00864411	0.00722651	0.00180888	0.0065734	0.000925651	0.00364865	0.00564691	0.0108206	0.00171986	0.0134092
á	0.0153694	0.283276	0.115736	0.0424663	0.0376083	0.0280714	0.0236008	0.0146901	0.00742345	0.0481588	0.0204859	0.0287833	0.0290743	0.0342264	0.0374585	0.0233034	0.00983113	0.200437
a	0.0515783	0.167289	0.212894	0.120064	0.1081	0.0438841	0.0224346	0.0244201	0.00376806	0.0283476	0.0129694	0.0222603	0.0154346	0.026994	0.0325635	0.0199669	0.0139502	0.0730811
t	0.0268205	0.423363	0.242093	0.0525963	0.0734001	0.0803914	0.00480452	0.00204596	0.0161636	0.00806334	0.0062829	0.00353707	0.0168298	0.00300877	0.0159224	0.0018143	0.00161371	0.02125
á	0.00400927	0.174735	0.34924	0.0446431	0.0803135	0.172761	0.0104967	0.00547634	0.0296534	0.0159142	0.0227981	0.0115158	0.0182241	0.00836052	0.0190941	0.00104424	0.00181951	0.0299011
á	0.00458645	0.0415235	0.228973	0.0590022	0.0802084	0.152981	0.019092	0.00875433	0.00917971	0.0220558	0.0535779	0.0214049	0.0637287	0.0190496	0.0274381	0.00382753	0.00783357	0.176783
k	0.000382892	0.00783893	0.0411878	0.137255	0.490185	0.179753	0.0446032	0.0295713	0.00214931	0.0149295	0.00500086	0.0104776	0.0033046	0.00696893	0.00438747	0.0121997	0.00448002	0.005325
y	0.00280331	0.00530597	0.0894586	0.130418	0.128228	0.508705	0.0551894	0.00688385	0.00526339	0.00738576	0.0252362	0.00199563	0.0101636	0.00516078	0.0016718	0.000396905	0.00625652	0.00947737
ώ	0.00217199	0.00226935	0.0541038	0.0500974	0.0450488	0.591156	0.0602649	0.00804485	0.011885	0.0136196	0.0576314	0.00440645	0.0231453	0.013719	0.007531	0.00197533	0.0243489	0.0285806
r	0.00228593	0.00411335	0.111348	0.250229	0.142323	0.14259	0.0904899	0.0400165	0.00342011	0.0229986	0.0550534	0.0146058	0.00953711	0.022759	0.00273942	0.014389	0.0217152	0.0493873
ω	0.00017468	0.00498122	0.102299	0.115241	0.139875	0.319648	0.0731914	0.0154433	0.00429113	0.0176451	0.0325666	0.00874921	0.00838193	0.010361	0.00369735	0.0104485	0.00889474	0.124111
m	3.62255e-05	0.00296436	0.024295	0.057976	0.281574	0.171412	0.245776	0.111292	0.00875999	0.0322453	0.0139414	0.0150643	0.00375111	0.00814724	0.00255968	0.00640812	0.00399964	0.00979737
í	0.000207082	0.002514	0.00898656	0.0353008	0.116816	0.135465	0.165726	0.105902	0.0413019	0.1463	0.0316399	0.0351618	0.00325955	0.0164558	0.00484854	0.0502839	0.0149962	0.0848345
l	0.000596626	0.00309431	0.00875789	0.016628	0.0481585	0.184663	0.210034	0.114348	0.30553	0.0277375	0.0142357	0.00766143	0.0149146	0.00737119	0.00875296	0.00313669	0.0141863	0.0101932
á	0.000365718	0.00299374	0.00765099	0.00947355	0.0301579	0.114746	0.131672	0.108531	0.423042	0.0269658	0.0108433	0.0184282	0.0079483	0.00918447	0.0128921	0.0145269	0.0087581	0.0618206
m	9.25182e-05	0.000431863	0.00196262	0.00332726	0.00726646	0.0525724	0.110928	0.254583	0.177466	0.048211	0.0195124	0.0324157	0.0722042	0.0247922	0.079697	0.0208137	0.022289	0.0714343
b	7.6733e-06	0.000856041	0.00189404	0.00572836	0.0358849	0.228758	0.161341	0.120661	0.254953	0.0630963	0.0282061	0.0285552	0.00845218	0.0082948	0.0176959	0.010583	0.00712307	0.0179094
a	2.3783e-05	0.00111943	0.00941511	0.0237402	0.0673672	0.108572	0.277718	0.0925499	0.0971639	0.105882	0.0418293	0.0342927	0.00405328	0.016124	0.00373302	0.0211595	0.0524026	0.0428549
