 	la	peau	est	bien	assouplie	maintenant	</S>
e	0.757999	0.226564	0.00741978	0.00680644	0.000470681	0.000683118	5.72661e-05
k	0.0180283	0.978649	0.00234524	0.000366342	0.000119304	0.000292906	0.000198591
ó	0.00291522	0.994261	0.00121514	0.000505611	1.68577e-05	0.000928111	0.000158486
r	0.00159182	0.992748	0.00373368	0.000527261	5.09575e-05	0.000363538	0.000985067
ó	0.259675	0.666597	0.0125086	0.0106328	0.0102933	0.0125894	0.0277034
é	0.630041	0.235532	0.109639	0.0153407	0.00244376	0.00169837	0.00530428
b	0.195763	0.10522	0.476944	0.126903	0.0357397	0.0134191	0.0460104
h	0.080838	0.0343732	0.309023	0.447733	0.0460395	0.0369737	0.0450197
i	0.0439367	0.031037	0.216172	0.567746	0.0259999	0.0435433	0.0715657
ε	0.0744508	0.0149213	0.192218	0.34699	0.0818892	0.0785007	0.211029
k	0.00879641	0.00758573	0.126829	0.249648	0.395323	0.193245	0.0185733
ω	0.000633812	0.00950866	0.0520494	0.249253	0.0142533	0.629223	0.0450784
ώ	0.000909498	0.0151214	0.118069	0.241971	0.0323736	0.503733	0.0878226
k	0.00678707	0.000695949	0.044103	0.253697	0.0690958	0.247878	0.377744
ω	0.00401612	0.00253605	0.0128212	0.114399	0.0189504	0.741224	0.106053
ω	0.000404637	0.000912714	0.00906485	0.0592576	0.0213571	0.775917	0.133086
</S>	0.00824876	0.00128041	0.0229474	0.0492221	0.0177063	0.162899	0.737696
