 	je	veux	manger	un	gros	silure	</S>
n	0.983216	0.0119581	0.000561569	0.00206735	0.00196902	0.000216401	1.20853e-05
g	0.996325	0.00258196	0.000236273	0.000271348	0.000446914	0.000116632	2.16538e-05
á	0.96883	0.025811	0.00227627	0.000892506	0.000303311	0.00187015	1.65269e-05
i	0.273668	0.618297	0.029396	0.0117965	0.0133263	0.010099	0.0434169
d	0.0806419	0.715693	0.142894	0.0294241	0.00636109	0.00317938	0.0218056
í	0.153878	0.642426	0.161434	0.00382275	0.00174836	0.00015044	0.0365398
l	0.212962	0.446229	0.270329	0.0180458	0.0126911	0.000777967	0.0389646
a	0.426435	0.217763	0.179869	0.0573572	0.0352922	0.00836945	0.0749146
p	0.077115	0.632244	0.225344	0.0211736	0.00393347	0.0146493	0.0255407
ó	0.0135095	0.51396	0.176331	0.141388	0.00431766	0.0567196	0.0937745
s	0.00213459	0.785103	0.156961	0.0333084	0.00383242	0.00454589	0.0141143
á	0.0132868	0.12867	0.451786	0.268328	0.0247745	0.0214682	0.0916862
o	0.0973581	0.0162654	0.145439	0.374082	0.159497	0.0888036	0.118556
d	0.0035913	0.0192429	0.590799	0.335711	0.018275	0.0206414	0.0117391
z	0.00150036	0.0088415	0.821298	0.105663	0.00853047	0.00110877	0.0530585
á	0.00267457	0.0141761	0.782332	0.0935851	0.0140656	0.000940803	0.0922259
e	0.00269147	0.00133531	0.179877	0.16189	0.194163	0.0251925	0.434851
b	0.000996508	0.00371185	0.0380178	0.27976	0.176059	0.297717	0.203737
h	0.00127493	0.00127418	0.041787	0.427303	0.173333	0.190632	0.164396
ó	0.000440121	0.00153225	0.0450066	0.373839	0.144934	0.24345	0.190798
l	0.000105415	0.000234101	0.0269304	0.254923	0.145447	0.0642502	0.50811
i	0.000365491	0.00102408	0.0251849	0.194298	0.162422	0.0773063	0.539398
</S>	0.005312	0.00305626	0.019109	0.0541524	0.161326	0.0868763	0.670168
