 	il	est	à	bout	de	forces	</S>
w	0.756145	0.141271	0.0437159	0.0185422	0.0190861	0.018023	0.00321649
a	0.695284	0.114243	0.0188884	0.0405402	0.103091	0.0230802	0.00487359
a	0.17164	0.551764	0.150981	0.0555847	0.0168418	0.00760259	0.0455854
b	0.057346	0.39797	0.388143	0.0791664	0.0332397	0.0108915	0.0332438
h	0.0474418	0.183183	0.350843	0.0843823	0.101397	0.00410599	0.228646
i	0.00667974	0.105789	0.634805	0.100467	0.0661495	0.00323441	0.0828755
p	0.0044932	0.0496786	0.15231	0.111384	0.0644838	0.0317247	0.585925
á	0.0695667	0.213859	0.376967	0.180636	0.0532508	0.0323602	0.0733608
m	0.233045	0.17745	0.237603	0.112995	0.0722943	0.0273602	0.139254
i	0.0294941	0.0364156	0.0998882	0.17564	0.209834	0.0786998	0.370029
k	0.0104762	0.0250346	0.110489	0.156835	0.179711	0.0607199	0.456734
a	0.00344621	0.0117965	0.0617144	0.105386	0.276401	0.0524713	0.488784
á	0.000697747	0.00350585	0.0242256	0.0223347	0.0396732	0.00712404	0.902439
</S>	0.0153544	0.0171718	0.044933	0.0477816	0.0735864	0.0251352	0.776038
