 	l'	homme	avala	de	travers	</S>
m	0.77631	0.203504	0.0133715	0.00590708	0.00043969	0.000467909
o	0.817615	0.0292395	0.0777829	0.0328584	0.00864771	0.0338569
r	0.690175	0.275043	0.00939848	0.00454608	0.00952534	0.0113115
o	0.899192	0.0330882	0.00412277	0.00887434	0.0333312	0.0213917
a	0.915607	0.0367411	0.0112705	0.00435321	0.000943878	0.0310842
m	0.284836	0.105736	0.33454	0.199931	0.010603	0.0643541
i	0.0808357	0.0783089	0.326005	0.216881	0.0484265	0.249543
í	0.0587691	0.0903221	0.426436	0.178293	0.125186	0.120993
o	0.0322529	0.0406885	0.482127	0.169228	0.148147	0.127557
b	0.0222965	0.0783133	0.342522	0.129379	0.31482	0.112669
é	0.0120128	0.378951	0.184451	0.0986927	0.162311	0.163582
</S>	0.00262138	0.0272673	0.108411	0.0953431	0.109785	0.656573
