 	retire	l'	aiguillon	de	l'	abeille	qui	est	enfoncé	dans	mon	bras	</S>
b	0.906629	0.020893	0.00899366	0.00693027	0.0102463	0.0051343	0.0084088	0.00171079	0.00729206	0.00260405	0.0200377	0.000945751	0.000174169
í	0.518093	0.322615	0.0323691	0.0375587	0.0289397	0.0124372	0.0068709	0.00693289	0.0131789	0.00985856	0.00910506	0.00101487	0.00102608
l	0.85221	0.0395991	0.0154097	0.00420754	0.00620929	0.0135299	0.00449882	0.00596113	0.00734714	0.0153047	0.00705316	0.0043774	0.0242922
á	0.601216	0.0794393	0.00688461	0.0131615	0.0422336	0.0416848	0.00367108	0.00615996	0.0123278	0.0147765	0.0126915	0.0237744	0.141979
n	0.10924	0.486515	0.0130846	0.0389051	0.0249752	0.00219263	0.040747	0.0306376	0.0109172	0.0199212	0.029328	0.0184545	0.175082
g	0.163093	0.703267	0.00724474	0.0125437	0.024431	0.0222786	0.00992748	0.0015363	0.00319421	0.00229651	0.031987	0.0072157	0.0109845
á	0.198969	0.704402	0.0377315	0.00255997	0.00451721	0.0114993	0.00132298	0.000732026	0.0016029	0.000500797	0.032162	0.00248323	0.00151655
ω	0.0305511	0.5283	0.121499	0.0644055	0.0380546	0.0196673	0.025477	0.027703	0.0241652	0.0314451	0.0257092	0.00826516	0.0547581
n	0.0549444	0.101644	0.81247	0.00926858	0.00127494	0.00102654	0.000932742	0.00419311	0.00763776	0.00386259	0.00024382	0.000813092	0.00168816
y	0.0511258	0.292805	0.594989	0.012775	0.0103284	0.00949109	0.00436992	0.00141131	0.00581856	0.00164087	0.00203717	0.00173183	0.0114762
w	0.0158265	0.0570791	0.875721	0.00508089	0.00538967	0.0171639	0.00163513	0.00106102	0.00637122	0.00114802	0.00872795	0.0006873	0.00410843
ε	0.00391896	0.0728845	0.684003	0.0359058	0.00919108	0.0236221	0.0064056	0.00912253	0.0335582	0.0163044	0.00426864	0.00134694	0.0994686
m	0.00265637	0.0572066	0.332131	0.22276	0.0672279	0.0152767	0.0296301	0.0266996	0.0559509	0.0436984	0.00534494	0.0127617	0.128656
