 	ce	jeune	garçon-ci	recherche	une	carafe	en	porcelaine	pour	la	dot	</S>
m	0.650943	0.332874	0.00376143	0.00203804	0.00040327	0.000678527	0.00126409	0.00057212	0.00439574	0.0027644	0.000173134	0.000132389
w	0.0278964	0.943691	0.0236469	0.0015274	0.000685023	0.000268981	0.000271957	0.00102371	0.000324884	0.000316562	2.67182e-06	0.000344684
á	0.0074724	0.973885	0.017822	0.000302081	5.12965e-05	9.06555e-05	3.41766e-05	0.00025393	2.80202e-05	4.14434e-05	4.13484e-06	1.4578e-05
n	0.0390335	0.918115	0.0404449	0.00109546	0.000157759	0.000146281	0.000136884	7.70547e-05	0.000274136	0.000116506	2.40569e-05	0.000378491
a	0.0267024	0.542568	0.355399	0.0314965	0.00267421	0.000199416	0.0022066	0.000131234	0.00282628	0.00189648	0.000428287	0.0334716
i	0.842273	0.105716	0.0210563	0.0103086	0.00634653	0.00229128	0.00221334	0.000695859	0.00296971	0.00178742	0.000597118	0.00374536
b	0.227062	0.0292022	0.269188	0.0487318	0.203808	0.14135	0.0115607	0.0145458	0.00660857	0.00616229	0.0233853	0.0183955
a	0.0268247	0.00363384	0.903625	0.00845324	0.0156903	0.0119685	0.00237138	0.000194215	0.00219413	0.00278139	0.0185281	0.00373515
a	0.229379	0.0183471	0.553178	0.0586114	0.0579452	0.0447826	0.00236843	0.00247537	0.00270351	0.00128209	0.00114119	0.0277861
w	0.116318	0.00811795	0.0941218	0.424162	0.247529	0.0215797	0.00994135	0.000697666	0.00979352	0.00750485	0.000382396	0.0598517
ó	0.130536	0.0135415	0.0454344	0.326785	0.252607	0.0253894	0.0534705	0.00962801	0.0418058	0.0285779	0.0208519	0.0513734
l	0.054465	0.00601357	0.0471944	0.507252	0.249771	0.025455	0.021369	0.00805642	0.0228173	0.0127284	0.00208987	0.0427881
á	0.0138308	0.00126098	0.0131412	0.14437	0.368019	0.0804628	0.0375186	0.00823029	0.0335958	0.0209114	0.010057	0.268603
a	0.156075	0.0224834	0.0637501	0.194255	0.251244	0.141981	0.0625119	0.0145667	0.0233981	0.0247609	0.0186124	0.0263614
p	0.0614249	0.00150679	0.0177532	0.0450266	0.434304	0.397884	0.00774829	0.0130156	0.00204958	0.00187942	0.00175453	0.0156531
f	0.0060815	0.000165683	0.00614695	0.00481351	0.238885	0.687282	0.0120415	0.0080176	0.00294942	0.000831523	0.000942738	0.0318428
ú	0.0156844	9.54762e-05	0.00187501	0.000589095	0.153007	0.784731	0.0117857	0.0113731	0.00212538	0.00119322	0.000268684	0.0172719
r	0.113872	0.00400964	0.0069978	0.0330069	0.194851	0.474634	0.0951951	0.0302331	0.00908061	0.00757468	0.00261801	0.0279279
á	0.0453906	0.0011778	0.00148223	0.0367449	0.262803	0.155114	0.306766	0.0552851	0.0948295	0.0133358	0.000457827	0.0266133
k	0.00410726	0.00058762	0.00157834	0.0378566	0.0754893	0.258865	0.357171	0.144927	0.0666775	0.0429457	0.00736697	0.00242746
ώ	0.000574624	2.39805e-05	0.00018016	0.000355274	0.00641373	0.631848	0.0541782	0.14631	0.0103966	0.00143667	0.146374	0.00190944
n	0.000522872	0.000161008	0.00180352	0.00460598	0.0140309	0.152936	0.0785485	0.0873429	0.055716	0.012054	0.584744	0.00753481
g	0.000897103	4.12813e-05	0.000623004	0.00629363	0.039238	0.308544	0.205961	0.27436	0.0744154	0.0199527	0.0380816	0.0315926
í	0.000407246	0.000214017	0.000384888	0.0125745	0.00931433	0.0251897	0.0907352	0.810741	0.0340196	0.00756023	0.00466758	0.00419191
y	0.00218409	0.000226731	0.000160392	0.000968545	0.00934841	0.0214005	0.164828	0.14136	0.408463	0.0865529	0.0111857	0.153322
í	0.0442294	0.000954763	0.00117023	0.0198364	0.0413559	0.0354195	0.143531	0.317902	0.164649	0.137787	0.0366485	0.0565158
t	0.00571689	0.000104255	0.000122202	0.001188	0.00488704	0.0130262	0.047555	0.0472945	0.169569	0.286006	0.240332	0.184199
ώ	0.00156708	7.98512e-05	7.05524e-05	0.000263963	0.00276257	0.0320753	0.0175973	0.0229453	0.0175657	0.0445193	0.824792	0.0357606
ω	6.06377e-05	1.91984e-06	2.99454e-05	8.41534e-05	0.00083036	0.00446186	0.00578587	0.0267925	0.0179368	0.0285294	0.892709	0.0227778
</S>	0.00308246	7.75625e-05	0.000493321	0.0019833	0.00387056	0.00248507	0.0211219	0.0177169	0.218961	0.451272	0.0374139	0.241522
