 	l'	enfant	s'	est	blessé	au	nez	</S>
m	0.821878	0.169554	0.00377928	0.00148604	0.000898458	0.00138372	0.000934408	8.57268e-05
w	0.00917906	0.966852	0.0188835	0.00451394	0.000163453	0.000106068	1.15627e-05	0.000290667
á	0.0110442	0.988539	0.00035099	4.55012e-05	8.20827e-06	3.53461e-06	6.83091e-06	1.29263e-06
n	0.207537	0.78941	0.00109975	0.000217606	0.000188884	3.75216e-05	0.000175236	0.00133314
a	0.136814	0.706417	0.0783317	0.0256445	0.000908701	0.00269624	0.00445519	0.044733
á	0.697453	0.0658301	0.139256	0.0528417	0.0142311	0.0120089	0.00311414	0.0152644
m	0.0762249	0.0485181	0.500109	0.255421	0.0784683	0.0111512	0.00973238	0.0203754
i	0.00691676	0.0221181	0.455806	0.42459	0.0425555	0.0231368	0.000569977	0.0243073
k	0.00143263	0.00518776	0.168676	0.269374	0.510787	0.0154619	0.012781	0.0163004
ώ	0.00127964	0.000319159	0.0861806	0.114509	0.733867	0.0139906	0.0281208	0.021733
s	0.000763969	0.00159685	0.101494	0.106802	0.734554	0.0359046	0.00518816	0.0136963
ώ	0.00916265	0.00103585	0.0916825	0.104695	0.677967	0.0602037	0.0121249	0.0431292
m	0.00426469	0.00248518	0.0764106	0.197373	0.270734	0.36342	0.0516936	0.0336181
ó	0.0115728	0.0235367	0.0418827	0.0739497	0.0170542	0.313763	0.0654478	0.452793
p	0.0347351	0.0109643	0.0133165	0.0235784	0.0240912	0.265701	0.544341	0.0832726
e	0.000223415	3.94632e-05	0.000743294	0.00109704	0.0882548	0.0231756	0.876312	0.010154
m	0.000242824	0.000146558	0.00449774	0.00940309	0.167157	0.255797	0.462366	0.10039
b	0.00347999	0.00042425	0.0047514	0.0096729	0.0173039	0.213619	0.396518	0.354231
á	0.00305012	0.00245419	0.00613007	0.00569537	0.00602382	0.040773	0.561978	0.373896
</S>	0.00272611	0.000614569	0.0105097	0.0173624	0.0110522	0.187153	0.0655188	0.705064
