 	la	pirogue	a	abordé	</S>
b	0.327624	0.660791	0.0108423	0.000586852	0.000155188
v	0.033179	0.928544	0.0368768	0.000456939	0.000942807
á	0.0157901	0.981615	0.000416165	0.000309928	0.00186893
r	0.0109293	0.974935	0.000393332	0.000661388	0.0130814
e	0.26105	0.647181	0.00440199	0.00555445	0.081812
ώ	0.123605	0.0370015	0.778272	0.0134826	0.0476383
s	0.169717	0.0269482	0.454672	0.186226	0.162438
ε	0.0359081	0.00488734	0.0494208	0.69798	0.211804
m	0.0365283	0.00311892	0.0593765	0.338174	0.562803
í	0.0515707	0.00481356	0.116789	0.644697	0.182129
</S>	0.0232567	0.00385716	0.0984756	0.352963	0.521447
