 	il	agite	la	bouteille	</S>
w	0.9658	0.0167971	0.0171354	8.87764e-05	0.000178629
a	0.929524	0.0338006	0.0358205	0.000490072	0.000364458
l	0.483515	0.318364	0.164402	0.00340909	0.0303095
á	0.214653	0.266294	0.25209	0.0103807	0.256583
a	0.293169	0.115518	0.254175	0.0556236	0.281515
t	0.00714265	0.931307	0.0432735	0.0133502	0.00492614
í	0.0122462	0.826329	0.120155	0.026462	0.0148079
s	0.00624019	0.743327	0.230137	0.00936693	0.0109287
á	0.0496424	0.397772	0.53192	0.00523771	0.015428
á	0.129475	0.277207	0.471871	0.0442772	0.0771695
ω	0.0158585	0.051992	0.796717	0.119717	0.0157155
l	0.00194795	0.0134739	0.195373	0.756943	0.0322622
a	0.000948753	0.0223966	0.117444	0.840878	0.0183322
n	0.00146178	0.0279422	0.0964255	0.812373	0.061798
g	0.00473529	0.0523372	0.129782	0.539957	0.273189
i	0.0936539	0.0319747	0.130899	0.420113	0.323359
</S>	0.0106197	0.00417949	0.166189	0.0298066	0.789205
