 	nous	avons	acheté	les	feuilles	de	man-	ioc	au	marché	</S>
b	0.359303	0.591868	5.83947e-05	0.0346185	0.00282727	0.00858083	0.000453356	0.00062782	0.000753707	0.000157271	0.000751979
í	0.396259	0.591913	0.000182127	0.00955206	0.000230014	0.000893955	0.000163473	0.000213036	0.000552403	1.4412e-05	2.59612e-05
s	0.850358	0.139459	0.00844008	0.000612815	0.000262618	0.000111253	6.12533e-05	5.10059e-05	0.000122172	0.000332447	0.000188833
í	0.345951	0.481953	0.106285	0.0107132	0.00820729	0.00734763	0.000229396	0.00283943	0.00285029	0.00434527	0.0292791
l	0.0654744	0.27256	0.203826	0.0248458	0.0254766	0.0115802	0.0208281	0.0236816	0.0121445	0.0995596	0.240023
é	0.0357617	0.0771068	0.266432	0.0744508	0.0229982	0.0394944	0.0515095	0.105673	0.0225738	0.0299152	0.274084
s	0.00172738	0.0187834	0.963835	0.00242599	0.0022149	0.0011074	0.000938501	0.00452587	0.00213585	0.000122157	0.00218376
ó	0.000187366	0.00799795	0.979985	0.00202018	0.00556001	0.0003609	0.00116566	0.00158458	0.000350861	0.000541237	0.000246396
m	0.00191933	0.0123015	0.817565	0.0704192	0.0809001	0.00357906	0.00651865	0.00285223	0.00222557	0.00105669	0.000663234
b	0.000645872	0.00298507	0.343249	0.092823	0.431982	0.0562835	0.0413374	0.00685897	0.0108584	0.00556552	0.00741138
i	0.0141135	0.0179818	0.0146698	0.288425	0.255707	0.0966925	0.163538	0.0408021	0.0153703	0.037685	0.0550147
a	0.044323	0.0183165	0.000388834	0.186594	0.285913	0.324802	0.0749562	0.0209417	0.0322414	0.00278342	0.00874022
y	0.00038126	0.00206933	0.00406552	0.0463977	0.399611	0.0305751	0.432894	0.0328602	0.0242688	0.0191549	0.007723
a	0.000255945	0.00398645	0.100794	0.0084883	0.549585	0.0412157	0.152594	0.0668637	0.0482192	0.0170988	0.0108982
a	0.000327053	0.00191155	0.00220621	0.0215435	0.464059	0.127327	0.109877	0.0341078	0.0921656	0.0723304	0.0741453
a	0.000314924	0.000318867	6.00637e-05	0.0368727	0.150878	0.14534	0.176146	0.190319	0.27495	0.00663731	0.0181629
y	0.000479085	0.00142361	0.00140667	0.00678544	0.0285506	0.00723799	0.123403	0.241213	0.473248	0.07784	0.0384129
í	9.97937e-05	0.000931247	0.00691401	0.0012632	0.0526406	0.0120447	0.0597315	0.178452	0.498017	0.145733	0.0441721
í	0.000323292	0.000769757	0.000589911	0.00220392	0.0306144	0.0143581	0.0351616	0.0721807	0.280041	0.384701	0.179056
ó	0.000164396	0.000124396	0.000148739	0.00400674	0.0135025	0.00869966	0.0126127	0.148266	0.548308	0.115388	0.148778
d	0.000142422	0.000562569	0.00213698	0.0011213	0.00282448	0.000607235	0.00575271	0.0375483	0.282614	0.626266	0.040424
z	0.000139362	0.000674548	0.000386323	0.000654115	0.00238028	0.000974371	0.00189353	0.0231018	0.221554	0.532822	0.215419
á	0.00293147	0.00584051	0.00111645	0.00141494	0.00682535	0.00607742	0.000465083	0.0110631	0.0998348	0.774449	0.0899823
n	0.00192044	0.00104004	8.20487e-05	0.00106061	0.00455986	0.00348594	0.00276057	0.0131419	0.156573	0.624789	0.190587
d	0.00286755	0.00137412	3.12606e-05	0.00253704	0.0100022	0.00888643	0.00143629	0.0394539	0.0964716	0.358574	0.478366
e	0.00328558	0.00445834	0.000730039	0.00576635	0.0124142	0.0299557	0.00460213	0.103296	0.121946	0.162025	0.551521
</S>	4.0961e-05	4.19038e-05	3.3663e-05	0.000817288	0.00152168	0.0029941	0.0051762	0.0535712	0.10659	0.121516	0.707697
