 	j'	avais	construit	une	maison	à	ongonza	</S>
n	0.842874	0.0819394	0.00489903	0.0252725	0.00853504	0.0320473	0.00376304	0.00066984
g	0.988342	0.00274613	0.000700301	0.00143355	0.00249841	0.000694772	0.00358023	5.18599e-06
á	0.915916	0.0435451	0.00841594	0.00242766	0.0238318	0.000502227	0.0053374	2.38731e-05
l	0.230008	0.294906	0.130219	0.0473577	0.00722616	0.0910244	0.0144878	0.184771
a	0.314824	0.430169	0.062473	0.0583385	0.0104526	0.0303063	0.0208103	0.0726261
p	0.0263656	0.426537	0.241682	0.14303	0.0180904	0.0332203	0.0374051	0.0736699
i	0.00638336	0.824252	0.141746	0.00999639	0.00188242	0.00096772	0.000937507	0.0138342
á	0.0188275	0.839448	0.092616	0.0207289	0.00814748	0.00323891	0.00018787	0.0168054
n	0.0763265	0.187534	0.326769	0.269083	0.0496186	0.0625639	0.00186191	0.0262431
d	0.134393	0.0327379	0.222165	0.225331	0.312829	0.0354541	0.0154595	0.0216292
é	0.0198169	0.00523063	0.197288	0.101345	0.588297	0.00505064	0.0775124	0.00545959
e	0.00144781	0.00469323	0.164432	0.424899	0.230078	0.0291111	0.0938331	0.051505
s	0.000712451	0.0218938	0.124972	0.671443	0.0830626	0.0664486	0.00209519	0.0293727
o	0.00243892	0.0194733	0.269231	0.310094	0.0532798	0.087583	0.0229545	0.234946
n	0.00129289	0.0434525	0.176412	0.426643	0.100827	0.090735	0.0828542	0.0777839
g	0.00257381	0.00727018	0.135957	0.231662	0.401357	0.0577898	0.103737	0.0596522
ó	0.00314721	0.0012812	0.0167033	0.0615016	0.504583	0.0154406	0.386836	0.0105072
n	0.000596465	0.00467653	0.0352127	0.171805	0.145599	0.0807882	0.492871	0.0684504
d	8.54051e-05	0.00269924	0.0342801	0.221634	0.249397	0.191313	0.050971	0.24962
z	0.000410199	0.00629011	0.0501044	0.0983724	0.398745	0.214315	0.106905	0.124858
a	0.000245662	0.00589966	0.0328475	0.15073	0.247343	0.173062	0.053856	0.336016
</S>	0.000512485	0.00366807	0.0081513	0.0738427	0.0536648	0.679379	0.0212921	0.159489
