 	l'	antilope	dort	à	l'	abri	de	l'	arbre	tombé	</S>
m	0.792222	0.12975	0.0197728	0.00937223	0.010684	0.0244068	0.00679752	0.00218528	0.00431167	0.000353364	0.000144332
v	0.130885	0.728845	0.0170213	0.0221654	0.0391402	0.00294618	0.004609	0.0103156	0.00954022	0.00185003	0.0326819
u	0.0252406	0.949705	0.00920755	0.00579141	0.00580812	0.0015066	0.00090922	0.000627642	0.000499245	0.000587281	0.000116799
l	0.424147	0.449135	0.0151665	0.0228064	0.045727	0.00327008	0.00569912	0.0093963	0.00525479	0.00614797	0.0132505
u	0.254547	0.297904	0.332456	0.0397156	0.0228976	0.012168	0.00557632	0.00395124	0.00209362	0.00252182	0.026168
l	0.110856	0.0202956	0.699367	0.0894234	0.025392	0.00723396	0.00864649	0.00776281	0.0138748	0.00244612	0.0147019
á	0.235914	0.0110037	0.208242	0.0702631	0.0750619	0.0230073	0.050077	0.076204	0.0329282	0.0189084	0.19839
a	0.403426	0.00465579	0.135397	0.161625	0.126455	0.0345049	0.0357196	0.0263605	0.0185458	0.015774	0.0375369
b	0.00535064	0.0239789	0.292294	0.412475	0.0857212	0.121612	0.00928036	0.00881321	0.00469623	0.00452287	0.0312558
v	0.00903124	0.0728749	0.0836345	0.399919	0.123191	0.196732	0.033615	0.0206062	0.0100237	0.00764976	0.042722
a	0.00191458	0.0560934	0.0760872	0.455866	0.120194	0.216761	0.0274469	0.0147222	0.0174497	0.00577849	0.00768678
s	0.00133504	0.00220587	0.0222611	0.342353	0.224444	0.0964514	0.100283	0.0776113	0.0502632	0.00921817	0.0735738
é	0.00324723	0.00420103	0.00679796	0.118128	0.229273	0.140724	0.2083	0.14219	0.0333312	0.0337095	0.0800983
k	0.00398519	0.00182637	0.00629081	0.0742768	0.168508	0.183583	0.379095	0.0979192	0.0310166	0.020511	0.0329875
u	0.000910765	0.00212747	0.00291833	0.0120035	0.0371686	0.742137	0.114787	0.0400158	0.00693292	0.0284529	0.0125456
l	0.000254861	0.00189534	0.00163963	0.0191108	0.0429179	0.752226	0.130726	0.0347005	0.00505137	0.00554045	0.00593724
ú	0.00111066	0.000714487	0.00116119	0.0182494	0.0759333	0.508649	0.215002	0.110025	0.0246249	0.0180813	0.0264484
ú	0.00116053	0.000115507	0.00269466	0.0139492	0.047293	0.0356235	0.328588	0.28879	0.231039	0.0266461	0.0241002
</S>	0.00337098	0.000466148	0.00212208	0.00734936	0.0258687	0.0293296	0.146394	0.243505	0.258689	0.114458	0.168447
