 	le	brouillard	est	tombé	après	la	pluie	</S>
l	0.342411	0.616552	0.0172751	0.00671695	0.011244	0.00531936	0.000361225	0.000120203
e	0.387788	0.4901	0.0554013	0.0106382	0.0267943	0.0190923	0.00682161	0.00336466
b	0.0898704	0.692287	0.0717264	0.0138239	0.0475901	0.0168841	0.0227268	0.0450917
o	0.0838542	0.761887	0.0436558	0.017102	0.0186033	0.0124566	0.0359033	0.0265376
n	0.0897148	0.556324	0.258559	0.0236302	0.00861387	0.0116581	0.00889183	0.0426078
g	0.647286	0.276882	0.0247948	0.0121749	0.0125961	0.00482632	0.00800529	0.0134352
i	0.212485	0.719183	0.0348214	0.00281248	0.0199404	0.00165977	0.0025261	0.00657227
í	0.133455	0.0516947	0.657617	0.0730572	0.0408213	0.0274191	0.00165621	0.0142798
y	0.0116668	0.00272832	0.627141	0.284298	0.0251366	0.0259914	0.00184137	0.0211964
ε	0.00598058	0.00562396	0.293195	0.555419	0.0417026	0.0427461	0.00212747	0.0532061
i	0.016489	0.00808382	0.255536	0.204068	0.094421	0.0744185	0.0182281	0.328756
o	0.0051248	0.00234578	0.201317	0.339795	0.254889	0.138458	0.0168524	0.0412177
n	0.00296643	0.00139909	0.0418647	0.270678	0.427987	0.199415	0.0425704	0.0131203
g	0.00311548	0.0179557	0.0196506	0.0336765	0.758345	0.041237	0.0837187	0.0423006
ω	0.00157146	0.011396	0.0263082	0.0219812	0.850616	0.02672	0.0507758	0.0106311
n	0.00378688	0.0587154	0.0255048	0.00650485	0.502202	0.0367792	0.354514	0.0119923
g	0.0199272	0.0139258	0.0621855	0.0652811	0.530776	0.0898982	0.0976473	0.120359
ω	0.0316066	0.0670834	0.0378097	0.0409575	0.589807	0.0683344	0.134892	0.0295092
m	0.0118578	0.002229	0.063392	0.10142	0.147145	0.565809	0.0512075	0.0569401
á	0.0237478	0.00438638	0.00841654	0.0069537	0.039501	0.354675	0.224447	0.337873
m	0.0107113	0.00499007	0.0242769	0.0376085	0.0744866	0.357609	0.453011	0.037306
b	0.00744909	0.00647011	0.0047287	0.00451021	0.0155569	0.205037	0.509434	0.246814
v	0.000216238	0.000534449	0.00027728	0.00227734	0.01431	0.0363813	0.920728	0.0252756
ú	0.000289881	0.000956194	0.000228507	0.00535651	0.0142969	0.0270101	0.838169	0.113693
á	0.00189122	0.00213914	0.0177462	0.101949	0.0572193	0.140543	0.274485	0.404027
</S>	0.00208804	0.000904205	0.0141141	0.0100777	0.0643791	0.192506	0.238158	0.477772
