 	cette	femme	m'	a	insulté	parce	que	je	l'	ai	frôlée	</S>
o	0.403732	0.396983	0.0217104	0.0443429	0.0318766	0.0442216	0.0156929	0.0107266	0.0122139	0.00482154	0.0129617	0.000717129
y	0.12725	0.839041	0.00860743	0.00584267	0.0048301	0.00460286	0.00208663	0.00257512	0.00186306	0.00162344	0.000999537	0.000678036
ú	0.808396	0.0485063	0.0019854	0.0326616	0.0318608	0.00444094	0.0148263	0.0137767	0.0190111	0.00573515	0.00531496	0.0134849
r	0.846165	0.0879803	0.000497688	0.00358019	0.00499745	0.000494278	0.00152982	0.00108011	0.0056811	0.00584738	0.0198849	0.0222618
u	0.8177	0.0732928	0.00134259	0.011091	0.0271932	0.00958485	0.00512465	0.00129092	0.0101904	0.00578534	0.0123542	0.02505
w	0.372137	0.180481	0.110739	0.12494	0.0517142	0.0346232	0.0340655	0.0101938	0.0215723	0.0163987	0.00427021	0.038865
ó	0.202502	0.047408	0.101326	0.167149	0.165745	0.106412	0.0683107	0.0259849	0.0443465	0.022951	0.00205538	0.0458098
á	0.0991046	0.0194085	0.142036	0.252649	0.174347	0.0717188	0.0899827	0.0102781	0.0449665	0.0181093	0.000687788	0.0767125
t	0.00673966	0.00323164	0.0519775	0.583314	0.174423	0.0077228	0.0227582	0.0220781	0.0439237	0.0210085	0.00787429	0.0549484
ú	0.0110826	0.00181182	0.0590582	0.445114	0.334059	0.0215765	0.0321166	0.0131808	0.0386625	0.0118403	0.00664024	0.0248576
ú	0.19662	0.00106694	0.0170485	0.168985	0.305733	0.102585	0.03794	0.012835	0.0608991	0.0290988	0.00784228	0.0593466
s	0.0023537	0.000331772	0.247827	0.256282	0.20823	0.154949	0.0588198	0.0409515	0.0092204	0.00881041	0.00137402	0.0108501
u	0.0271274	0.000335533	0.0800561	0.205051	0.51244	0.0818854	0.0610168	0.0110528	0.00882832	0.00512733	0.000938917	0.00614008
n	0.00682496	0.000645372	0.338202	0.0988822	0.100308	0.264685	0.11607	0.0545604	0.00629036	0.00594311	0.00184164	0.00574576
g	0.00623073	0.00048933	0.357442	0.0661251	0.0495714	0.0836859	0.0447496	0.376465	0.00462337	0.00467319	0.00129625	0.00464739
á	0.0143026	0.0076451	0.402894	0.0439615	0.0228127	0.0548735	0.0384794	0.40023	0.00550574	0.0060565	0.00104329	0.00219592
t	0.00366752	0.000190272	0.00671015	0.0577216	0.168008	0.359025	0.304078	0.0184769	0.0425785	0.016156	0.00647834	0.0169093
s	0.0178783	0.000131387	0.00412284	0.0428661	0.464283	0.244462	0.173467	0.00775975	0.0191327	0.00263007	0.00413916	0.0191283
í	0.00191833	9.32965e-06	0.00196718	0.0424852	0.430964	0.258858	0.162679	0.0125828	0.0428749	0.00496079	0.00347753	0.0372231
n	0.0388563	0.000342248	0.0999238	0.0559148	0.193528	0.376028	0.146935	0.0331634	0.0213916	0.0070005	0.00372123	0.0231948
a	0.0060788	0.000510501	0.109392	0.0505741	0.0912931	0.386483	0.0873088	0.132589	0.0184435	0.0053267	0.0118853	0.100115
n	0.00159951	0.000103794	0.011435	0.093063	0.0706764	0.130375	0.210079	0.171081	0.199349	0.0580218	0.0163503	0.0378651
g	0.00569841	0.000168996	0.0171184	0.0189615	0.00562456	0.0254629	0.0815575	0.728131	0.0423979	0.0201675	0.00466436	0.0500468
á	0.000501116	0.000246213	0.0196781	0.0309425	0.010355	0.0520123	0.131894	0.608058	0.0843604	0.0463193	0.00547363	0.0101593
í	0.00111347	7.05512e-05	0.000693418	0.0104859	0.0138062	0.0360911	0.121564	0.0424249	0.338694	0.100773	0.0877312	0.246551
d	0.00101562	6.07889e-05	0.000123306	0.01734	0.00895061	0.00304578	0.01949	0.035226	0.320819	0.247647	0.226832	0.11945
u	0.000508879	0.000200295	0.000123323	0.00551554	0.00335947	0.000753348	0.010425	0.030954	0.236433	0.158008	0.18918	0.364539
m	0.00206711	4.20118e-05	0.000778135	0.0109375	0.00716568	0.00558319	0.01965	0.0384358	0.240089	0.215712	0.274232	0.185308
u	0.00201301	7.53921e-05	0.000371731	0.00681856	0.0219297	0.014835	0.018973	0.0104898	0.183419	0.134115	0.457918	0.149042
n	0.000147525	2.03561e-05	0.000343231	0.00390441	0.00294316	0.00193327	0.0115169	0.0188617	0.12818	0.14779	0.0459321	0.638428
u	0.000742053	4.78225e-05	0.00167339	0.00357102	0.00362484	0.00682385	0.0174243	0.127675	0.147298	0.335365	0.125868	0.229886
l	0.000126179	1.75511e-05	0.000742918	0.00286324	0.00239096	0.00250461	0.0142359	0.0215255	0.0868781	0.145883	0.0266729	0.696159
a	0.00244457	4.39395e-05	0.000584599	0.0119838	0.016055	0.00460451	0.0243992	0.0262476	0.171479	0.295608	0.073545	0.373005
w	0.00640833	0.000308473	0.00913355	0.00953	0.0199378	0.042456	0.0464164	0.0458775	0.126476	0.327447	0.0866258	0.279383
a	0.00507379	0.000192928	0.0104428	0.0134954	0.0572479	0.113714	0.066572	0.0336613	0.200226	0.267435	0.11398	0.117959
</S>	0.000943159	7.22025e-05	0.00111167	0.00231173	0.00965942	0.00668279	0.0083231	0.00853484	0.064778	0.0706014	0.0351428	0.791839
