 	sa	démarche	me	fait	rire	</S>
e	0.752633	0.239113	0.00371455	0.00407807	0.000149351	0.000311929
b	0.152181	0.778539	0.00768352	0.0276639	0.0260985	0.00783441
h	0.078694	0.893479	0.00229603	0.0080295	0.0143779	0.00312323
é	0.0280957	0.939375	0.00834165	0.0130822	0.00171531	0.00938977
m	0.232432	0.728505	0.00925065	0.00384505	0.00230329	0.0236638
b	0.196591	0.716131	0.0349117	0.00925303	0.00248165	0.0406317
í	0.038123	0.924444	0.00906303	0.00366072	0.000586092	0.0241237
l	0.4187	0.063414	0.377594	0.070611	0.00640968	0.0632709
í	0.250444	0.0241984	0.233153	0.0572138	0.0356591	0.399332
y	0.700423	0.0157371	0.179107	0.0389371	0.0223739	0.0434222
á	0.206752	0.0443658	0.460789	0.0481005	0.205081	0.0349116
w	0.536452	0.00409585	0.256965	0.0649707	0.0491161	0.088401
a	0.121452	0.0282264	0.321623	0.252784	0.106972	0.168943
y	0.0145169	0.00157772	0.417988	0.275921	0.154843	0.135153
é	0.18328	0.00614733	0.226638	0.11104	0.39807	0.0748251
e	0.0818206	0.00256121	0.296207	0.216886	0.188046	0.214479
p	0.00133027	0.0039209	0.0190731	0.0877969	0.710991	0.176888
έ	0.000189427	0.00176809	0.00462661	0.0616992	0.76813	0.163586
έ	0.0166196	0.0018021	0.106606	0.265832	0.473966	0.135175
n	0.0103245	0.00152345	0.0586845	0.20446	0.226549	0.498459
g	0.040243	0.0117449	0.189405	0.20762	0.14604	0.404947
á	0.0166001	0.00371936	0.243738	0.128974	0.208126	0.398843
l	0.0163	0.00560958	0.0338849	0.108348	0.47634	0.359518
e	0.018534	0.00168585	0.0335969	0.0545746	0.461748	0.429861
t	0.0127328	0.000895198	0.0171152	0.0337539	0.517424	0.418079
ω	0.00718222	0.00200456	0.00516884	0.0383798	0.736821	0.210443
t	0.000941398	0.00178814	0.00436706	0.0272617	0.736882	0.228759
ω	0.0398744	0.00948172	0.0282057	0.0430505	0.275139	0.604249
ω	0.0200581	0.00196524	0.0344866	0.061392	0.293385	0.588713
</S>	0.0292422	0.00301878	0.0395313	0.116679	0.191052	0.620476
