 	quand	vous	avez	bu	de	l'	alcool	de	maïs	qui	était	ivre	avant	l'	autre	</S>
é	0.748706	0.0841454	0.0287324	0.0267379	0.0199425	0.0200901	0.0217323	0.0150941	0.00493179	0.0167144	0.000467568	0.00741008	0.000441288	0.00439076	0.000227239	0.000236627
n	0.40324	0.180572	0.147057	0.0773242	0.024694	0.0165001	0.0109371	0.00667124	0.00309861	0.00917835	0.00210118	0.00782925	0.0623766	0.0161889	0.0309168	0.00131483
y	0.20511	0.13699	0.297206	0.241941	0.0166385	0.00886572	0.0147221	0.00618574	0.0277408	0.00499564	0.00349317	0.0167446	0.00240577	0.00499006	0.00391613	0.00805489
w	0.209744	0.0583222	0.362673	0.16757	0.0160319	0.0144426	0.0183312	0.00920372	0.075982	0.0119003	0.00966561	0.0185087	0.0025014	0.00447681	0.00723601	0.0134108
é	0.133778	0.021206	0.134232	0.132242	0.039822	0.037528	0.0355842	0.0231007	0.237348	0.0251492	0.0211866	0.0428837	0.0122281	0.0143131	0.0213553	0.068044
b	0.319746	0.0435335	0.172014	0.198472	0.0366026	0.0174088	0.0145476	0.00916031	0.00846727	0.00679737	0.00456129	0.0125404	0.0274633	0.00503001	0.00944661	0.114209
í	0.142841	0.0233841	0.333884	0.235595	0.0871866	0.030903	0.0150348	0.011022	0.0037828	0.00510007	0.00117434	0.0153771	0.00669898	0.00972741	0.00310495	0.0751837
n	0.0786307	0.125908	0.170208	0.203732	0.226307	0.0759107	0.0262417	0.0219869	0.00646903	0.0122402	0.00311089	0.00834804	0.00260934	0.00766098	0.00056747	0.0300684
í	0.0667901	0.113314	0.180833	0.348651	0.0535283	0.0259715	0.0224594	0.021898	0.0390525	0.0128725	0.00434582	0.0189073	0.00173534	0.0168417	0.0233493	0.0494511
o	0.0363337	0.0720457	0.143365	0.287182	0.234487	0.0765558	0.0272088	0.0179541	0.0216822	0.0177229	0.018514	0.0174727	0.00320195	0.00952235	0.0018637	0.0148882
n	0.000772643	0.000242577	0.00349692	0.0705784	0.395839	0.215665	0.0878185	0.0237701	0.0274308	0.00880307	0.0643449	0.0156872	0.0785703	0.00175994	0.00131645	0.00390378
g	0.00376628	0.00203011	0.00855662	0.115314	0.12396	0.0851949	0.10021	0.0186836	0.226508	0.00980659	0.202444	0.048192	0.0162261	0.00445464	0.00691463	0.027738
a	0.00614259	0.0100103	0.0646105	0.275394	0.118438	0.107896	0.0779577	0.0246806	0.114556	0.0126615	0.0389385	0.0919047	0.0166087	0.00599347	0.00780246	0.026405
n	0.0106913	0.00491463	0.0454565	0.190347	0.225266	0.218314	0.07264	0.06087	0.0409231	0.0397648	0.0210024	0.0400288	0.00970559	0.00535263	0.00262178	0.0121009
d	0.00836728	0.00222246	0.0148134	0.0816461	0.241307	0.241987	0.123287	0.0718704	0.0365107	0.0242383	0.00899668	0.0212677	0.0122871	0.0112648	0.00345922	0.0964749
a	0.00776821	0.00554339	0.0380199	0.156944	0.106276	0.167674	0.106062	0.0818718	0.0924528	0.032957	0.0168678	0.0184165	0.00672688	0.00639197	0.0101255	0.145902
o	0.00355211	0.00178496	0.00702017	0.0115402	0.135559	0.215817	0.171585	0.130406	0.105322	0.112699	0.0226531	0.0588306	0.0019872	0.0108605	0.000860124	0.0095229
l	0.000466522	5.10164e-05	0.000504481	0.00345245	0.0336182	0.067294	0.126156	0.0798262	0.092662	0.0547746	0.368891	0.106614	0.0601974	0.00204268	0.000657678	0.00279125
á	0.000269428	0.000119362	0.00155882	0.00296607	0.0102715	0.0155732	0.0617027	0.0458783	0.157566	0.0418241	0.412185	0.162969	0.0562326	0.00363435	0.00227908	0.0249703
n	0.000702512	0.00111855	0.00424485	0.00638761	0.0197	0.0403924	0.0518288	0.104438	0.147551	0.171553	0.222387	0.0880309	0.0580363	0.0108865	0.0140146	0.0587285
g	0.00330157	0.00294896	0.0108556	0.0132789	0.0554536	0.0823447	0.107069	0.123145	0.216048	0.130446	0.0377268	0.154672	0.0160901	0.0143225	0.00603581	0.0262613
i	0.00188907	0.00435198	0.0117014	0.0147084	0.0225395	0.0664092	0.101872	0.0752414	0.312537	0.136255	0.0463193	0.166374	0.00396134	0.00970337	0.00567735	0.0204596
o	0.000942763	0.000327679	0.000994549	0.0011685	0.0160537	0.0386562	0.0657132	0.119992	0.150244	0.266604	0.059419	0.207092	0.00474745	0.0515006	0.00713074	0.00941338
b	0.000158976	5.0257e-05	0.000512953	0.00110196	0.00437007	0.00580496	0.0128882	0.0234982	0.0370693	0.0576975	0.184968	0.213382	0.394955	0.035705	0.00950569	0.0183323
o	0.00165761	0.000440947	0.00285032	0.00871178	0.0411279	0.0381446	0.0421558	0.0570355	0.0171184	0.070075	0.0173299	0.130074	0.362292	0.0598966	0.0144489	0.136641
s	0.000370513	0.000301393	0.00384888	0.00768943	0.0102408	0.011188	0.010514	0.0225646	0.0156269	0.0406059	0.0407919	0.119669	0.633809	0.0207661	0.00263534	0.0593782
ó	0.000512844	4.03129e-05	0.00031968	0.00253296	0.00836219	0.0196412	0.0345705	0.0636836	0.0886322	0.128495	0.106435	0.163126	0.224719	0.0872747	0.0330283	0.0386257
á	0.00177905	0.000690807	0.00156385	0.00133807	0.00740074	0.0114513	0.0231205	0.0437201	0.0469625	0.0828185	0.052203	0.174287	0.0642503	0.314071	0.0332526	0.141091
d	0.000390456	0.000424697	0.00197585	0.00181742	0.00577782	0.00468197	0.00819922	0.0104053	0.0120952	0.0220966	0.0486378	0.11804	0.35147	0.255612	0.0684433	0.0899318
z	9.91699e-05	3.21513e-05	0.00026286	0.0011947	0.00176962	0.00162689	0.00525025	0.0064285	0.00827288	0.0079062	0.0124337	0.0593216	0.0949074	0.112011	0.0614573	0.627026
e	0.000651097	0.000145647	0.000671745	0.00489872	0.00471075	0.0104415	0.0169789	0.0426883	0.0236106	0.0334155	0.105747	0.0588047	0.154074	0.236558	0.211956	0.0946483
n	0.000187461	1.52935e-05	0.000123793	0.000491803	0.0027875	0.00555573	0.00887187	0.0197757	0.0151639	0.0329382	0.0443223	0.0467637	0.228576	0.273161	0.10157	0.219696
d	7.82467e-05	2.80781e-05	0.000139191	0.000571629	0.00125419	0.002221	0.00450213	0.011064	0.0143239	0.0165518	0.0103722	0.034495	0.0524353	0.255043	0.397404	0.199516
a	0.000132267	5.49598e-05	0.000328585	0.00101252	0.001086	0.00210845	0.00501919	0.0050236	0.0193711	0.00829916	0.0147679	0.0379969	0.043792	0.143753	0.458394	0.258861
</S>	3.38549e-05	1.33845e-05	9.56251e-05	0.000136164	0.00069943	0.00116738	0.00214585	0.00340816	0.00513261	0.00736552	0.00334554	0.0224978	0.0253021	0.241345	0.299784	0.387527
