 	j'	ai	découvert	le	terrier	d'	un	blaireau	dans	mon	champ	</S>
n	0.72833	0.0775625	0.0716073	0.0275118	0.0344465	0.0173261	0.019261	0.0130018	0.00297438	0.00681971	0.000431217	0.000727932
g	0.983638	0.0132392	0.000137571	0.000386017	9.35888e-06	8.23507e-05	0.000144866	5.28403e-05	8.77715e-05	0.00186192	0.000353193	6.99059e-06
á	0.828565	0.161646	0.00234183	0.00140585	8.14745e-05	0.000226339	0.00076639	0.000376957	0.000180245	0.00132469	0.0030481	3.65638e-05
í	0.0984358	0.359545	0.0875659	0.11231	0.0104448	0.00856134	0.021792	0.00645403	0.00492826	0.131197	0.000314578	0.158452
k	0.00286084	0.0775182	0.816776	0.0468089	0.0425218	0.00216063	0.00491733	0.00202093	0.00166537	0.000653356	7.21312e-06	0.00208944
ú	0.000139857	0.00591929	0.838129	0.0466677	0.0828399	0.00890529	0.00976998	0.00437845	0.00128089	0.000330614	1.8745e-06	0.00163692
n	3.18119e-05	0.0140853	0.75742	0.101241	0.086366	0.0197737	0.0165182	0.00399822	0.000418018	5.67393e-05	1.58437e-05	7.47648e-05
d	0.00384954	0.023692	0.771414	0.111795	0.0194083	0.0414419	0.0155009	0.00321188	0.00223113	0.00307575	0.00051932	0.00386028
u	0.00728581	0.03637	0.378793	0.273798	0.0457038	0.149825	0.0451465	0.00823564	0.0197458	0.0253268	0.00119574	0.0085745
k	0.0172718	0.0489161	0.0203316	0.198893	0.173551	0.28986	0.135053	0.0577012	0.0277525	0.00843433	0.00802001	0.014215
ó	0.00248429	0.00161112	0.045561	0.0593984	0.326686	0.144655	0.16307	0.239275	0.00910478	0.00228797	0.00237675	0.0034899
l	9.97327e-05	0.00260019	0.0271595	0.0493814	0.6119	0.0740644	0.0976789	0.122897	0.00833396	0.00016462	0.000216695	0.00550362
o	9.46089e-05	0.000656759	0.0563994	0.0490967	0.576496	0.11615	0.105035	0.06153	0.017809	0.00160012	0.000728286	0.0144045
s	0.000421042	0.0035651	0.0022258	0.0368378	0.038951	0.222506	0.173902	0.148845	0.329859	0.0217724	0.00140229	0.0197113
á	0.000785863	0.00190474	0.00515381	0.0191665	0.00706252	0.0534168	0.142089	0.187261	0.28477	0.206952	0.00536526	0.0860718
n	0.0118958	0.00634567	0.000465244	0.00698293	0.00175224	0.0499751	0.0551313	0.168109	0.17444	0.112861	0.398728	0.0133141
g	0.00207213	0.00119184	0.000353593	0.00152307	0.000178612	0.0107004	0.036878	0.0962285	0.191684	0.229643	0.410376	0.0191712
o	0.00633483	0.00339075	0.000175348	0.00230331	0.000358335	0.00935495	0.0303837	0.140862	0.0341161	0.0909097	0.674353	0.00745825
n	3.22782e-05	0.000296905	0.000525163	0.000727269	0.000210453	0.00347745	0.0312392	0.36174	0.0312487	0.0213428	0.542004	0.00715648
d	0.000115192	0.00201508	0.00883884	0.00855635	0.00112558	0.0335481	0.048871	0.137826	0.110142	0.0182572	0.0670229	0.563682
a	0.000403417	0.000369845	0.00340784	0.0017422	0.000703294	0.00927315	0.0327467	0.139517	0.0356865	0.0206944	0.416617	0.338839
</S>	0.0003	0.000829803	0.00142054	0.00871725	0.00237312	0.0357067	0.0416489	0.0358122	0.172349	0.271704	0.00972651	0.419412
