 	les	femmes	d'	otsende	étaient	en	train	de	vendre	des	fruits	gambea	</S>
a	0.60388	0.188651	0.0729626	0.0775343	0.0312508	0.00727993	0.00378177	0.00241687	0.0048054	0.00263901	0.0043146	0.000439447	4.51063e-05
y	0.0521755	0.919873	0.0157001	0.00933789	0.00138018	0.000352267	0.000183523	4.90906e-05	0.000422966	7.64656e-05	0.00011595	0.000233639	9.98591e-05
ú	0.275832	0.496359	0.0572457	0.136516	0.0180648	0.0126423	6.08283e-05	0.000365237	0.000377307	0.000433448	0.000321176	0.000204908	0.00157744
r	0.612506	0.219079	0.029223	0.0651897	0.0115276	0.0295933	3.72149e-05	0.0014995	0.00105731	0.00236306	0.00344445	0.000177727	0.0243025
u	0.742729	0.131257	0.0441706	0.045714	0.00954585	0.0103217	0.000166345	0.00326355	0.001509	0.0023286	0.0020753	0.00035902	0.00655985
b	0.302486	0.0323216	0.43905	0.0541993	0.0372666	0.016847	0.00462566	0.0293157	0.0052397	0.0154941	0.00942092	0.00183266	0.0519003
ó	0.163692	0.00673357	0.242416	0.168391	0.116426	0.129352	0.0353169	0.0421232	0.00954515	0.0220689	0.0404686	0.00273519	0.020731
t	0.0417932	0.00764407	0.560712	0.22733	0.0717654	0.0573372	0.00812804	0.0105988	0.00224942	0.00312126	0.00320913	9.47314e-05	0.00601637
s	0.416076	0.0145675	0.0960417	0.27566	0.155141	0.0207068	0.000935508	0.00545386	0.00196521	0.00393887	0.0031765	0.0024236	0.00391316
έ	0.00705365	0.000859258	0.124083	0.683905	0.0940054	0.0654034	0.000649728	0.00829914	0.00261075	0.00290463	0.00167626	0.00053753	0.00801283
n	0.155724	0.00280992	0.133287	0.379002	0.114024	0.0741944	0.00312311	0.0164184	0.00685501	0.0108637	0.0131374	0.00235459	0.0882065
d	0.100157	0.00818412	0.147099	0.375484	0.117249	0.0748983	0.00304329	0.0345617	0.0122312	0.0131703	0.00936149	0.00274447	0.101816
ε	0.0859632	0.0117788	0.148119	0.571675	0.0773447	0.0563378	0.000287396	0.0104182	0.00276013	0.00611851	0.00316675	0.000710718	0.0253196
á	0.0352946	0.00142365	0.238539	0.117339	0.272415	0.234288	0.0207125	0.0551113	0.00704243	0.00614726	0.00416902	0.000146816	0.0073724
d	0.0204127	0.00157315	0.176248	0.0407928	0.289371	0.185733	0.023376	0.12637	0.0483071	0.0256019	0.015084	0.000594962	0.0465348
z	0.0161549	0.00248866	0.107969	0.0206755	0.312048	0.161089	0.00761755	0.0889731	0.0615939	0.0374662	0.00632184	0.00262726	0.174975
e	0.180496	0.0338614	0.0696916	0.0490284	0.362774	0.12105	0.000634124	0.0663286	0.0251179	0.0407745	0.0049143	0.00892379	0.0364045
b	0.0274605	0.000224749	0.078917	0.0338449	0.119185	0.24794	0.113715	0.147375	0.143876	0.0339979	0.0242767	0.00313134	0.0260558
á	0.0229685	0.00847676	0.0803729	0.158098	0.10137	0.0772196	0.215748	0.14741	0.0959013	0.0431222	0.0252762	0.0154167	0.00861974
a	0.025257	0.00146442	0.03904	0.0170155	0.074453	0.0720879	0.354849	0.247833	0.0952256	0.0268471	0.01022	0.0270964	0.00861115
k	0.00216819	0.00180501	0.0218372	0.00644796	0.0245679	0.0215572	0.0147264	0.16525	0.532077	0.0827346	0.027436	0.00299914	0.0963931
i	0.000341777	0.00057302	0.0137239	0.00675637	0.00993951	0.00913251	0.0134499	0.0327078	0.735914	0.0755379	0.048941	0.0145036	0.0384784
r	5.68145e-05	9.74668e-05	0.00496319	0.0025076	0.00744571	0.00868632	0.00492519	0.0131832	0.860885	0.0386047	0.0277745	0.00597263	0.0248977
á	0.00267207	0.0001177	0.0051939	0.00420987	0.0166166	0.0225895	0.00144242	0.0769939	0.308427	0.164457	0.102793	0.0140107	0.280476
a	0.0027078	0.000209626	0.00402666	0.00442817	0.0100932	0.0121741	0.00231712	0.125699	0.0618167	0.24583	0.188086	0.219977	0.122633
b	0.00437243	0.00212122	0.00747554	0.00470235	0.0077051	0.0102791	0.00444925	0.02771	0.0455021	0.280496	0.469244	0.075909	0.0600335
a	0.00253953	0.00123173	0.0150138	0.00855246	0.0117607	0.016888	0.0306821	0.0153467	0.154809	0.120506	0.261957	0.335076	0.0256369
a	0.000515264	0.00013485	0.0020788	0.00247108	0.00342345	0.0037893	0.0127808	0.0150873	0.120921	0.0941626	0.104221	0.557472	0.0829428
m	0.00117198	3.91578e-05	0.00259053	0.00221372	0.00321182	0.00569037	0.000798302	0.0173137	0.0167417	0.180644	0.619142	0.0456462	0.104797
í	0.0111332	0.00195365	0.00497389	0.00169843	0.00670941	0.0164612	0.000593601	0.0247373	0.00206765	0.10551	0.3666	0.22397	0.233591
</S>	0.00622495	0.000771918	0.0160225	0.00757387	0.00966289	0.0157654	0.00390037	0.0271491	0.0116525	0.117281	0.36194	0.21648	0.205575
