 	mets	le	manioc	dans	le	tamis	</S>
k	0.857296	0.0936449	0.0103461	0.0122997	0.0125266	0.0134951	0.000391431
a	0.966206	0.0103485	0.0111107	0.00301465	0.00250574	0.00533792	0.00147631
n	0.885926	0.0461642	0.0293115	0.00417191	0.00276717	0.00206152	0.029598
á	0.741329	0.150978	0.0186578	0.0202014	0.0124646	0.0113887	0.0449806
i	0.0733149	0.702908	0.149437	0.0383448	0.0114315	0.00204483	0.0225189
k	0.060175	0.167815	0.641092	0.0339268	0.0141531	0.0213228	0.0615147
ώ	0.0212354	0.00961716	0.947568	0.00775721	0.0025302	0.00332313	0.00796848
ώ	0.081685	0.024486	0.800381	0.0136819	0.00576215	0.0267554	0.0472484
s	0.00140658	0.0644477	0.0749685	0.620754	0.178315	0.0144246	0.0456839
é	0.00404849	0.0764313	0.0607434	0.0893828	0.0590718	0.181631	0.528691
y	0.0011414	0.0336299	0.0181043	0.100977	0.0830148	0.665373	0.0977593
ε	0.000484563	0.00897252	0.00209998	0.0116341	0.0266253	0.839889	0.110294
n	0.000216561	0.00381274	0.00193376	0.0171379	0.0307631	0.811762	0.134374
g	0.00102049	0.0159491	0.00829007	0.0766907	0.164736	0.552636	0.180677
i	0.000432552	0.0190721	0.00228298	0.025249	0.0472992	0.636282	0.269382
s	0.000100205	0.00745255	0.00159983	0.0445232	0.109659	0.451377	0.385288
i	0.00044344	0.00794158	0.00374868	0.0271998	0.123423	0.478339	0.358904
</S>	0.000241084	0.0108263	0.00374971	0.035779	0.0891662	0.132063	0.728174
