 	mon	mal	de	ventre	a	repris	</S>
n	0.214815	0.502819	0.19737	0.0540161	0.0278974	0.0015387	0.00154394
g	0.826051	0.162129	0.00646088	0.00121482	0.00294	0.00101818	0.00018563
á	0.648323	0.332116	0.00840907	0.00202331	0.00364964	0.00532146	0.000158169
i	0.243579	0.54322	0.109867	0.0210181	0.0377076	0.003908	0.0407012
f	0.013612	0.0992778	0.436463	0.198294	0.088956	0.0311279	0.13227
ú	0.00263016	0.0989332	0.5153	0.267765	0.03563	0.0378027	0.0419387
n	0.011721	0.0359849	0.0856609	0.801972	0.0134892	0.013855	0.0373174
d	0.143482	0.10502	0.194115	0.458013	0.0459226	0.00704016	0.0464084
ú	0.248601	0.145283	0.20301	0.333547	0.0286059	0.00739847	0.0335552
b	0.0451529	0.0542962	0.522359	0.258355	0.106219	0.00173331	0.0118835
v	0.251366	0.0876573	0.248781	0.205038	0.128417	0.0186836	0.0600578
ú	0.0217774	0.053975	0.138675	0.660046	0.0810383	0.0060196	0.0384684
a	0.00176683	0.00680518	0.188964	0.594888	0.145302	0.0360069	0.0262671
í	0.00641113	0.00763463	0.110328	0.350693	0.476589	0.00771494	0.0406293
m	0.00524222	0.00873233	0.0751135	0.198764	0.535007	0.0771639	0.0999776
i	0.00151532	0.00734862	0.0206732	0.034715	0.323705	0.385633	0.226409
l	0.000608538	0.00173492	0.0123911	0.169554	0.2184	0.440748	0.156563
a	0.000629923	0.00283941	0.0106749	0.075359	0.0872267	0.672613	0.150657
a	2.79202e-05	0.000321207	0.00460816	0.0888868	0.046566	0.713141	0.146449
n	0.000998783	0.00206599	0.0163543	0.0469379	0.485173	0.152048	0.296421
g	0.0219101	0.0109036	0.0109548	0.0325644	0.127364	0.556605	0.239698
a	0.0250767	0.0233471	0.00455827	0.0141194	0.151013	0.331161	0.450724
</S>	0.000196228	0.000550451	0.00144847	0.00503315	0.0683534	0.0882927	0.836126
