 	le	cabri	est	en	train	de	se	frotter	contre	le	mur	</S>
m	0.833456	0.0717533	0.062758	0.0153053	0.00224672	0.00692914	0.00243476	0.00105881	0.0031976	0.00083627	1.43853e-05	9.77892e-06
b	0.0519308	0.845431	0.028372	0.0514974	0.00414808	0.00805168	0.00446173	0.000851736	0.00182102	0.000180491	9.30116e-05	0.00316093
ó	0.0385823	0.920353	0.0113179	0.0123084	0.0154193	0.000556972	0.000293591	0.000315473	0.000590206	9.51087e-05	0.00011353	5.39619e-05
s	0.0352763	0.920371	0.010946	0.0203251	0.00938771	0.0012296	0.000570406	0.000936921	0.000434241	4.59625e-05	0.000191912	0.00028498
i	0.301555	0.189951	0.0806091	0.137355	0.12479	0.0453295	0.0218994	0.0617935	0.0134084	0.0034888	0.00154857	0.0182724
b	0.299453	0.0420722	0.307027	0.203451	0.0269317	0.091947	0.0215946	0.0015831	0.00121057	0.00112101	0.000812557	0.00279616
á	0.115803	0.00445904	0.18147	0.315961	0.0962298	0.125166	0.0464463	0.000491147	0.0200933	0.0436043	0.0253538	0.0249229
l	0.0554078	0.00313292	0.236306	0.385287	0.0646201	0.147022	0.0711086	0.00774312	0.0052632	0.00195076	0.00430121	0.0178567
á	0.0611863	0.00535985	0.0738785	0.0421358	0.00202077	0.202843	0.378711	0.0257427	0.0194543	0.00579202	0.0141725	0.168703
a	0.072992	0.00172152	0.173173	0.12661	0.00969619	0.221386	0.210094	0.097512	0.0411231	0.0102112	0.00995781	0.0255221
s	0.00638523	0.00138126	0.00201942	0.000947632	0.000248083	0.0184768	0.150412	0.81107	0.00284121	0.000537356	0.000620324	0.00506043
i	0.00151252	0.00121104	0.000213772	0.000492065	5.7204e-05	0.00222587	0.0648458	0.918948	0.00487167	0.000413299	0.000318364	0.0048905
i	0.0182717	0.000472556	0.00203226	0.00280914	0.00024738	0.01808	0.212442	0.687877	0.0497654	0.00256179	0.000633328	0.00480735
g	0.0053099	0.000209299	0.0174032	0.0279775	9.31675e-05	0.172645	0.52841	0.119572	0.0774631	0.026391	0.00498916	0.0195364
h	0.00572934	0.000166875	0.00823086	0.00601411	3.30904e-05	0.0662604	0.425557	0.0466051	0.153196	0.107115	0.0486351	0.132457
á	0.00786178	0.00177343	0.0064378	0.013281	5.53475e-05	0.0452609	0.150488	0.0886871	0.476947	0.0876944	0.0312781	0.0902351
n	0.0010079	0.000244648	0.0046584	0.00933947	0.000110731	0.0299729	0.0687439	0.0501989	0.403535	0.355225	0.0380549	0.0389088
d	0.0033937	0.00137103	0.00514646	0.0103041	7.89929e-05	0.0108108	0.0106264	0.0071264	0.50429	0.383702	0.0319772	0.0311734
z	0.00278582	0.00285122	0.00118009	0.00214864	2.71145e-05	0.00277544	0.00458847	0.0129281	0.444084	0.379113	0.0438649	0.103653
á	0.000217128	0.000930594	0.000495676	0.000631988	3.45714e-05	0.000991099	0.0021868	0.0270284	0.53389	0.352354	0.017775	0.0634644
r	0.000434537	0.000208753	0.000783902	0.00104685	5.09191e-05	0.00286042	0.00767963	0.0236287	0.518389	0.185278	0.0444109	0.215229
o	0.00129507	0.00204608	0.00245604	0.0021355	0.000140402	0.00405766	0.0076653	0.00647632	0.354229	0.323839	0.155173	0.140486
m	0.00269679	0.000319586	0.00617022	0.00564246	0.000116283	0.0128259	0.00910333	0.00106839	0.0693335	0.179476	0.420259	0.292989
é	0.00331034	0.00373591	0.0108231	0.00464733	3.741e-05	0.00367449	0.00300717	0.000199825	0.0259182	0.230949	0.409246	0.304451
b	0.00234948	0.00207187	0.0134222	0.00309009	0.000296739	0.006643	0.00474084	0.00125818	0.0225429	0.0730274	0.763937	0.106621
a	0.0058246	0.00220635	0.00451055	0.00226481	0.000511109	0.00355422	0.00401672	0.000162434	0.013982	0.0281085	0.911625	0.0232339
á	0.0142087	0.0103116	0.00387129	0.0219059	0.00323519	0.00191081	0.00205035	7.64642e-05	0.0167374	0.0928974	0.695666	0.137129
</S>	0.00122689	0.00025002	0.00696213	0.0110906	0.000129689	0.0130519	0.00790736	0.000845636	0.0059142	0.025922	0.36645	0.560249
