 	cet	homme	est	en	train	de	percer	le	noyau	du	palmier	pour	y	extraire	du	vin	</S>
m	0.565511	0.404212	0.0095379	0.0054271	0.00126414	0.00154346	0.000518653	0.00505901	0.000230101	0.00316165	0.00034914	0.00094442	0.000417575	0.000936873	0.000809473	4.85072e-05	2.92635e-05
o	0.716991	0.182391	0.01748	0.0709335	0.000628584	0.00275643	4.49767e-05	0.000903069	0.00027328	0.000527765	0.00109732	0.00194959	0.000461419	0.000616737	0.00127761	3.37959e-05	0.00163412
r	0.394532	0.55131	0.0214014	0.0169525	0.00278329	0.00580233	0.000498657	0.000405466	0.000770638	0.000551815	0.00117941	0.000829679	6.45302e-05	7.22293e-05	0.000116197	0.001691	0.00103885
o	0.647495	0.302221	0.00836781	0.0055396	9.81644e-05	0.00372756	0.00945871	0.00342712	0.00620482	0.00222364	0.000111121	0.000582892	0.000169849	0.000871864	0.00238877	0.000834279	0.00627788
w	0.774441	0.169216	0.0315454	0.0133133	0.000107061	0.00158271	0.00125971	0.00102941	0.000117729	0.00112324	3.5154e-05	0.000422944	0.000139372	0.000106028	0.000579	0.00012987	0.00485259
á	0.230209	0.0229014	0.181144	0.164664	0.0130904	0.0624088	0.0342044	0.0862513	0.0102438	0.110538	0.00440313	0.0183718	0.0135753	0.00495649	0.0135113	0.0175074	0.0120197
b	0.0171406	0.00612962	0.303161	0.209366	0.0730756	0.0425258	0.159732	0.016567	0.013434	0.00767801	0.00288138	0.014223	0.00600965	0.00711636	0.00433617	0.00250099	0.114123
ó	0.00755749	0.0262287	0.0830127	0.154184	0.536569	0.0492225	0.00525541	0.00236934	0.00242186	0.0053935	0.0743563	0.0150475	0.00592921	0.00506056	0.00502084	0.0156795	0.00669174
l	0.0588371	0.0158197	0.194407	0.287909	0.313777	0.0571622	0.00752543	0.0199744	0.0011782	0.0154528	0.00362527	0.00778697	0.00492862	0.00113036	0.00408119	0.00142094	0.00498414
á	0.0446098	0.00836621	0.107793	0.0634066	0.00845571	0.159248	0.0816925	0.0845925	0.0111038	0.0322852	0.00984906	0.0946943	0.0231047	0.0355077	0.0282912	0.0183626	0.188637
a	0.0689437	0.0166968	0.0999381	0.113833	0.0208098	0.336681	0.0399287	0.079719	0.0287479	0.0232279	0.0322382	0.0370998	0.0139365	0.0166545	0.0156926	0.0125453	0.0433079
p	0.00483164	0.00692565	0.0205	0.00480862	0.00280237	0.09727	0.772825	0.0094163	0.0632764	0.00265891	0.00253393	0.00267479	0.0007496	0.00158716	0.00076712	0.00167148	0.00470051
á	0.000501963	0.00133942	0.01969	0.0030652	0.0015552	0.0896048	0.768464	0.010916	0.0877187	0.00241768	0.00148645	0.00344036	0.00152607	0.00220868	0.000196747	0.000728053	0.00514044
s	0.000247736	0.00118549	0.0118077	0.00789927	0.00631889	0.0214108	0.910982	0.0067658	0.0180652	0.00169121	0.00109894	0.00152284	0.00243733	0.00647766	0.000249294	0.000209216	0.00163025
á	0.000994356	0.00127052	0.0152728	0.0260456	0.00067211	0.298304	0.399424	0.166837	0.0209312	0.0142359	0.00156749	0.0130302	0.00753085	0.0195984	0.0104773	0.000342244	0.00346693
á	0.000704159	0.000953995	0.0103873	0.00835344	0.000492729	0.120308	0.468565	0.20983	0.0716795	0.0334228	0.00694224	0.0265741	0.0135675	0.00691695	0.00658537	0.00149342	0.0132237
i	0.00310345	0.00210652	0.00719577	0.00782818	0.00054592	0.0600443	0.043226	0.266429	0.101393	0.256531	0.0502889	0.0749542	0.0289567	0.03827	0.0384007	0.0131431	0.00758289
b	0.00337424	0.00633682	0.00237613	0.00119206	0.000546537	0.0278891	0.0591887	0.00769786	0.248501	0.0483526	0.389497	0.0440574	0.0134591	0.0442006	0.00721504	0.087656	0.00846008
í	0.000676474	0.00349635	0.00088903	0.00113107	0.00123714	0.0022659	0.00219948	0.000785411	0.00662904	0.00661261	0.937256	0.00795992	0.00602634	0.00644734	0.000631951	0.014886	0.000870376
a	0.000201242	0.000978751	0.00403199	0.00704153	0.00644788	0.0201888	0.130114	0.0249579	0.064175	0.0579877	0.315058	0.0574436	0.0708552	0.109895	0.025975	0.0452254	0.059423
</S>	0.000282707	0.000419278	0.00209387	0.00159346	1.31984e-05	0.00927678	0.00532973	0.0309688	0.0106208	0.182621	0.0671442	0.266927	0.12841	0.0974711	0.108776	0.0298661	0.0581858
