 	aujourd'	hui	ils	vont	couvrir	le	tam-tam	d'	une	peau	</S>
b	0.289806	0.252932	0.418835	0.0239666	0.00282164	0.00655688	0.00156097	0.00251073	0.000842328	0.000137953	2.93961e-05
á	0.0775794	0.518931	0.38589	0.0113428	0.00114609	0.00196837	0.000639473	0.0020015	0.000418305	3.19071e-05	5.09306e-05
a	0.00385602	0.538016	0.449801	0.00733034	0.000666444	0.00016007	3.37802e-05	8.41305e-05	1.81383e-05	6.12675e-06	2.80305e-05
b	0.0288407	0.150195	0.537776	0.173589	0.0607898	0.0268064	0.000910904	0.00777951	0.00324676	0.000377075	0.00968918
á	0.0305311	0.0448172	0.414974	0.220897	0.14655	0.0480219	0.00880443	0.0513989	0.00511949	0.00046923	0.0284162
a	0.0169846	0.0625032	0.43772	0.285157	0.0934819	0.0322326	0.00274094	0.0130615	0.009309	0.00197424	0.0448347
k	0.00356631	0.00124544	0.0198073	0.20613	0.668706	0.0678089	0.0160704	0.0047974	0.00359879	0.00158346	0.00668627
á	0.01726	0.00171087	0.013577	0.130707	0.569396	0.0762573	0.130353	0.0152505	0.00651259	0.0101161	0.0288596
n	0.000786031	0.0042188	0.013997	0.112278	0.798533	0.024032	0.0321829	0.00293014	0.0017891	0.00297041	0.00628299
d	0.0295041	0.0086017	0.0210126	0.352559	0.387122	0.156825	0.0238247	0.0110562	0.00373646	0.000859464	0.00489835
á	0.0305914	0.001229	0.00561283	0.302988	0.313739	0.20637	0.0540707	0.0190809	0.010937	0.00196332	0.0534181
i	0.00979901	0.000928328	0.00763268	0.0863028	0.0658805	0.611527	0.106523	0.0676447	0.0285876	0.00611482	0.0090589
s	0.00269247	0.00389782	0.00489964	0.0308106	0.0751266	0.130127	0.607914	0.0643426	0.0320423	0.0390193	0.00912783
i	8.00661e-05	3.02854e-05	1.46525e-05	0.0103584	0.0332702	0.0562458	0.83225	0.0233144	0.0272139	0.00530146	0.0119205
m	0.00019768	0.000108192	5.67724e-05	0.00814972	0.0321918	0.048288	0.813248	0.033792	0.0297579	0.0103131	0.0238967
b	0.00492913	0.00181252	0.000370837	0.0200434	0.0566994	0.106858	0.314469	0.19752	0.124683	0.00685494	0.16576
a	0.0562909	0.00332419	0.00310472	0.04329	0.0682132	0.111328	0.251087	0.2498	0.039255	0.00673411	0.167574
p	0.00658488	0.000502856	0.00214735	0.0106843	0.0238841	0.0680915	0.0230686	0.615049	0.189206	0.0218907	0.0388901
á	0.0507409	0.0652245	0.0301472	0.0298295	0.0126429	0.0296716	0.016494	0.101672	0.124968	0.292558	0.246052
b	0.0135252	0.0571223	0.0565586	0.0411983	0.010994	0.0326845	0.00550644	0.103176	0.171973	0.322135	0.185127
h	0.007991	0.0683625	0.0436019	0.0234745	0.0122663	0.0228057	0.0173881	0.120948	0.145411	0.362725	0.175025
a	0.00969866	0.00767697	0.00342027	0.0173835	0.0393516	0.0141753	0.0483859	0.139641	0.0829082	0.258318	0.379041
y	0.000290697	5.51118e-05	0.000123008	0.00114383	0.00526261	0.00467584	0.00585665	0.138707	0.243058	0.357067	0.24376
é	0.0182334	0.000850202	0.000655683	0.0123907	0.00779729	0.0204189	0.0128534	0.0727418	0.22903	0.393624	0.231405
</S>	0.00520652	0.000333511	0.000413813	0.00448714	0.00531206	0.011054	0.00619429	0.0513631	0.162166	0.457403	0.296067
