 	l'	inventeur	des	armes	de	guerre	était	un	blanc	</S>
o	0.951104	0.0131581	0.00177743	0.00717725	0.0172278	0.00915372	0.000284738	7.75158e-05	3.61035e-05	3.8039e-06
y	0.0260259	0.965704	0.00444765	0.00272823	0.000422071	0.000374663	0.00014817	3.87137e-05	2.43281e-05	8.63471e-05
ε	0.212756	0.734655	0.0215837	0.0238689	0.00524881	0.00025764	0.000642625	0.000352626	0.00017037	0.000465031
s	0.0387196	0.88401	0.0224162	0.0243697	0.00867916	0.000995861	0.00215221	0.00113167	0.000332537	0.0171934
i	0.441043	0.300071	0.113146	0.0464849	0.0719235	0.00475454	0.011102	0.00425486	0.000640099	0.00657964
i	0.105775	0.229965	0.334802	0.0807412	0.0171097	0.00827791	0.0232199	0.0172778	0.0152666	0.167565
n	0.020556	0.0256048	0.735659	0.0517374	0.0216709	0.00457696	0.0273669	0.0195703	0.00416852	0.0890896
d	0.0515133	0.0298429	0.38643	0.392626	0.0411675	0.0118164	0.0105914	0.00774113	0.00114733	0.0671241
ó	0.0220436	0.0492625	0.193136	0.67353	0.0421178	0.00327065	0.0021119	0.00093541	0.000401382	0.0131914
i	0.029296	0.0547445	0.10535	0.665845	0.0818693	0.0125046	0.00363041	0.00459257	0.00206984	0.0400973
m	0.0189443	0.00354421	0.248049	0.133459	0.466244	0.054011	0.0290021	0.0181201	0.00595721	0.0226684
á	0.0233517	0.000348182	0.148462	0.177762	0.220419	0.259944	0.114425	0.02485	0.00130863	0.0291298
b	0.02253	0.00065692	0.0503842	0.0549563	0.497601	0.291828	0.0321999	0.0132435	0.00388305	0.032717
i	0.00276147	4.39983e-05	0.0197565	0.0562964	0.13236	0.757749	0.012857	0.00759616	0.00843307	0.00214612
r	0.000906464	5.32117e-05	0.0133795	0.0213011	0.235299	0.676216	0.0178277	0.00533518	0.00610938	0.0235728
á	0.00612383	0.00126265	0.0325446	0.149447	0.452361	0.246801	0.0311524	0.00962448	0.00728788	0.0633955
á	0.00413516	0.000495574	0.0559373	0.0574554	0.581501	0.14401	0.112236	0.0310175	0.0050891	0.00812235
d	0.00193431	0.00468291	0.0629335	0.0165383	0.135634	0.132564	0.42648	0.170806	0.0199507	0.0284768
z	0.000180351	0.000359958	0.0107082	0.00417184	0.0485399	0.104236	0.344444	0.133268	0.0166085	0.337483
á	0.00109905	0.00149489	0.0147139	0.00748167	0.125986	0.078799	0.615109	0.0727596	0.0102614	0.0722959
e	0.000830103	3.4856e-05	0.00480525	0.00403089	0.0744769	0.0676374	0.353802	0.23391	0.0748824	0.18559
b	0.00126031	0.000532702	0.00387145	0.00558542	0.0139847	0.0575449	0.233584	0.280132	0.247628	0.155877
a	0.000794347	3.34903e-05	0.00374356	0.0060945	0.012504	0.087939	0.039655	0.107382	0.708665	0.0331887
a	0.000164923	1.29244e-05	0.000248506	0.000856831	0.0092665	0.0596956	0.0537877	0.0716092	0.615412	0.188946
m	0.000239156	3.42986e-05	0.00204453	0.0041076	0.0147975	0.00765546	0.111128	0.307051	0.334017	0.218925
i	0.00415917	0.000109329	0.00476002	0.00952766	0.0244068	0.0170751	0.0720252	0.184463	0.512826	0.170648
</S>	0.000558014	4.87002e-05	0.00167396	0.00243715	0.00911569	0.0143647	0.0614989	0.145745	0.282205	0.482353
