 	donne-nous	la	preuve	que	tu	l'	as	pris	en	adultère	</S>
m	0.905895	0.072918	0.00511056	0.00676333	0.00230554	0.00317525	0.00287806	0.000183234	0.000349409	0.00037826	4.32372e-05
ó	0.915975	0.0634498	0.00550618	0.00119821	0.00174704	0.00116799	0.00460425	7.00206e-05	0.000785323	0.00316229	0.0023338
y	0.910271	0.0691764	0.0091275	0.00134186	0.0020278	0.00250447	0.00291985	0.000282738	0.000295564	0.00133842	0.000714118
έ	0.948549	0.0153215	0.00682317	0.0129645	0.00732913	0.0036381	0.00180621	0.000423263	0.000771915	0.000195517	0.00217781
s	0.690008	0.0690856	0.0236116	0.0494738	0.0519775	0.0327744	0.0274614	0.00372268	0.0121186	0.00128137	0.0384849
έ	0.795168	0.11697	0.0191895	0.0249545	0.017003	0.00806499	0.00650749	0.000561705	0.00352321	0.000551621	0.00750585
b	0.160713	0.592938	0.0804434	0.0814777	0.017995	0.0143155	0.0101542	0.00172289	0.0109254	0.00310218	0.0262123
í	0.0137139	0.728382	0.0788115	0.0401896	0.0232218	0.0123789	0.0416556	0.00366463	0.0155045	0.0307432	0.0117345
s	0.035272	0.593952	0.104152	0.0448296	0.0205087	0.0175159	0.0684464	0.00580162	0.0156158	0.0480056	0.0459
í	0.184583	0.395929	0.205137	0.0494489	0.0715598	0.0166859	0.0547709	0.000813016	0.00303001	0.00266571	0.0153757
e	0.0205174	0.373138	0.190847	0.155879	0.0742168	0.0727415	0.0365701	0.00771732	0.0224184	0.0070702	0.0388841
s	0.00932966	0.0455072	0.767375	0.0353331	0.0342678	0.0305178	0.0101991	0.0500327	0.0097324	0.000986507	0.006719
ú	0.00925027	0.0155537	0.936856	0.00783984	0.0126244	0.00973484	0.00147004	0.00186255	0.00184563	0.000423015	0.00253996
l	0.101959	0.0764497	0.570723	0.0733718	0.0485406	0.0446329	0.0099082	0.00295208	0.0173061	0.00447659	0.0496795
u	0.0201215	0.0620748	0.37832	0.279274	0.112434	0.0770765	0.0171809	0.00746933	0.0258271	0.00363212	0.0165902
u	0.00915415	0.197208	0.105825	0.44379	0.107976	0.0784126	0.0256693	0.00182134	0.00734924	0.00944833	0.0133448
w	0.00730655	0.100053	0.207102	0.162646	0.196578	0.220307	0.0472986	0.01921	0.00846562	0.0110421	0.0199913
á	0.00322636	0.207477	0.180352	0.169112	0.141733	0.110393	0.0860213	0.0299108	0.0282225	0.0138632	0.0296885
r	0.00534635	0.140633	0.0363555	0.272436	0.105387	0.07476	0.133954	0.0132936	0.0159965	0.0413507	0.160488
e	0.00802253	0.0486627	0.0590394	0.103953	0.28475	0.0915541	0.291357	0.00302233	0.00634203	0.0127459	0.0905512
n	0.00439908	0.0338937	0.0274772	0.214113	0.250028	0.278563	0.131409	0.0179153	0.0199028	0.0076644	0.0146343
ω	0.0447083	0.0444367	0.0342523	0.170833	0.311508	0.122198	0.177093	0.00212911	0.00465006	0.00541333	0.0827774
ó	0.00322443	0.0227204	0.0155717	0.0818222	0.14883	0.291874	0.169858	0.149577	0.0423622	0.0115882	0.0625716
p	0.0168033	0.011238	0.0192652	0.0362495	0.0905177	0.143511	0.0706549	0.535461	0.0616976	0.00431938	0.0102821
i	8.17709e-05	0.000309313	0.00297293	0.00548123	0.0190851	0.0410937	0.0203392	0.848145	0.039604	0.00328302	0.0196044
i	0.00040019	0.000584961	0.00413567	0.00911564	0.0179007	0.0567844	0.038978	0.762588	0.0610729	0.00510253	0.0433373
w	0.000999021	0.0117925	0.00276342	0.0834557	0.0581021	0.0540258	0.158214	0.113876	0.342687	0.0664107	0.107673
a	0.000303553	0.00803331	0.00797161	0.0894129	0.114871	0.0835531	0.114924	0.227513	0.20267	0.0455791	0.105168
m	0.00054941	0.00384582	0.000469468	0.0273842	0.0181302	0.0156244	0.121775	0.0344068	0.279722	0.296004	0.202089
ó	0.00655015	0.0103612	0.00170648	0.00978585	0.00580779	0.0146134	0.0145032	0.0261605	0.398579	0.335066	0.176866
b	0.00568572	0.00610329	0.000892258	0.00751511	0.00862479	0.0121069	0.023732	0.0379873	0.0903456	0.748923	0.058084
ω	0.000725868	0.00605689	0.00355397	0.00314291	0.00613645	0.00681375	0.0119428	0.0806737	0.0456134	0.823546	0.0117943
s	4.83631e-05	0.000178107	0.000583192	0.00105684	0.00213559	0.00472765	0.00727232	0.12221	0.0560576	0.790154	0.0155763
i	0.000528683	7.82771e-05	0.00271517	0.000708175	0.00198154	0.00515733	0.00439563	0.589124	0.118036	0.078847	0.198428
</S>	0.00113173	0.000468848	0.000368732	0.00364405	0.00183006	0.00518243	0.00798272	0.0220615	0.300226	0.0798174	0.577286
