 	il	ne	peut	pas	s'	empêcher	de	bouder	</S>
w	0.819643	0.0802139	0.0393528	0.0298277	0.0201318	0.00384975	0.00579526	0.000729914	0.000455666
a	0.727915	0.159392	0.0112186	0.0228967	0.0591165	0.00081711	0.0159145	0.00249177	0.000237644
a	0.310682	0.538073	0.00672794	0.0343107	0.069414	0.00413933	0.0304983	0.00103731	0.00511698
d	0.110121	0.391062	0.152677	0.0839462	0.106805	0.0497068	0.0388199	0.00689278	0.0599691
í	0.0224089	0.500765	0.078558	0.0638999	0.0672361	0.0120844	0.0229582	0.00554354	0.226546
o	0.0101354	0.127178	0.155442	0.142283	0.0666006	0.0394168	0.0621995	0.0524243	0.344321
b	0.00865758	0.0686318	0.435721	0.173783	0.113921	0.163015	0.00765918	0.0130759	0.0155352
h	0.00464248	0.030724	0.659263	0.0539537	0.0600705	0.160574	0.00513882	0.00609222	0.0195412
e	0.000405421	0.00475308	0.801737	0.0234751	0.0195594	0.142428	0.00156016	0.00267975	0.00340181
r	0.00263705	0.0163374	0.45961	0.142032	0.0733163	0.215575	0.0131629	0.0237193	0.0536104
á	0.0210339	0.0205954	0.183471	0.289003	0.122403	0.0714129	0.0564434	0.0271326	0.208504
o	0.0251155	0.039382	0.0534973	0.371943	0.301733	0.107151	0.0612048	0.0206965	0.0192766
k	0.00145977	0.00818758	0.0189238	0.0399053	0.0817174	0.79217	0.0150491	0.0357614	0.00682536
ú	0.00026671	0.00186226	0.0215576	0.0785398	0.0618826	0.751351	0.0152064	0.0411422	0.0281914
l	5.08698e-05	0.000364202	0.00674414	0.00685423	0.00589114	0.942245	0.00295175	0.0284802	0.00641819
á	0.0079365	0.00777516	0.0213156	0.0835368	0.0617356	0.661912	0.0613148	0.0648822	0.0295918
i	0.0236231	0.0184177	0.0181626	0.138308	0.216864	0.124994	0.350838	0.0724525	0.0363404
f	0.0068922	0.0146795	0.0149045	0.0339816	0.106731	0.327105	0.154377	0.164482	0.176847
ú	0.000492912	0.00783818	0.0305112	0.0993393	0.127936	0.230293	0.121064	0.239474	0.143051
ú	0.000136166	0.000554749	0.00365925	0.0181005	0.0327035	0.690965	0.0516386	0.14716	0.0550826
s	0.000300838	0.000885705	0.0016699	0.0269362	0.0387538	0.0636644	0.490402	0.25345	0.123938
a	0.00167329	0.00276385	0.00100396	0.0166214	0.0263087	0.0375676	0.225598	0.385063	0.3034
k	0.000612402	0.00284944	0.000844582	0.0121996	0.0157422	0.0113334	0.390142	0.246596	0.31968
a	0.00110188	0.00520278	0.010549	0.0445092	0.0358618	0.0863527	0.0901207	0.429244	0.297058
á	0.000566111	0.00134737	0.0120448	0.00812059	0.00905232	0.0598776	0.0585816	0.330574	0.519836
</S>	0.00160739	0.00685893	0.00759751	0.0167947	0.0290754	0.00859868	0.245128	0.179546	0.504794
