 	il	est	revenu	bredouille	</S>
w	0.906162	0.0875752	0.00562932	0.000419265	0.000213773
a	0.955541	0.0406954	0.00194746	0.00148891	0.000327641
á	0.179994	0.682146	0.102391	0.01097	0.0244988
y	0.0337937	0.509702	0.399756	0.0286526	0.028096
ε	0.0339608	0.336383	0.307619	0.146979	0.175057
i	0.0220381	0.221967	0.622497	0.0748255	0.0586726
o	0.105706	0.16909	0.211567	0.318136	0.195501
p	0.00100389	0.0285894	0.241787	0.570696	0.157923
é	0.000301538	0.0079595	0.355555	0.461865	0.174318
e	0.00148886	0.0447804	0.332115	0.446758	0.174857
</S>	0.0114994	0.033227	0.021936	0.313544	0.619793
