 	la	viande	est	abîmée	</S>
n	0.651185	0.346496	0.0022859	2.09665e-05	1.19077e-05
y	0.0376835	0.962124	0.000185835	2.08064e-07	6.94386e-06
a	0.00711549	0.991312	0.00136393	6.62461e-05	0.000142684
m	0.0948701	0.871002	0.0329061	0.000177998	0.00104367
a	0.644045	0.2052	0.123241	0.000128411	0.027386
á	0.124379	0.0240426	0.78862	0.0201585	0.0428001
m	0.019827	0.00612826	0.621911	0.317359	0.0347744
i	0.00786599	0.00759406	0.691071	0.202131	0.0913383
b	0.000568012	0.000282694	0.071114	0.906302	0.0217333
é	0.000199295	5.11428e-05	0.0024313	0.990475	0.00684325
b	0.00112515	0.000654216	0.0091759	0.864051	0.124993
h	0.0471845	0.0245733	0.0137093	0.264474	0.650059
a	0.117431	0.0193885	0.0074966	0.260263	0.59542
</S>	0.00302556	0.000858849	0.0204678	0.141285	0.834363
