 	cet	homme	prononce	des	insultes	tout	le	temps	</S>
m	0.647948	0.319945	0.014158	0.00498794	0.00529787	0.00359069	0.00331766	0.000216121	0.000538973
o	0.792996	0.145949	0.00730584	0.0184947	0.00401199	0.00286056	0.00841491	0.00217138	0.0177955
r	0.747071	0.240847	0.00145882	0.00321563	0.00325912	0.000143818	0.000514619	0.000669461	0.00282043
o	0.659803	0.236764	0.0108356	0.0124187	0.00508666	0.00161366	0.00764357	0.0253526	0.0404819
w	0.716249	0.230099	0.036439	0.00400924	0.000160604	0.000684502	0.00104081	0.000638561	0.0106786
ó	0.22985	0.0862057	0.310813	0.116448	0.0268624	0.0843617	0.0436573	0.0105411	0.0912605
l	0.0964436	0.0354772	0.564025	0.0845773	0.00453763	0.0250732	0.0248738	0.0055703	0.159422
á	0.0245273	0.0162122	0.220777	0.0861963	0.0131467	0.0862743	0.0523581	0.0123499	0.488158
a	0.0981748	0.0201156	0.330735	0.2837	0.0666895	0.0443028	0.0539942	0.0309322	0.0713566
k	0.00414379	0.0124787	0.506719	0.291938	0.146533	0.0118912	0.00594596	0.00556534	0.014785
y	0.00207806	0.00702189	0.344644	0.172745	0.386272	0.0362635	0.00810129	0.00561041	0.0372634
á	0.0159013	0.0349456	0.290803	0.291499	0.216076	0.0650305	0.0283735	0.0318864	0.0254847
i	0.00280241	0.00710815	0.0788833	0.462565	0.167979	0.151345	0.0659921	0.00813941	0.0551863
t	0.000665968	0.0027989	0.0225832	0.210946	0.408814	0.166524	0.0583841	0.0422171	0.0870664
u	0.000219693	0.00321937	0.00919778	0.070653	0.716003	0.0811472	0.0228537	0.0681571	0.0285488
u	0.000856084	0.00127663	0.00601685	0.0830971	0.690685	0.0978027	0.0456275	0.0256594	0.048979
i	0.00203684	0.000864883	0.00447969	0.0908586	0.0647981	0.360998	0.338807	0.0625995	0.0745577
n	0.00325975	0.00231723	0.00405051	0.036454	0.0596153	0.136454	0.248005	0.243227	0.266617
d	0.0359016	0.00582426	0.000882037	0.0195298	0.0098579	0.0202366	0.124006	0.469582	0.31418
i	0.00169622	0.00122472	0.00110666	0.0232999	0.0288513	0.0248516	0.121361	0.616661	0.180948
e	0.000268524	0.00118859	0.0031748	0.0309202	0.0367008	0.0411024	0.0949144	0.404895	0.386835
í	0.00223682	0.00149886	0.00342985	0.023702	0.0192986	0.206516	0.228069	0.188428	0.326821
t	0.00341117	0.00262281	0.0195206	0.0344818	0.0104983	0.0824222	0.179463	0.262625	0.404956
s	0.000418154	0.000673452	0.0186425	0.0175752	0.0479089	0.146838	0.186159	0.442957	0.138828
ω	0.000925955	0.00137142	0.00996749	0.0198677	0.0429514	0.200794	0.135527	0.450885	0.13771
</S>	0.00127238	0.00122477	0.00567103	0.014054	0.0238253	0.140633	0.0903331	0.12729	0.595696
