 	apporte-	moi	une	aiguille	</S>
y	0.852579	0.0673025	0.074657	0.00465986	0.000801889
á	0.833984	0.0703246	0.0771839	0.0111512	0.00735584
a	0.899859	0.0298832	0.033559	0.0337239	0.00297518
n	0.18627	0.505765	0.216239	0.0136715	0.078054
g	0.00862341	0.935608	0.0152599	0.00135925	0.0391493
á	0.00203483	0.984885	0.00995205	0.00101136	0.00211632
l	0.0127494	0.293156	0.571825	0.042916	0.0793531
a	0.0445294	0.247607	0.48665	0.027703	0.19351
l	0.0322648	0.0883429	0.387411	0.2401	0.251882
e	0.0225254	0.0338231	0.581315	0.256741	0.105595
n	0.000599202	0.00488015	0.116004	0.679843	0.198673
d	0.000875524	0.0522353	0.212811	0.570498	0.16358
ώ	0.000562947	0.0595856	0.0993445	0.637095	0.203412
n	0.000325914	0.0158562	0.133906	0.487385	0.362526
g	0.000197016	0.0424769	0.185608	0.476723	0.294995
ώ	0.000829078	0.00771474	0.0303144	0.728768	0.232374
</S>	0.00046548	0.00799845	0.122031	0.0891605	0.780345
