 	toutes	les	oranges	qu'	il	m'	a	données	étaient	déjà	pourries	</S>
i	0.105553	0.292263	0.139141	0.262585	0.116318	0.0300856	0.0282148	0.00416255	0.0173643	0.00213723	0.00200648	0.000169701
t	0.0306969	0.370722	0.362926	0.0214682	0.00708239	0.0129019	0.0223047	0.0148317	0.00864282	0.00988065	0.131861	0.00668129
s	0.000916457	0.0262203	0.925853	0.0127208	0.0113123	0.000984596	0.00342493	0.0111813	0.002731	0.00102567	0.0028686	0.000761658
w	0.00336323	0.0762392	0.49957	0.220741	0.0847097	0.00829962	0.0113981	0.0303587	0.0262737	0.00658705	0.0115133	0.0209471
é	0.00858714	0.0686416	0.45255	0.104718	0.0593539	0.0101062	0.0439311	0.0634829	0.0473178	0.0158661	0.0235767	0.101869
t	0.00301645	0.0168189	0.786038	0.0215418	0.0103981	0.00125069	0.00298032	0.00720463	0.0028515	0.00460694	0.0121842	0.131109
s	0.00967814	0.0169774	0.848536	0.0106732	0.0112631	0.000468996	0.00456252	0.0493115	0.00968863	0.00384225	0.015129	0.0198697
w	0.00939354	0.0503467	0.771708	0.0354657	0.0186562	0.00214059	0.00906286	0.0515132	0.00915295	0.00494929	0.00717962	0.0304314
e	0.025696	0.0409771	0.550256	0.0767367	0.034764	0.00756323	0.0199618	0.0486514	0.0159409	0.0143534	0.0261569	0.138942
l	0.0221995	0.0321233	0.259291	0.0993911	0.022509	0.0263429	0.0149165	0.0260519	0.0111735	0.0358329	0.038467	0.411701
é	0.0181999	0.0329169	0.264035	0.117331	0.172904	0.0184064	0.0295742	0.0512653	0.0459186	0.0249923	0.0200347	0.204422
m	0.0296733	0.0272726	0.0532021	0.145351	0.325661	0.0480413	0.0879391	0.112621	0.0585553	0.0445938	0.00759131	0.0594984
í	0.0269162	0.0698466	0.0144131	0.0864962	0.119814	0.282854	0.2483	0.0898294	0.0101837	0.0230846	0.00390974	0.0243525
í	0.0182688	0.0776154	0.0218871	0.10019	0.197942	0.0966573	0.142901	0.22283	0.0278105	0.0354697	0.0333292	0.0250993
p	0.012799	0.0594874	0.00719797	0.0213023	0.0800687	0.0763425	0.353542	0.220424	0.038364	0.0793739	0.0136693	0.0374287
έ	0.000231694	0.00470378	0.0517733	0.0020472	0.018481	0.0025609	0.0338042	0.80896	0.0289702	0.0273426	0.00695709	0.0141684
w	0.00670916	0.0182462	0.0829753	0.0315184	0.0842892	0.013982	0.0339615	0.499671	0.0465935	0.0220761	0.0135554	0.146423
a	0.0140414	0.0114461	0.0717791	0.0352121	0.174144	0.053834	0.049465	0.251342	0.168607	0.0514053	0.0484425	0.0702817
n	0.00340431	0.00425001	0.00242597	0.0291375	0.0623521	0.378413	0.146207	0.170217	0.147034	0.0220001	0.0059695	0.0285896
g	0.0166267	0.0126789	0.000889744	0.0227179	0.0226662	0.671161	0.0886253	0.0515292	0.060607	0.010247	0.00655123	0.0357
á	0.00276725	0.00258376	0.000325083	0.0225051	0.0254029	0.745055	0.0664418	0.0525908	0.0531734	0.0133134	0.00384262	0.0119993
í	0.00404944	0.00348531	0.00320353	0.0227728	0.0469675	0.133794	0.200612	0.203412	0.314578	0.0330393	0.0101045	0.0239818
t	0.00316429	0.0176811	0.00705104	0.00896287	0.0167808	0.0243542	0.135001	0.20949	0.36295	0.192796	0.00327762	0.0184912
s	0.000251662	0.00420993	0.0129183	0.00281463	0.0102514	0.0075281	0.0542637	0.378704	0.205209	0.190449	0.0602707	0.0731298
ω	0.00062379	0.00192338	0.00684244	0.00701243	0.0212516	0.0222519	0.066162	0.134833	0.222907	0.169277	0.15479	0.192124
í	0.00107807	0.00271479	0.00185891	0.00492065	0.00954175	0.0838422	0.0630996	0.0696584	0.292438	0.116634	0.0395491	0.314665
d	0.00442685	0.0098372	0.00162811	0.00818261	0.00848301	0.0377717	0.0672864	0.0439335	0.219351	0.419209	0.0277859	0.152105
z	0.000698839	0.00305859	0.000201582	0.0023891	0.0019253	0.0193591	0.0200697	0.00998888	0.0983864	0.229727	0.0106969	0.603499
e	0.000502271	0.00148013	0.00520206	0.00529672	0.00820946	0.0356393	0.0652184	0.199822	0.185112	0.326375	0.018571	0.148572
a	0.000356844	0.00177681	0.00034435	0.00377336	0.00367253	0.0528017	0.0208202	0.0134157	0.0741309	0.194026	0.378598	0.256283
m	0.00164899	0.00437187	0.00106395	0.0034231	0.00306032	0.0126088	0.0153483	0.0087577	0.0623773	0.363499	0.189136	0.334705
b	0.000293964	0.0029924	0.00417837	0.00833455	0.00306471	0.00909968	0.0152765	0.0189307	0.0260047	0.343903	0.350903	0.217019
ω	5.79443e-05	0.000517795	0.000188813	0.000702252	0.000412873	0.00101069	0.00332763	0.00257862	0.00210302	0.0495191	0.84256	0.0970213
b	3.10226e-06	8.25864e-05	0.00024673	8.68921e-05	0.000128334	9.65343e-05	0.000842823	0.00470457	0.00382121	0.0310902	0.918135	0.0407616
h	0.000787606	0.00231353	0.00528481	0.00410978	0.00241841	0.00858524	0.0117133	0.0158533	0.0668048	0.0625894	0.706816	0.112724
ω	4.82501e-05	0.000595439	0.00845224	0.00305258	0.000811794	0.00152899	0.00292551	0.0107481	0.0143517	0.0196476	0.868579	0.069259
ω	5.33069e-05	0.000272999	0.0012012	0.00107628	0.000361574	0.000710955	0.00149351	0.00451003	0.0280487	0.0543442	0.573865	0.334062
</S>	0.0021335	0.00512227	0.0016092	0.00618863	0.00291207	0.00345285	0.00802767	0.00682135	0.0417024	0.185252	0.26845	0.468328
