 	notre	maman	marche	lentement	parce	qu'	elle	porte	une	grossesse	</S>
n	0.731891	0.111137	0.0314893	0.00196367	0.0725374	0.0243086	0.00508572	0.0147487	0.006209	0.000141337	0.000487425
g	0.191592	0.790736	0.00779718	6.57083e-05	0.00314914	0.00313063	0.00035837	0.00241877	0.000671405	3.9559e-05	4.08839e-05
ó	0.136681	0.825419	0.00830489	0.0017586	0.00461973	0.00635802	0.00244027	0.0121611	0.00170305	0.000299884	0.000253401
o	0.00612515	0.990303	0.0025036	0.000307017	0.000219028	0.000157602	3.73196e-05	0.000209833	8.76165e-05	3.8769e-05	1.0859e-05
y	0.786026	0.117731	0.0381867	0.00516983	0.0136978	0.014801	0.00544321	0.00281596	0.00839573	0.00049603	0.00723658
a	0.943146	0.0153019	0.00703185	0.00855867	0.00381193	0.00525804	0.00418988	0.00229936	0.00177625	0.00432301	0.00430303
b	0.968208	0.003735	0.0141451	0.00304837	0.00340722	0.00264469	0.00064579	0.00034711	0.00142445	0.000333223	0.00206055
í	0.822453	0.00385026	0.0850238	0.00356541	0.0405307	0.0247943	0.00573441	0.00555807	0.00632094	0.000289437	0.00187995
s	0.984084	0.00312596	0.00677572	0.000177322	0.00222008	0.00136228	0.000498137	0.000257878	0.00033545	6.70747e-05	0.00109646
í	0.725982	0.0120296	0.0375465	0.00344705	0.0437341	0.0401964	0.0197754	0.0220557	0.0120763	0.0014251	0.0817322
l	0.198536	0.0199623	0.291017	0.304693	0.0353307	0.0439482	0.0364935	0.020221	0.0198422	0.00347658	0.0264801
á	0.13654	0.0163161	0.0721216	0.0847733	0.0641313	0.0633047	0.0781716	0.0856854	0.0720508	0.00968615	0.317219
a	0.651939	0.0163308	0.110502	0.0524503	0.0744089	0.0316894	0.0138276	0.00866607	0.0150802	0.00126831	0.023837
b	0.02383	0.00210134	0.258889	0.663087	0.0128205	0.0109861	0.0168754	0.0046345	0.000968176	0.000743947	0.00506321
h	0.00127827	0.000409727	0.280685	0.635138	0.0316698	0.0244297	0.0154944	0.00438957	0.00155088	0.00129902	0.00365583
é	0.00190202	5.95919e-05	0.689375	0.191339	0.0212154	0.03638	0.0270572	0.0105436	0.00313329	0.000529728	0.0184653
m	0.0104966	0.000116995	0.490319	0.311497	0.0621297	0.0467102	0.0285959	0.012215	0.00902032	0.0164744	0.0124249
b	0.103524	5.27704e-05	0.531356	0.00507264	0.141482	0.126506	0.0221038	0.00529109	0.0144516	0.0043676	0.0457927
á	0.0237185	1.57722e-05	0.469004	0.00355166	0.178038	0.11204	0.0182542	0.0101473	0.0189846	0.00261781	0.163629
o	0.00523913	0.000145285	0.0465905	0.0115446	0.469168	0.405376	0.0437903	0.00458407	0.00985357	0.000251898	0.00345663
t	0.000248258	5.83448e-05	0.0371896	0.113401	0.100024	0.267013	0.36672	0.0745809	0.0145455	0.01762	0.00859989
í	6.5832e-06	1.57187e-05	0.0272484	0.228067	0.109752	0.12996	0.346215	0.120145	0.0123188	0.0138541	0.0124173
i	0.000436656	3.56846e-05	0.0207497	0.267612	0.154214	0.167511	0.275813	0.0574307	0.0100642	0.0159128	0.0302198
t	0.000421233	8.21754e-06	0.00554929	0.00506522	0.130771	0.314036	0.29603	0.14245	0.0829029	0.00621991	0.016547
í	0.0160833	5.30047e-06	0.0027496	0.0174229	0.178912	0.185436	0.24564	0.164548	0.0403687	0.0472465	0.101588
t	0.00566346	3.87203e-05	0.00254024	0.00756967	0.208639	0.185814	0.219942	0.115721	0.0430812	0.123585	0.0874058
s	0.0137043	1.12228e-05	0.00273041	0.00917291	0.141654	0.212409	0.23747	0.171719	0.0645511	0.0985833	0.0479945
í	0.000282351	3.87296e-06	0.0063531	0.00512553	0.0912694	0.181788	0.181235	0.28208	0.0688402	0.0894469	0.0935754
n	0.00338334	3.3544e-05	0.0194181	0.0104033	0.0591469	0.148692	0.228965	0.170172	0.0837431	0.142182	0.13386
a	0.00502357	5.40775e-05	0.0120137	0.00772731	0.0217823	0.0815181	0.153623	0.409768	0.0537421	0.056249	0.198499
a	0.0011629	3.10395e-05	0.00301629	0.00290446	0.0276734	0.0892271	0.153868	0.32136	0.265396	0.0486257	0.0867349
d	0.000346067	1.24002e-05	0.00452087	0.00593378	0.00850529	0.0372174	0.0830291	0.197323	0.416478	0.0364818	0.210152
í	7.25149e-05	2.8739e-05	0.00950684	0.00178749	0.00258676	0.0139965	0.0566318	0.165144	0.218623	0.124826	0.406796
l	0.00164897	8.32394e-05	0.0017661	0.000738099	0.00748939	0.0354045	0.0515005	0.0874271	0.298254	0.178003	0.337685
a	0.00080066	1.75913e-05	0.00145691	0.00206345	0.00774259	0.0144494	0.0410439	0.124385	0.174422	0.125079	0.508539
d	0.000340259	1.72163e-05	0.000456726	0.00107004	0.00867551	0.0149442	0.0127206	0.0804292	0.269419	0.451463	0.160464
z	0.00020366	1.11278e-05	0.00189938	0.000769278	0.00123183	0.00354179	0.00674496	0.0436274	0.0791801	0.759504	0.103286
é	4.43739e-05	1.06565e-05	0.000522154	0.000252031	0.000255397	0.00143428	0.00234313	0.00737572	0.00970324	0.970947	0.00711174
m	1.25119e-05	1.31191e-06	0.000427836	0.00109321	0.00126945	0.00703416	0.0182672	0.0198149	0.0346817	0.845194	0.0722035
i	2.37672e-05	1.18258e-06	0.0010991	0.000227178	0.000396974	0.00313888	0.00858108	0.0107039	0.0717312	0.815402	0.0886949
</S>	2.01139e-05	1.04704e-06	0.00182909	0.000460065	0.00191598	0.0130969	0.0234423	0.0779767	0.192124	0.116707	0.572427
