 	l'	enfant	a	fait	caca	dans	sa	culotte	</S>
m	0.778535	0.211935	0.00312663	0.00340394	0.000248205	0.000639627	0.00099251	0.000836851	0.000282817
w	0.00237743	0.995005	0.00145582	0.000909045	5.02723e-05	2.59989e-05	3.31451e-05	3.07687e-05	0.000112986
á	0.0138029	0.984258	0.000374606	0.000399045	0.000944558	2.5981e-05	3.17038e-05	0.000148773	1.46695e-05
n	0.401351	0.584463	0.00359781	0.00486773	0.000907594	0.000324547	0.000340804	0.00242467	0.00172219
a	0.188702	0.405708	0.0980351	0.0736058	0.12947	0.00947571	0.00389979	0.028909	0.0621948
á	0.550775	0.0682132	0.176413	0.125631	0.0389604	0.0104234	0.0169989	0.00321562	0.00937
m	0.0310738	0.0101643	0.244186	0.154023	0.505038	0.032738	0.00676711	0.00254267	0.0134678
i	0.0019098	0.00226408	0.126634	0.164052	0.676217	0.0206991	0.0024161	0.000815928	0.00499255
s	0.00526456	0.0030156	0.0554988	0.119243	0.738958	0.0509774	0.00463564	0.00752531	0.0148818
u	0.000518153	0.000127842	0.000449844	0.00292271	0.993682	0.00159901	0.000142214	0.000208772	0.000349912
m	0.0678955	0.0143905	0.0303138	0.153752	0.658942	0.0467218	0.0131218	0.00590876	0.00895336
b	0.0246403	0.00371565	0.0528719	0.47659	0.0760259	0.191414	0.116867	0.00537539	0.0524999
á	0.0512235	0.0041243	0.00987752	0.134415	0.0824673	0.33425	0.1592	0.0743287	0.150113
s	0.0150229	0.00288816	0.0225682	0.16934	0.00176911	0.274087	0.429179	0.0623718	0.0227733
í	0.0271394	0.000689374	0.00319626	0.0204967	0.0814004	0.280788	0.41234	0.135305	0.0386444
k	0.0289469	0.000893549	0.00492962	0.0211963	0.00750612	0.0777289	0.542089	0.298007	0.0187026
á	0.00036624	1.81796e-05	0.000127503	0.000257273	0.0003311	0.0825942	0.0336234	0.872089	0.0105932
n	0.0010956	0.000110669	0.00187425	0.00315083	0.00242556	0.221944	0.0570409	0.61841	0.093948
d	0.00124845	0.00013795	0.00420395	0.0144767	0.00205002	0.242511	0.246748	0.362556	0.126068
á	0.00718821	0.000984377	0.014217	0.1503	0.000996033	0.0897526	0.172832	0.530719	0.0330106
</S>	0.00477297	0.000811506	0.0147857	0.0218171	0.000973327	0.0719027	0.27243	0.170169	0.442338
