 	notre	père	a	attrapé	une	tortue	dans	la	nasse	</S>
t	0.444107	0.544575	0.00471205	0.000139272	0.00101511	0.00300813	0.000319545	0.00155172	0.000527031	4.43098e-05
á	0.0889418	0.897151	0.00655272	3.73967e-05	0.00234924	0.00137675	0.000388813	0.00137567	0.00173751	8.88229e-05
á	0.0190015	0.927429	0.0108185	0.0109841	0.00380706	0.00511738	0.00150884	0.00287949	0.00347979	0.0149741
y	0.267852	0.337484	0.347608	0.00367512	0.00440996	0.000646044	0.00490896	0.00777332	0.000368545	0.0252739
a	0.512098	0.159218	0.181163	0.0534142	0.0160381	0.0148941	0.0106933	0.00919059	0.00602394	0.0372672
b	0.891234	0.0354192	0.0507061	0.00127908	0.0011573	0.00143214	0.00093732	0.00191252	0.000519705	0.0154028
í	0.997826	0.000878157	0.000309581	0.000106932	8.16883e-05	0.000106612	0.000217111	0.000168618	0.000171098	0.000134599
s	0.997749	0.000478141	0.000366003	6.43956e-05	5.59829e-05	1.58767e-05	0.000243524	0.000176297	8.25998e-05	0.000768321
í	0.359493	0.00920231	0.0823314	0.00964685	0.0236982	0.0220861	0.0990239	0.0825223	0.0152982	0.296698
á	0.00267716	0.0120582	0.851395	0.0384612	0.0449232	0.0154544	0.00634713	0.00734185	0.00161032	0.0197311
p	0.000341724	0.00445929	0.120228	0.472509	0.234636	0.13543	0.0122378	0.00515933	0.00170188	0.0132969
i	0.000604629	0.0017899	0.0467815	0.631365	0.154028	0.152869	0.00398597	0.00199345	0.00216818	0.00441505
i	0.000985601	0.00145858	0.0445911	0.665286	0.161551	0.106463	0.00834856	0.00583202	0.00161831	0.00386619
k	0.00943111	0.00520853	0.148328	0.0196226	0.177362	0.104822	0.22195	0.190985	0.0301413	0.0921489
ú	0.0503738	0.000836307	0.00191622	0.0647384	0.0908243	0.294961	0.0912242	0.0477134	0.276042	0.0813705
s	0.000358863	0.000123515	0.000431213	0.0132563	0.0568035	0.376904	0.187118	0.0644982	0.134834	0.165673
u	0.0257912	0.00533832	0.00250733	0.0519252	0.054425	0.53876	0.169521	0.0666286	0.0581263	0.0269769
m	9.46037e-05	6.27234e-06	0.00110518	0.00079237	0.0126547	0.0170582	0.259947	0.442302	0.106493	0.159547
ó	0.00171328	0.000101694	0.000349924	0.000225875	0.00697291	0.00497745	0.141072	0.253846	0.22401	0.366731
k	0.000227552	3.36137e-05	0.000728599	0.000433523	0.00301485	0.00728868	0.0242521	0.110257	0.824615	0.0291492
ω	8.17278e-05	2.32759e-05	0.000108026	0.00100071	0.00281498	0.00732374	0.00287128	0.0131804	0.958465	0.0141311
n	0.000408831	1.29432e-05	0.000695024	0.00331735	0.0116722	0.0150512	0.0132362	0.0363618	0.816329	0.102915
y	0.000629385	0.000126925	0.00163147	0.0102034	0.0320047	0.0576052	0.0311509	0.105409	0.645813	0.115426
i	0.00189095	0.000166322	0.000919719	0.0016751	0.0169327	0.0159222	0.0726933	0.182036	0.433122	0.274642
</S>	0.0055259	0.00014055	0.00145806	0.000146641	0.0104656	0.00570971	0.105962	0.283228	0.202797	0.384567
