 	redresse-toi	tu	es	bossu	</S>
s	0.913225	0.079638	0.00596293	0.000154379	0.00101975
é	0.372258	0.318839	0.198669	0.0711461	0.0390874
m	0.512335	0.180581	0.0588159	0.204127	0.0441409
b	0.577757	0.130402	0.0784886	0.0018775	0.211475
á	0.529091	0.0795584	0.105574	0.0162896	0.269487
n	0.329925	0.323209	0.127601	0.00224693	0.217018
d	0.121756	0.394504	0.125075	0.0413323	0.317332
z	0.0741624	0.408175	0.148054	0.17916	0.190448
ó	0.158512	0.297656	0.21057	0.270024	0.0632378
r	0.117788	0.410573	0.285132	0.0474062	0.139101
o	0.569524	0.138487	0.120735	0.089279	0.0819747
n	0.0806122	0.301558	0.40496	0.0367265	0.176143
ω	0.018399	0.318617	0.293449	0.182677	0.186858
o	0.00370534	0.0411196	0.365185	0.126002	0.463989
d	0.0614951	0.0108655	0.269059	0.259405	0.399176
í	0.0617825	0.00471738	0.036878	0.0550983	0.841524
l	0.0281064	0.00789428	0.0700666	0.163621	0.730312
e	0.0023153	0.00267358	0.0528124	0.132756	0.809443
n	0.00588248	0.00304563	0.0661687	0.380583	0.54432
g	0.00106674	0.00241932	0.0296655	0.907015	0.0598335
ú	0.00058062	0.0163805	0.0923074	0.833741	0.0569904
l	0.00158088	0.0171838	0.0805574	0.740181	0.160496
ε	0.00606163	0.0100676	0.159036	0.388097	0.436737
</S>	0.000758996	0.00165423	0.0685482	0.0433178	0.885721
