 	les	arbres	bordent	la	piste	</S>
a	0.90236	0.0904679	0.00394105	0.00147749	0.00173476	1.90572e-05
b	0.318348	0.582019	0.0563519	0.014701	0.0273728	0.00120746
v	0.243866	0.673652	0.0636576	0.010388	0.00606031	0.00237597
ú	0.364124	0.571375	0.0468778	0.0150799	0.00175434	0.000789121
a	0.337409	0.511258	0.0918338	0.0355213	0.0030752	0.020903
á	0.174791	0.495411	0.134507	0.082351	0.00339603	0.109544
d	0.042411	0.203627	0.444515	0.263753	0.0233784	0.0223158
i	0.0567333	0.0992812	0.254016	0.258002	0.00282558	0.329143
m	0.0219465	0.0183627	0.461135	0.390566	0.0180455	0.0899441
ó	0.0198569	0.00890816	0.358577	0.211589	0.00839688	0.392673
p	0.0256774	0.0277556	0.468078	0.303162	0.125529	0.0497985
ε	0.00137741	0.00681679	0.741751	0.119509	0.103726	0.0268198
l	0.00827759	0.0194303	0.722057	0.109921	0.106289	0.0340254
έ	0.00271381	0.0203201	0.621982	0.195175	0.0861526	0.0736566
m	0.0146613	0.0111383	0.168331	0.530976	0.0801712	0.194721
á	0.0359857	0.00504703	0.151338	0.219549	0.0947498	0.493331
k	0.0286155	0.0238116	0.050728	0.170738	0.543419	0.182688
ó	0.00242189	0.00683687	0.0873821	0.0695409	0.791164	0.0426542
ó	8.12737e-05	0.000681103	0.0742887	0.0599492	0.760827	0.104173
</S>	0.00723389	0.00982894	0.0471357	0.170834	0.0597481	0.70522
