 	ce	brusque	retour	des	pluies	nous	a	surpris	</S>
e	0.430568	0.453405	0.0714553	0.0142779	0.0165865	0.00353967	0.00825026	0.00102738	0.000889919
b	0.163911	0.48057	0.0786029	0.0406338	0.00589106	0.00900519	0.0285494	0.181271	0.0115653
v	0.0141052	0.709938	0.195133	0.0477564	0.00707604	0.0144728	0.00154875	0.0071572	0.00281193
ú	0.0310166	0.696118	0.205501	0.0308038	0.0100557	0.0120791	0.00289641	0.0070733	0.00445668
l	0.12252	0.827944	0.033586	0.0076854	0.00386428	0.00102361	0.000781605	0.00152065	0.00107447
ú	0.584576	0.107741	0.0686185	0.0783985	0.0192756	0.00458368	0.0201717	0.00766761	0.108968
l	0.359696	0.249703	0.0680414	0.0527676	0.0465783	0.011202	0.0750178	0.00500183	0.131993
ú	0.35252	0.0398837	0.0483501	0.0500283	0.029024	0.014842	0.0683424	0.0133822	0.383627
y	0.434045	0.13724	0.132898	0.0806319	0.0386777	0.00566043	0.0196918	0.00207051	0.149084
á	0.793985	0.0641865	0.0371993	0.0703016	0.0259825	0.000812455	0.0029822	0.000213848	0.00433658
m	0.437876	0.0708929	0.0781009	0.270406	0.0986339	0.0177301	0.00933874	0.00106785	0.0159532
b	0.143552	0.0314329	0.0589205	0.548065	0.174903	0.0109549	0.00842776	0.000249845	0.0234933
v	0.0158613	0.0816868	0.399247	0.311506	0.17026	0.00487591	0.00161235	0.000222608	0.0147292
ú	0.0179696	0.122286	0.416886	0.25218	0.114394	0.0079789	0.00211145	0.000215574	0.0659781
á	0.138024	0.0917779	0.276179	0.355185	0.107466	0.00306508	0.00465384	0.00153035	0.0221193
m	0.0298654	0.0185027	0.200586	0.267477	0.262318	0.0511105	0.121631	0.0221312	0.026378
b	0.0682064	0.0113002	0.0516536	0.312726	0.368889	0.0588088	0.0874389	0.0051988	0.0357777
a	0.00468536	0.017343	0.320569	0.345515	0.271768	0.0129455	0.00992527	0.000788125	0.0164601
l	0.016179	0.0124675	0.124354	0.222463	0.520371	0.0337121	0.0300305	0.00697275	0.0334505
a	0.012733	0.0118103	0.113964	0.261018	0.232834	0.0420595	0.0343691	0.0230294	0.268183
p	0.00778603	0.0031339	0.0370848	0.230176	0.400887	0.0894957	0.154945	0.0135153	0.0629773
ω	0.0121773	0.0158445	0.0664859	0.199818	0.515096	0.0402422	0.0507528	0.0480906	0.0514927
ώ	0.00370658	0.00531614	0.0573935	0.152066	0.229608	0.0468455	0.0545672	0.102505	0.347993
é	0.00253013	0.000534499	0.00837633	0.0193814	0.0332281	0.0374137	0.412678	0.2483	0.237558
p	0.00559575	0.0017978	0.0104111	0.00961418	0.00513732	0.0199809	0.42885	0.406982	0.111631
έ	0.000176598	0.000307965	0.00297115	0.00871852	0.0123571	0.00426886	0.106222	0.623901	0.241077
ε	0.00787913	0.00424822	0.0321754	0.0984711	0.1139	0.0623395	0.0998343	0.144032	0.43712
b	0.0108606	0.00194804	0.00784978	0.0397327	0.0310085	0.2877	0.264737	0.0492596	0.306904
í	0.000853453	0.00581689	0.0263428	0.0711779	0.0907269	0.693377	0.0456584	0.0397165	0.02633
s	0.0024619	0.00783362	0.0203628	0.0963679	0.138546	0.581426	0.0332392	0.0239812	0.0957814
í	0.00441612	0.00580286	0.0405011	0.177894	0.142602	0.277247	0.0763756	0.0183592	0.256802
a	0.00133452	0.00129073	0.009108	0.0211279	0.0229995	0.0778361	0.294033	0.0772227	0.495048
m	0.00663798	0.00429599	0.027188	0.02999	0.0108612	0.0324237	0.253354	0.366142	0.269107
w	0.0321878	0.0392885	0.038907	0.109534	0.0144331	0.0870739	0.344521	0.0225546	0.3115
a	0.0490346	0.0105245	0.0210664	0.326981	0.0468776	0.344489	0.0257706	0.00295883	0.172298
</S>	0.00227275	0.00209433	0.00750686	0.0159978	0.0170672	0.020389	0.0982394	0.0314702	0.804962
