 	il	casse	le	bout	de	bois	</S>
k	0.483033	0.479649	0.0279665	0.00270677	0.00594147	0.000564897	0.000138079
y	0.220439	0.687317	0.0589636	0.00527452	0.0126301	0.0142638	0.00111235
é	0.13896	0.806484	0.0277712	0.00794084	0.00288866	0.0114341	0.00452092
n	0.232126	0.598672	0.0660143	0.00912358	0.0157253	0.0215361	0.0568022
á	0.216768	0.641792	0.0905958	0.00721099	0.00500584	0.005402	0.0332251
n	0.23303	0.154986	0.412843	0.110531	0.0241481	0.00504571	0.0594162
d	0.230084	0.135056	0.199557	0.0582483	0.0402722	0.0135653	0.323216
á	0.214908	0.150094	0.396248	0.0915482	0.0184285	0.0103586	0.118415
m	0.109174	0.0654511	0.433456	0.140235	0.09035	0.0261919	0.135142
b	0.0584073	0.0519043	0.350698	0.308153	0.0914448	0.0248554	0.114537
e	0.0660947	0.0677755	0.440593	0.187065	0.0580895	0.0817048	0.0986777
y	0.0561919	0.0667165	0.334749	0.276925	0.170195	0.037453	0.057769
á	0.0459416	0.0403568	0.27893	0.332568	0.115467	0.0918408	0.0948969
i	0.0159064	0.00675419	0.128832	0.237964	0.465653	0.072558	0.0723322
b	0.00837421	0.00948305	0.0665791	0.179678	0.207179	0.303588	0.225118
v	0.0309904	0.0540043	0.0696424	0.0725429	0.0737347	0.627763	0.0713217
ú	0.0134417	0.0542393	0.123554	0.175114	0.136342	0.411459	0.0858495
a	0.00352375	0.00289599	0.0175579	0.197675	0.315418	0.308986	0.153944
</S>	0.00265349	0.00279605	0.024808	0.105599	0.398373	0.146529	0.319241
