 	cet	enfant	a	déchiré	son	habit	avec	le	couteau	</S>
m	0.741218	0.206858	0.0178609	0.000407925	0.00972917	0.0123051	0.00824642	0.00299576	0.000214459	0.000163915
w	0.0537831	0.820364	0.0957246	0.000584928	0.00254541	0.00318668	0.00743574	0.00316235	0.00182197	0.0113918
á	0.00448447	0.994594	0.000689329	2.23638e-05	3.55748e-05	0.000110351	4.36614e-05	3.45868e-06	1.02024e-05	6.4336e-06
n	0.0659694	0.929813	0.00223552	8.91432e-05	0.000294027	0.000400667	0.00066215	8.5274e-05	6.82953e-05	0.000382661
a	0.0546003	0.755651	0.0677264	0.00253467	0.00904156	0.015015	0.0185803	0.00193802	0.0032692	0.071643
w	0.81746	0.0516318	0.0647553	0.0282122	0.0191388	0.00180544	0.00407064	0.00715399	0.00126537	0.00450638
o	0.170813	0.0350868	0.112451	0.0823657	0.145002	0.0214562	0.0990243	0.141023	0.0235248	0.169253
á	0.0484654	0.0127	0.589779	0.211728	0.0736843	0.0063582	0.0135019	0.0126641	0.00272704	0.0283919
m	0.00616485	0.000928904	0.207108	0.671359	0.0429648	0.00898672	0.00332933	0.00947441	0.00739016	0.0422933
i	0.00240063	0.00141953	0.208127	0.644203	0.0938831	0.0224452	0.00653946	0.00317109	0.00521564	0.0125946
p	0.00305369	0.000660606	0.101814	0.820991	0.0311931	0.0236877	0.00245774	0.00191618	0.00182893	0.0123965
a	0.000864739	9.88151e-05	0.0152689	0.907128	0.035293	0.0334052	0.0021074	0.000707288	0.000761924	0.00436438
s	0.000422509	0.000416515	0.0206559	0.740616	0.146425	0.0457935	0.0124379	0.0058217	0.00764722	0.0197637
á	0.00645965	0.00219699	0.0081579	0.231691	0.42228	0.138055	0.121629	0.0229	0.00680497	0.0398256
o	0.00898118	0.0231397	0.0366218	0.0636747	0.338665	0.180316	0.210934	0.0472715	0.0319191	0.0584767
k	0.00138603	0.000469036	0.00946475	0.0354395	0.0561991	0.778947	0.0619886	0.0154938	0.0378449	0.00276728
á	0.000147387	4.02995e-05	0.000357621	0.00801602	0.0065455	0.96772	0.0107421	0.0011373	0.00370186	0.00159224
n	0.00162995	0.000338249	0.00429811	0.353095	0.0889292	0.30072	0.0681317	0.0195456	0.0478542	0.115458
d	0.00131249	0.000246239	0.00743856	0.014619	0.213584	0.505469	0.138995	0.0155311	0.0127559	0.0900489
á	0.00237866	0.00176383	0.00655558	0.00355455	0.0755543	0.545822	0.105938	0.00838349	0.00706164	0.242988
m	0.00330629	0.000415127	0.00652264	0.00156612	0.0653613	0.133994	0.520581	0.163105	0.0264188	0.0787298
í	0.0084906	0.00464791	0.0094748	0.0005124	0.0210416	0.00799634	0.182728	0.314904	0.0438097	0.406395
b	0.0028985	0.000717463	0.00329067	0.000956702	0.0183754	0.0312984	0.137945	0.100413	0.690509	0.0135967
á	0.00248217	0.00444501	0.000955619	0.000442438	0.00894027	0.00968045	0.0339296	0.0404768	0.889345	0.00930253
á	0.00127777	0.000515632	0.000329126	0.00186581	0.0127328	0.00357749	0.0508143	0.0711527	0.8175	0.0402346
</S>	0.000968199	0.000582222	0.0089901	0.00348504	0.0106057	0.00432498	0.0763748	0.191126	0.453119	0.250424
