 	tu	m'	agaces	</S>
n	0.950011	0.0449357	0.00294246	0.00211047
ω	0.854537	0.143702	0.000736592	0.001025
l	0.737448	0.0916848	0.100513	0.0703535
ó	0.0592005	0.052275	0.0340805	0.854444
o	0.373468	0.325649	0.0834184	0.217465
p	0.00369206	0.0539807	0.877499	0.0648281
έ	0.000999796	0.0266932	0.878581	0.0937257
n	0.169505	0.120386	0.368906	0.341203
g	0.117168	0.435537	0.394457	0.0528376
á	0.485084	0.339176	0.0940621	0.0816772
k	0.00850267	0.0556751	0.616749	0.319073
y	0.00668131	0.010526	0.942993	0.0397999
έ	0.00117461	0.00663102	0.901381	0.0908138
r	0.00278013	0.0526746	0.591075	0.35347
ε	0.00224802	0.0374881	0.553929	0.406335
</S>	0.00199595	0.0435783	0.08948	0.864946
