 	il	faut	attiser	le	feu	qui	est	éteint	</S>
k	0.451098	0.534602	0.00534796	0.00260189	0.00144435	0.00195707	0.0026607	9.98927e-05	0.000187738
á	0.178591	0.768343	0.0238293	0.00808715	0.00249292	0.00964386	0.00627323	0.000869867	0.00187003
a	0.157604	0.757735	0.0399063	0.00395037	0.00658199	0.00591404	0.00214476	0.0034731	0.0226906
l	0.240225	0.341891	0.0940284	0.0499401	0.0311581	0.0300576	0.0184851	0.0122558	0.181958
é	0.10223	0.347247	0.166543	0.0408496	0.0687618	0.070313	0.0204023	0.0123764	0.171277
e	0.15511	0.139027	0.142959	0.192503	0.0658604	0.0815819	0.0462633	0.0168774	0.159817
b	0.00303162	0.0124937	0.841628	0.0961375	0.010549	0.00516586	0.00426608	0.0060149	0.0207131
e	0.000817437	0.00520871	0.983213	0.00465299	0.00337818	0.000701943	0.000331781	0.000935823	0.000759779
n	0.000706307	0.00881673	0.956081	0.0175439	0.0033938	0.00134827	0.000387721	0.00129686	0.0104252
d	0.0546881	0.0242164	0.303559	0.346859	0.0466436	0.0919148	0.0181773	0.00393346	0.110009
z	0.0182321	0.00581608	0.234704	0.267156	0.0349656	0.0582884	0.0146578	0.00641572	0.359765
á	0.0814118	0.018967	0.12522	0.423338	0.0336146	0.122192	0.0159374	0.00453704	0.174783
m	0.00645733	0.00517449	0.00961143	0.533222	0.322499	0.0678439	0.039347	0.00620185	0.0096429
í	8.0528e-05	2.63151e-05	0.000348144	0.00200166	0.943738	0.0070298	0.00290128	0.0379054	0.00596902
á	0.00451985	0.00160634	0.00249497	0.0103562	0.635894	0.0406883	0.0646395	0.231348	0.00845339
m	0.00114611	0.000536013	0.00408908	0.0782419	0.231453	0.305026	0.279384	0.0395881	0.0605367
í	0.000658741	6.39608e-05	0.00302164	0.0096933	0.381214	0.115777	0.271293	0.139403	0.0788754
í	0.00357799	0.000802808	0.00140882	0.0166877	0.0797978	0.132206	0.345298	0.360839	0.0593817
m	0.00095016	0.000348043	0.00432855	0.01506	0.0421059	0.121112	0.471107	0.224595	0.120393
i	0.000343894	5.28332e-05	0.00114004	0.00709176	0.0385641	0.124113	0.425091	0.33235	0.0712527
d	0.0001182	5.88186e-05	0.00196736	0.00634641	0.0188673	0.0600981	0.316515	0.535481	0.0605468
í	7.43459e-05	3.56841e-05	0.000936733	0.00358585	0.0102716	0.0377299	0.180465	0.709561	0.0573407
m	0.00056014	3.5755e-05	0.000555404	0.0119248	0.0138399	0.125763	0.295276	0.125049	0.426996
a	0.000656101	7.10852e-05	0.00121703	0.00643814	0.0172901	0.135439	0.408721	0.157454	0.272714
m	0.000851189	7.23734e-05	0.000685655	0.0123493	0.00995015	0.100852	0.32444	0.0926063	0.458193
í	0.000744744	6.32242e-05	0.000895472	0.0121675	0.0273275	0.137929	0.577439	0.135675	0.107759
i	0.00105119	0.000260795	0.000735213	0.0141871	0.0109372	0.101899	0.686755	0.107064	0.0771109
</S>	0.000946909	0.000166768	0.00270509	0.0198973	0.0107912	0.0711171	0.250043	0.130285	0.514047
