 	les	légumes	se	sont	répandus	dans	mon	champ	</S>
a	0.85698	0.126522	0.0137619	0.000422538	6.04388e-05	0.000778066	0.00140664	5.79399e-05	1.09569e-05
t	0.197911	0.745679	0.0449351	0.00318174	0.00464954	0.00166544	0.000556514	0.000893727	0.000527303
ú	0.0404464	0.914227	0.0355814	0.000804239	0.0036934	0.000936243	0.000677728	0.00222794	0.00140565
n	0.0439722	0.879099	0.0446625	0.00220128	0.0183457	0.000571853	0.000297049	0.00146001	0.00938993
g	0.363802	0.559313	0.0621808	0.00305244	0.00375464	0.000469736	0.00143355	0.000582198	0.00541228
u	0.369862	0.473558	0.128884	0.00413735	0.0148356	0.000602826	0.000951116	0.00176342	0.00540546
á	0.0214056	0.0452225	0.842589	0.0719696	0.00266522	0.00686687	0.000681191	1.02163e-05	0.00858951
m	0.0374575	0.0845048	0.370572	0.335474	0.139846	0.0218932	0.0016358	0.000704213	0.00791185
i	0.0374138	0.0274501	0.154256	0.598096	0.126497	0.0441721	0.00187362	0.000182498	0.0100585
b	0.00167974	0.00606416	0.0219598	0.463603	0.488658	0.0109162	0.000855918	0.000454736	0.00580821
h	0.00256586	0.00100111	0.0144854	0.290704	0.655644	0.0261818	0.00130035	8.40255e-06	0.00810905
a	0.000598031	0.000584292	0.00222588	0.0246795	0.967869	0.00308289	0.000170612	3.55334e-06	0.000786279
n	0.0259303	0.0217042	0.0823855	0.0947322	0.680533	0.0882829	0.00261094	0.00116632	0.00265464
g	0.0268209	0.0280247	0.0471259	0.161029	0.579165	0.106617	0.022416	0.00246543	0.0263364
á	0.0715953	0.0285812	0.157104	0.0841808	0.405533	0.15564	0.0308564	0.00634091	0.0601686
s	0.00730285	0.00318156	0.0377445	0.0544648	0.037425	0.588184	0.189173	0.0725551	0.00996864
á	0.0197879	0.0063503	0.00997058	0.0160977	0.118185	0.165417	0.309352	0.204978	0.149861
k	0.00772085	0.00407993	0.00861342	0.00530915	0.010656	0.0515574	0.0972763	0.806231	0.00855543
u	0.00381717	0.00444573	0.00823361	0.0046889	0.682396	0.193196	0.055858	0.0268051	0.0205594
b	0.00622553	0.00430111	0.00569356	0.00674556	0.746938	0.200072	0.00570286	0.00879292	0.0155284
h	0.0132596	0.00387687	0.00192281	0.00178131	0.860648	0.0642333	0.0112444	0.000868585	0.042165
á	0.00339103	0.00410381	0.00886049	0.00509448	0.149999	0.26837	0.1302	0.0135442	0.416437
</S>	0.00430556	0.00129012	0.0137915	0.0144552	0.00156562	0.214821	0.261217	0.0124979	0.476056
