 	la	mère	écarquillait	l'	oeil	de	son	enfant	pour	y	mettre	le	médicament	</S>
n	0.853778	0.111203	0.0172544	0.000910664	0.00276817	0.00103298	0.0057652	0.00165663	0.0013564	0.00190325	0.00122199	0.000535675	0.00057173	4.14316e-05
g	0.125861	0.872889	6.2868e-05	4.1646e-05	0.000923518	3.14868e-05	0.000121033	2.89718e-05	9.99333e-06	6.62702e-06	4.67398e-06	1.14535e-05	6.88161e-06	7.32018e-07
ó	0.0549692	0.943917	0.000239112	8.88678e-05	0.000419754	4.43556e-05	9.38413e-05	0.000153759	7.79597e-06	4.32171e-06	9.996e-06	1.36844e-05	3.2234e-05	6.09527e-06
o	0.0158418	0.982457	0.000352579	0.00029727	0.000466142	6.14899e-05	0.000310737	0.000150164	6.54201e-06	4.20647e-06	6.03132e-06	1.28487e-05	2.6599e-05	6.47148e-06
á	0.366887	0.00885119	0.385044	0.146105	0.0296223	0.0103153	0.00622447	0.00245828	0.0129433	0.011258	0.00609508	0.0067826	0.00124957	0.0061636
d	0.0474759	0.0148749	0.412594	0.369921	0.0610474	0.0465124	0.00473615	0.000961293	0.00389639	0.00193365	0.00232846	0.00570498	0.00240515	0.0256086
z	0.00933902	0.000454555	0.221188	0.370582	0.232276	0.0782826	0.00267366	0.000678858	0.00183585	0.000396512	0.0013745	0.00289215	0.00036858	0.0776583
e	0.480832	0.00101415	0.110117	0.10663	0.280072	0.0144942	0.00271025	0.00132321	0.000192713	4.40731e-05	0.000105632	0.000363026	6.36163e-05	0.00203724
l	0.0384997	0.000494241	0.233015	0.442417	0.162792	0.0470134	0.0130227	0.00426974	0.00692302	0.0106893	0.0036535	0.00692208	0.00432031	0.0259679
á	0.0210571	0.000149391	0.263575	0.296758	0.139226	0.0717094	0.0310151	0.0047149	0.0252941	0.0183335	0.0180016	0.0225282	0.00836068	0.0792763
a	0.0866003	0.000618181	0.158525	0.166219	0.281235	0.0837059	0.0919451	0.0475318	0.0193811	0.0122594	0.0145033	0.00803944	0.00543381	0.0240025
p	0.00110822	0.000387906	0.135809	0.421119	0.0926492	0.236001	0.0315364	0.0331931	0.0149971	0.00353466	0.00845701	0.0046871	0.00367234	0.0128478
a	0.000137037	2.45245e-05	0.351359	0.377066	0.011447	0.148277	0.0178047	0.00709626	0.0187426	0.00431077	0.0158901	0.00650785	0.00652625	0.0348116
a	0.000913867	6.06553e-05	0.351017	0.320883	0.0345962	0.122449	0.0410936	0.0143652	0.0182689	0.0084959	0.0207997	0.00836362	0.0128409	0.0458521
n	0.000524345	5.60487e-06	0.00451336	0.0585741	0.219891	0.375744	0.247966	0.0135506	0.0234828	0.0186305	0.00975224	0.00874943	0.00377449	0.0148405
á	0.00608091	0.000168209	0.00443777	0.0572973	0.595331	0.177289	0.0904213	0.0276248	0.005925	0.00147202	0.00323512	0.00395589	0.00107892	0.0256822
m	0.00151153	0.000127408	0.00430523	0.0302849	0.122562	0.214157	0.46935	0.0885985	0.0241418	0.00967303	0.00660743	0.00914335	0.00579298	0.0137444
w	0.000623837	2.29486e-06	0.00133375	0.00696836	0.00310759	0.063676	0.0473781	0.764234	0.0671313	0.0107417	0.0101238	0.00648223	0.000610811	0.0175859
á	0.000207092	6.48363e-07	0.000242996	0.000437284	0.000625041	0.00247135	0.0073724	0.980687	0.00402388	0.000755422	0.00170159	0.00022755	0.000717234	0.00053056
n	0.00211202	4.76292e-06	0.000118836	0.000654386	0.00639873	0.0156318	0.0519998	0.904681	0.00773189	0.00237652	0.00363714	0.000984925	0.00130582	0.0023622
a	0.00747262	7.34609e-05	0.00598246	0.0411098	0.0293413	0.0817177	0.161278	0.610725	0.0109935	0.00191163	0.00404322	0.0034471	0.00222021	0.0396836
d	0.00490431	0.000351046	0.0206765	0.0724285	0.0444343	0.0926708	0.291216	0.0505275	0.215576	0.102793	0.0311508	0.0445015	0.00807244	0.0206982
í	0.000172375	4.79662e-06	0.00206717	0.0113557	0.520535	0.240705	0.0589771	0.0179022	0.026397	0.00843474	0.00743554	0.0173707	0.00202169	0.08662
s	0.000548164	0.000177661	0.00252985	0.00624127	0.0731255	0.0497747	0.108692	0.0133789	0.216987	0.247646	0.0915927	0.105049	0.0280501	0.0562077
i	0.00482614	0.000239124	0.00332313	0.0198781	0.35856	0.205798	0.0853807	0.0672356	0.0386229	0.0277758	0.0184555	0.052882	0.0109102	0.106112
m	0.000564512	0.000134048	0.00228064	0.00351392	0.0774639	0.0546972	0.160787	0.0322694	0.140863	0.116684	0.0477343	0.14825	0.037005	0.177754
í	5.45551e-05	1.41371e-06	0.000177183	0.00134593	0.000958422	0.0466731	0.0236827	0.049509	0.159803	0.0830622	0.115156	0.282974	0.0205343	0.216068
k	2.13413e-05	4.16342e-06	0.000666572	0.00111498	0.002439	0.0163878	0.0305214	0.00932785	0.149677	0.169061	0.204141	0.21759	0.148363	0.0506849
a	2.38612e-05	1.79341e-06	0.000846015	0.000589864	0.000561649	0.00823852	0.00625512	0.00163092	0.100167	0.127752	0.307597	0.131221	0.229647	0.0854685
n	0.000168218	6.06814e-06	0.00101627	0.000444795	0.000560394	0.00484971	0.0112887	0.00606738	0.0968162	0.188785	0.200135	0.0891954	0.221181	0.179486
a	0.000718493	3.08026e-05	0.00391519	0.00558922	0.00626658	0.0329579	0.0224846	0.00901225	0.0773386	0.0611323	0.267869	0.17116	0.164587	0.176938
l	0.00203037	2.67421e-05	0.00271179	0.00247665	0.00244263	0.00903562	0.0171949	0.00261505	0.105618	0.119835	0.122546	0.187647	0.024393	0.401427
á	0.000336248	7.28351e-05	0.0021447	0.00601186	0.0182315	0.030719	0.00809793	0.000621258	0.0544946	0.0546499	0.162681	0.238309	0.0961637	0.327466
b	0.00115172	0.000399389	0.00153226	0.00662406	0.0281766	0.0172423	0.0388845	0.00282808	0.0489033	0.0676725	0.0722211	0.211134	0.276032	0.227198
v	0.000340679	2.61452e-05	0.000177573	0.00445011	0.0109669	0.013417	0.00905908	0.00108236	0.0137688	0.0402711	0.0796158	0.0655971	0.74461	0.0166178
e	0.000270244	4.71998e-07	4.74246e-06	8.74321e-05	0.000425911	0.000823222	0.00168611	0.00108955	0.00688171	0.0237848	0.0549003	0.0137866	0.891178	0.00508035
r	9.47751e-05	2.8166e-06	4.63988e-05	0.000236991	0.00193264	0.00531947	0.00533925	0.00418635	0.0154755	0.0502066	0.0586673	0.0798567	0.65122	0.127416
é	0.000224828	9.71522e-06	0.00066147	0.000885973	0.000744289	0.00611027	0.00434426	0.00242585	0.0450279	0.0404222	0.0953198	0.185108	0.307999	0.310717
</S>	0.00238185	1.70405e-05	0.00181928	0.00131101	0.00143126	0.00408227	0.0078132	0.00118447	0.0700995	0.0831819	0.0658916	0.13748	0.0421349	0.581172
