 	le	singe	n'	adopte	pas	le	fils	de	son	frère	</S>
k	0.45886	0.522761	0.00402163	0.00109001	0.00375615	0.00570481	0.00198801	0.000846249	0.000866337	7.58894e-05	2.98609e-05
y	0.0413726	0.952979	0.000749089	0.000734308	0.00108924	0.00106781	0.000711159	0.000521575	0.000259125	0.000450176	6.57125e-05
é	0.00955455	0.985187	0.00179893	0.000482677	0.0013195	0.000752038	0.00018566	0.000272429	3.99169e-05	0.000159833	0.000247359
m	0.109123	0.516636	0.0210254	0.0353393	0.0297807	0.0399084	0.0023991	0.0148008	0.0109757	0.0105913	0.20942
a	0.396359	0.484907	0.0377345	0.00258228	0.00716423	0.00460231	0.0298803	0.00431695	0.000647392	0.00734152	0.0244638
a	0.235121	0.189016	0.407728	0.0306475	0.016684	0.0117069	0.0121544	0.0148254	0.00604914	0.00441046	0.0716559
d	0.127376	0.0930399	0.436252	0.175519	0.0468701	0.0194096	0.00527324	0.0249874	0.0118271	0.0026796	0.0567664
í	0.053451	0.0249367	0.362752	0.0511461	0.0439809	0.0232207	0.0159402	0.0505435	0.0201052	0.013807	0.340116
í	0.0388501	0.00417611	0.428117	0.138377	0.128365	0.0656015	0.00973099	0.0348342	0.0403816	0.0062061	0.10536
l	0.011919	0.00274682	0.251231	0.372011	0.175106	0.0960163	0.0294718	0.0202575	0.0117794	0.00658317	0.0228774
a	0.00256775	0.00156401	0.22645	0.273021	0.139949	0.0894766	0.0186516	0.0743916	0.0232736	0.0279646	0.12269
m	0.0197048	0.00423193	0.129696	0.143864	0.174889	0.206076	0.0746269	0.0493404	0.0292435	0.0489401	0.119388
w	0.00310334	0.000578475	0.0321313	0.00420279	0.0122401	0.0863632	0.749311	0.0154499	0.00781594	0.0706221	0.0181818
á	0.00266049	0.000538891	0.0170347	0.02066	0.02237	0.121901	0.607259	0.0176058	0.00617416	0.151501	0.0322952
n	0.00624754	8.5002e-05	0.0199506	0.0343665	0.0814528	0.204937	0.395679	0.0414863	0.0357359	0.0718328	0.108226
a	0.029875	0.0036184	0.0231653	0.043273	0.11132	0.282222	0.260855	0.037139	0.0172345	0.0326194	0.158679
y	0.0094098	0.00146094	0.059023	0.109375	0.219623	0.339564	0.079702	0.0939179	0.0479123	0.00438265	0.0356285
a	0.0151467	0.00674848	0.106604	0.0542262	0.187853	0.325164	0.0913977	0.0768993	0.0471045	0.0516652	0.0371909
o	0.00525495	0.00122526	0.0149076	0.0119072	0.11384	0.471211	0.110798	0.0556493	0.157771	0.0383456	0.0190906
d	0.00322602	0.0010669	0.033737	0.138465	0.106076	0.204989	0.114751	0.165101	0.0384775	0.172351	0.0217598
i	0.00446583	0.000528378	0.0159595	0.0618687	0.0795885	0.219461	0.0688298	0.162775	0.0941885	0.184279	0.108055
m	0.00121857	0.00014086	0.0111425	0.0179937	0.0967787	0.270932	0.169187	0.159558	0.0856414	0.130327	0.0570804
í	0.00158531	0.000154274	0.0164685	0.00684847	0.0520088	0.129284	0.101193	0.143851	0.0824731	0.198878	0.267255
o	0.00244709	0.000226142	0.00630388	0.0121603	0.0589818	0.0830562	0.0516404	0.17952	0.272382	0.0799094	0.253373
b	0.00191927	0.000699369	0.0127084	0.0251867	0.0270893	0.0419432	0.0243782	0.121768	0.110962	0.512326	0.121019
v	0.00229782	0.00124492	0.0143847	0.123392	0.138685	0.0867872	0.0665668	0.164639	0.0530498	0.26863	0.0803224
u	0.00775427	0.000309337	0.00561879	0.0835368	0.14061	0.0757214	0.104432	0.169311	0.0527789	0.2581	0.101829
a	0.00345258	0.000198162	0.00172775	0.00637716	0.0604645	0.0942822	0.018157	0.0788414	0.15051	0.252214	0.333774
k	0.00290254	0.000162918	0.0109654	0.0102745	0.0347802	0.0413239	0.0114164	0.131346	0.211221	0.11763	0.427977
a	0.000785541	0.00142243	0.0137882	0.0871343	0.26992	0.0564638	0.00512931	0.222442	0.108691	0.0314574	0.202767
á	0.00070509	0.000877035	0.00488362	0.0146867	0.0301688	0.0167036	0.0119671	0.0929687	0.0254286	0.0702972	0.731314
</S>	0.00151825	0.000386577	0.00983423	0.00827848	0.0172873	0.016627	0.02906	0.0705512	0.259475	0.0895921	0.49739
