 	elle	changea	d'	avis	et	rentra	chez	son	mari	</S>
w	0.941117	0.0196836	0.0106879	0.00108601	0.0104499	0.00984856	0.00329967	0.00373025	8.78623e-05	8.82875e-06
a	0.863135	0.0197166	0.0406554	0.000795386	0.0416648	0.00888453	0.00521746	0.0185611	0.00135972	1.01961e-05
a	0.464777	0.288318	0.137528	0.0257575	0.018329	0.0136131	0.00714171	0.0278411	0.00302754	0.0136676
k	0.105825	0.535568	0.1026	0.0473655	0.039919	0.0120138	0.0513	0.0375411	0.0155093	0.0523585
a	0.039233	0.739751	0.101327	0.0440667	0.0165835	0.00556691	0.0185186	0.00992761	0.00310649	0.0219192
l	0.0118224	0.836871	0.0945911	0.0132668	0.0113148	0.00696341	0.00960797	0.00236509	0.00451872	0.00867805
í	0.140147	0.42137	0.192937	0.0151744	0.0282269	0.027245	0.0190827	0.0373185	0.00554179	0.112956
s	0.129658	0.110817	0.37395	0.0902148	0.071791	0.0277022	0.0644119	0.0384355	0.0108787	0.082141
í	0.0200535	0.113603	0.347244	0.125823	0.101641	0.166042	0.0285797	0.0355735	0.00265629	0.0587842
o	0.0486388	0.0106763	0.21806	0.0557483	0.233722	0.152579	0.0517831	0.184533	0.00291965	0.0413392
t	0.000868577	0.0702953	0.109082	0.738329	0.0263985	0.00806465	0.011401	0.00120152	0.0295995	0.00476037
é	0.000378209	0.0187827	0.0381434	0.906549	0.00646541	0.00242649	0.00339446	0.000637707	0.0133551	0.00986753
m	0.00205965	0.0754271	0.157775	0.593658	0.0208733	0.00934639	0.0157758	0.00471923	0.0253571	0.0950084
a	0.00141238	0.00752133	0.14773	0.60164	0.112601	0.0385782	0.0262886	0.00953796	0.00449676	0.0501933
a	0.00602169	0.0037839	0.148736	0.0732684	0.414636	0.106788	0.0872743	0.0276846	0.0041075	0.127699
b	0.00325344	0.0120596	0.0805995	0.0460508	0.476846	0.219691	0.0905865	0.0162346	0.0223913	0.0322871
v	0.000668325	0.00433095	0.0184883	0.0168553	0.301383	0.0572517	0.552701	0.0213383	0.0146027	0.01238
ú	0.000598378	0.00233947	0.0195877	0.0231908	0.177082	0.106599	0.525054	0.0399953	0.006874	0.0986792
r	0.000624112	0.00176524	0.0259858	0.185802	0.478077	0.160573	0.122252	0.00460794	0.00339961	0.0169136
ú	0.000694656	0.000274305	0.0225934	0.108029	0.237939	0.500634	0.0698852	0.0303212	0.00110533	0.0285238
n	0.000544247	0.000486976	0.0233795	0.00815592	0.43898	0.375298	0.061847	0.0593751	0.00253688	0.029396
d	0.00234005	7.96353e-05	0.00250641	0.00281346	0.0807104	0.869863	0.012578	0.0157026	0.000394964	0.0130109
é	0.000282691	9.312e-05	0.000972616	0.00243484	0.0673855	0.869637	0.0138777	0.0132074	0.00287873	0.0292308
e	0.00046511	0.000557013	0.0118594	0.013632	0.207365	0.499999	0.0572925	0.0909811	0.0444895	0.0733588
y	0.000977858	0.0010088	0.0120975	0.00346741	0.159034	0.191934	0.203314	0.35343	0.0378511	0.0368851
á	0.00736187	0.00689053	0.0693484	0.0222263	0.229725	0.191982	0.0976323	0.281358	0.0531716	0.0403038
o	0.000928041	0.00149142	0.017653	0.00382182	0.148181	0.304586	0.0655725	0.378457	0.0488453	0.0304637
l	9.88982e-05	0.00344497	0.00771035	0.00630057	0.0358428	0.0306071	0.114694	0.0480813	0.741614	0.0116055
ó	0.000147706	0.0067794	0.00718095	0.00476124	0.0194737	0.0098822	0.0251142	0.0118767	0.893926	0.0208575
m	0.000161825	0.000870424	0.0033409	0.00583286	0.0163757	0.00949187	0.0135552	0.011399	0.918684	0.0202883
i	4.15834e-05	0.000494485	0.00275644	0.0104724	0.0165194	0.0114904	0.0360889	0.0320409	0.558349	0.331747
</S>	0.00136303	0.000216593	0.00587285	0.00317238	0.0327061	0.104391	0.127257	0.379898	0.0884349	0.256689
