 	il	tend	la	corde	de	son	arc	</S>
w	0.970174	0.00707739	0.00368776	0.00572899	0.00794704	0.00289177	0.0024088	8.41935e-05
a	0.937278	0.000523967	0.00605971	0.017878	0.0227578	0.0115731	0.00387476	5.46032e-05
l	0.283485	0.412906	0.120468	0.0292512	0.0639107	0.0548345	0.00188605	0.0332584
á	0.109289	0.14311	0.0659748	0.06529	0.0792456	0.111122	0.00646108	0.419507
a	0.210748	0.0922485	0.114122	0.138439	0.0985046	0.10303	0.0134607	0.229447
t	0.00356309	0.930808	0.0384805	0.0070805	0.00446612	0.00337804	0.000900365	0.011323
é	0.00233836	0.888569	0.0841274	0.00781586	0.00679503	0.00242242	0.000325543	0.00760597
n	0.0146993	0.545745	0.25305	0.0985234	0.0294783	0.015363	0.00274318	0.040397
d	0.0401688	0.321267	0.367504	0.189959	0.0489625	0.0172606	0.0022147	0.0126632
í	0.0633506	0.273241	0.382046	0.166473	0.0378905	0.0244489	0.00121672	0.0513329
s	0.0406636	0.0224119	0.374489	0.400443	0.12369	0.0250849	0.00693894	0.00627881
á	0.00236298	0.0191324	0.206063	0.658392	0.0640551	0.0227337	0.000441185	0.026819
s	0.0066292	0.00226572	0.061854	0.698899	0.201255	0.0220713	0.00272881	0.00429735
i	0.000527393	0.00110343	0.033888	0.831321	0.0797396	0.0299011	0.0141649	0.00935469
n	0.000295178	0.000820784	0.0582693	0.243848	0.329228	0.154946	0.00781182	0.204781
g	0.00085836	0.00514836	0.0453045	0.607249	0.212688	0.073088	0.00435461	0.0513087
a	0.00205935	0.00863316	0.0468417	0.633564	0.148102	0.0694415	0.015915	0.0754429
y	0.00170642	0.00192909	0.0690491	0.178211	0.344953	0.308558	0.0229025	0.0726912
a	0.00589795	0.00314253	0.0437775	0.313627	0.311296	0.243515	0.0329945	0.04575
e	0.00287689	0.000546819	0.0191909	0.418533	0.187176	0.275717	0.0317967	0.0641629
b	0.000484692	0.00398197	0.0127068	0.026126	0.0851301	0.241275	0.50632	0.123976
h	0.000895675	0.00024158	0.00431888	0.00269546	0.0154524	0.0212878	0.948611	0.00649738
e	1.90662e-05	0.000138732	0.00113826	0.00115661	0.00536189	0.0204685	0.955809	0.0159075
r	2.91617e-05	0.000253425	0.00572124	0.0139188	0.0357226	0.160324	0.524832	0.259198
á	0.000349229	0.00584792	0.0109118	0.0204055	0.0532622	0.189992	0.152836	0.566395
y	0.00116886	0.00178193	0.0191415	0.049217	0.0841449	0.235528	0.0579201	0.551097
á	0.00751712	0.00854782	0.0907688	0.151281	0.0919618	0.387783	0.0062649	0.255876
w	0.00467247	0.000892956	0.0380223	0.310546	0.0851478	0.342933	0.0378436	0.179941
a	0.00263611	0.00169663	0.024607	0.0495577	0.0653469	0.375744	0.186887	0.293525
</S>	0.000385006	0.000210395	0.00661383	0.0124396	0.0455513	0.141901	0.0543463	0.738553
