 	pourquoi	laisses-tu	moisir	le	manioc	</S>
t	0.936463	0.0550879	0.00259121	0.00197594	0.00360385	0.00027788
s	0.82998	0.154795	0.00258559	0.00786324	0.00321201	0.00156422
í	0.668719	0.310152	0.0049254	0.010675	0.00421234	0.00131648
n	0.801105	0.088044	0.00211631	0.00280842	0.00548171	0.100444
a	0.534847	0.260466	0.00291584	0.0387528	0.00169701	0.161321
n	0.368432	0.537363	0.00951372	0.0315487	0.00338757	0.0497547
d	0.386093	0.385517	0.00663821	0.0809631	0.00115609	0.139632
e	0.268619	0.649174	0.00797799	0.0109051	0.000604085	0.0627197
n	0.40591	0.432719	0.0292446	0.0417327	0.00241386	0.0879797
ω	0.237141	0.651464	0.00979282	0.0200209	0.000915186	0.0806661
l	0.092853	0.411701	0.122581	0.119402	0.00902365	0.244439
ó	0.121413	0.217264	0.0754701	0.184166	0.017962	0.383724
o	0.0995786	0.0577374	0.19961	0.433126	0.0192793	0.190668
b	0.00217945	0.0288703	0.840441	0.0652382	0.0449866	0.0182846
o	0.000106708	0.00486951	0.987175	0.00194454	0.00379715	0.00210754
m	0.000722613	0.00760015	0.899935	0.0177629	0.0277327	0.0462467
í	0.0225652	0.0131982	0.413964	0.203344	0.0618852	0.285044
s	0.00173603	0.00338857	0.0963044	0.434394	0.189551	0.274626
ώ	0.00251933	0.00759909	0.0349675	0.354324	0.127242	0.473348
i	0.00173764	0.00210895	0.0186387	0.520401	0.305403	0.151711
k	0.00275966	0.00541826	0.0230414	0.144094	0.7229	0.101786
ώ	0.000586404	0.000214185	0.000307253	0.00565753	0.98305	0.0101851
ώ	5.6091e-05	8.72053e-05	0.00117125	0.0240686	0.927474	0.0471431
</S>	0.000818737	0.00156292	0.00404125	0.271286	0.101022	0.621269
