 	la	mère	a	renvoyé	l'	enfant	à	la	maison	</S>
n	0.90289	0.0695687	0.0100559	0.00435691	0.00261048	0.00586774	0.00149419	0.00284506	0.000113394	0.000197741
g	0.340811	0.658264	0.000295717	2.03428e-05	0.000111837	4.91742e-05	2.48882e-05	0.000369443	5.29828e-05	3.71559e-07
ó	0.0485786	0.940348	0.000310152	9.54671e-05	0.000318936	0.000296786	8.77963e-05	0.000271826	0.00968879	3.49585e-06
o	0.0366267	0.941006	0.00142545	0.0109817	0.00257321	0.00292278	0.000702704	0.00121633	0.00149431	0.00105075
á	0.178525	0.116214	0.533484	0.0258956	0.0264639	0.00794655	0.0119092	0.0171479	0.00421019	0.0782031
b	0.0126939	0.0137927	0.0919231	0.783112	0.0546624	0.00582161	0.0206206	0.00199499	0.00139799	0.013981
v	0.0030248	0.00175243	0.0236368	0.863475	0.078049	0.00444572	0.0147161	0.0015004	0.000476808	0.00892332
ú	0.00777592	0.00224068	0.0249366	0.85888	0.0856911	0.00802526	0.00826924	0.00123777	0.000638582	0.00230529
ú	0.0408369	0.00104853	0.192079	0.48663	0.192657	0.0231984	0.0236135	0.013095	0.00513964	0.021702
s	0.000995323	0.000259178	0.27823	0.255326	0.355219	0.0446746	0.0227516	0.0113658	0.00392338	0.0272556
u	0.00792818	8.42197e-05	0.0175478	0.116763	0.661478	0.0204274	0.0221414	0.124205	0.0164989	0.0129258
m	0.00569784	9.85432e-05	0.256563	0.123643	0.476557	0.0628325	0.0192754	0.0282987	0.00570831	0.0213251
w	0.000534693	3.17853e-05	0.00579254	0.0125644	0.0232074	0.941129	0.00748901	0.00331174	0.00118814	0.00475157
á	0.000534141	0.00011302	0.000772945	0.0203296	0.00990764	0.959259	0.00308913	0.000932632	0.00399645	0.00106502
n	0.0774494	0.000455646	0.0555704	0.0823968	0.0838889	0.620817	0.0177631	0.0223426	0.00574072	0.0335754
a	0.00547592	0.00157954	0.0390256	0.141292	0.131995	0.585531	0.0229949	0.0197206	0.0244067	0.0279784
n	0.00277056	0.000138497	0.0797479	0.0245775	0.26885	0.0650806	0.325878	0.194667	0.0135013	0.0247887
d	0.00889284	0.000186434	0.0100147	0.0175073	0.129951	0.0819005	0.0927753	0.372476	0.18398	0.102316
é	0.000814834	0.00048334	0.00167303	0.00316348	0.0434791	0.0178477	0.0498793	0.191807	0.676498	0.0143541
e	0.000235221	0.000128287	0.012728	0.0203023	0.109914	0.0160041	0.183151	0.278723	0.180432	0.198382
</S>	0.000189863	6.81828e-06	0.0116152	0.00243287	0.0513132	0.0209233	0.421952	0.267813	0.0384516	0.185302
