 	les	petits	enfants	sont	en	train	d'	allumer	le	feu	dans	la	forêt	il	faut	les	blâmer	</S>
b	0.411405	0.375702	0.156789	0.0153409	0.0112366	0.0151732	0.00586118	0.000125377	0.00119729	0.000383239	0.00102129	0.00126817	0.00220587	0.000391361	0.00101929	0.000780377	9.07945e-05	9.35448e-06
á	0.0822158	0.350781	0.422426	0.0318978	0.0526999	0.0489388	0.00254012	7.14688e-06	0.000292898	0.000662993	0.00123389	0.00126284	0.000287735	0.000426463	0.00251163	0.00101931	0.000705198	9.00322e-05
n	0.0308227	0.370118	0.465599	0.0257044	0.059834	0.0250818	0.00253774	5.30225e-05	0.000261576	0.00107238	0.00198026	0.00298115	0.000539091	0.00217469	0.0036938	0.000593564	0.00618759	0.000765376
a	0.198277	0.3108	0.416014	0.0366439	0.00849755	0.000490611	0.00233028	5.94912e-05	0.000294657	0.00112145	0.0014839	0.00226968	0.000290548	0.00167793	0.0023169	0.000374127	0.00111367	0.0159431
b	0.292969	0.274842	0.233054	0.0814086	0.0240673	0.00849655	0.0142494	0.000538755	0.0136827	0.00495601	0.00865846	0.00534113	0.00442471	0.00594965	0.0102078	0.00583663	0.00256635	0.00875072
á	0.0888913	0.116107	0.254273	0.158771	0.109091	0.0382955	0.0693301	0.000281662	0.0170276	0.00505171	0.0196459	0.020248	0.00806575	0.0274745	0.0294417	0.0146895	0.00461555	0.0186984
n	0.0567665	0.206251	0.264549	0.1869	0.0975036	0.110965	0.0152046	0.00171403	0.00406394	0.00487693	0.00455095	0.00351769	0.00325011	0.00399977	0.0105685	0.00615667	0.00559249	0.0135689
d	0.171306	0.359277	0.337671	0.0555807	0.0172077	0.00124696	0.00453602	3.06263e-05	0.00172928	0.00559186	0.0069409	0.00470347	0.000666238	0.00210702	0.00548205	0.00219385	0.0137345	0.0099961
z	0.103306	0.137982	0.615325	0.0892984	0.00476479	0.000360745	0.00583968	0.000590192	0.00296222	0.00398659	0.00390291	0.00407388	0.000904429	0.00250971	0.00133021	0.00111559	0.0105272	0.0112208
é	0.204122	0.239418	0.376855	0.0845886	0.00929295	0.00192943	0.00401926	0.00265244	0.00848572	0.012688	0.00967659	0.012042	0.00190421	0.00359249	0.00100835	0.00294823	0.00951784	0.0152594
s	0.253225	0.247876	0.0801127	0.0863399	0.0733251	0.0441352	0.0451592	0.00512685	0.0264641	0.0164096	0.0189411	0.0209885	0.00605697	0.00781876	0.0024621	0.00749435	0.0114901	0.0465738
i	0.366323	0.19634	0.161997	0.0653097	0.0584124	0.0555221	0.0125731	0.00404065	0.00881739	0.0178692	0.0106217	0.00852835	0.00174934	0.00190594	0.000921211	0.00140291	0.00412501	0.0235409
b	0.0367711	0.0453496	0.068957	0.334728	0.182546	0.0971117	0.161857	0.013358	0.0183523	0.0108027	0.00725333	0.00314832	0.00190091	0.0033784	0.00353253	0.00460067	0.00148486	0.00486804
ó	0.146534	0.163414	0.147896	0.0675689	0.159238	0.0816456	0.119469	0.000589251	0.0108682	0.00405185	0.0141922	0.0136437	0.00598483	0.0135291	0.0256335	0.0104155	0.00622154	0.00910466
b	0.0702848	0.0409789	0.0570511	0.138193	0.12723	0.211022	0.243166	0.00973228	0.0452385	0.00590106	0.00876981	0.0055485	0.00767229	0.00503634	0.00741614	0.00998316	0.00353533	0.00324121
á	0.24779	0.235471	0.138203	0.124142	0.0597632	0.0237436	0.121445	0.00261212	0.00961836	0.00204124	0.00460713	0.00484496	0.00249759	0.00615115	0.00631185	0.0062769	0.00258381	0.00189782
a	0.0588404	0.17453	0.0717826	0.19158	0.232787	0.0961881	0.137282	0.00283433	0.00665981	0.00368455	0.0031496	0.00282259	0.000968663	0.00224854	0.00461339	0.00343027	0.0032119	0.00338653
p	0.00498774	0.00278881	0.00228048	0.0471264	0.0188964	0.00275229	0.13683	0.735511	0.012332	0.00952618	0.00194539	0.00134934	0.00114308	0.00122286	0.00203674	0.00160581	0.000264375	0.0174011
f	0.000293861	0.000249072	0.00031735	0.00782859	0.00457298	0.000437376	0.0110666	0.95805	0.00595706	0.000508213	0.000463179	0.000632999	0.000692371	0.000866553	0.000779575	0.000618499	9.83701e-05	0.00656785
u	0.00101695	0.000355808	0.000281858	0.00420371	0.00283664	0.000271132	0.00796983	0.963635	0.00778715	0.000553802	0.000651499	0.00103412	0.002261	0.000961862	0.00154408	0.000813579	6.23428e-05	0.00375946
