 	nous	ne	sommes	pas	encore	allés	en	ville	</S>
b	0.903602	0.0586222	0.0145904	0.0133621	0.000498034	0.000166457	0.00121362	0.00718343	0.000761525
í	0.718083	0.0684784	0.0977878	0.0713231	0.0317771	0.00243124	0.00835815	0.000757861	0.00100352
s	0.959354	0.0178642	0.0164818	0.00142338	0.00202201	0.000893947	0.00143124	8.69266e-05	0.000442461
í	0.856947	0.0423426	0.052769	0.00816872	0.0165119	0.00599812	0.00529414	0.00625606	0.00571202
l	0.504452	0.113728	0.109287	0.0312229	0.0275249	0.00698748	0.0189878	0.0142489	0.173561
ε	0.0474863	0.112526	0.141652	0.077084	0.0573784	0.0380341	0.0579782	0.133493	0.334368
s	0.00549049	0.105764	0.0483975	0.0440868	0.759918	0.0154735	0.00144871	0.00619968	0.0132216
έ	0.00130756	0.0863927	0.0915501	0.118167	0.657643	0.0267571	0.00333864	0.00685089	0.00799352
a	0.0164051	0.0847391	0.176746	0.272827	0.362747	0.0385421	0.0121438	0.00708236	0.0287672
n	0.0101808	0.0649985	0.153845	0.322549	0.231645	0.0827725	0.0623583	0.0443498	0.0273013
g	0.0577647	0.0304645	0.0152132	0.227962	0.174966	0.0115681	0.00712354	0.430443	0.0444942
y	0.038105	0.0184409	0.0100188	0.0303298	0.133494	0.0131499	0.00431282	0.73895	0.013198
ε	0.00284387	0.0250256	0.0149253	0.12007	0.0337538	0.12023	0.0349522	0.467856	0.180343
l	0.00094683	0.0139292	0.0220001	0.0799105	0.0221753	0.0558044	0.116818	0.296937	0.391478
έ	0.000782474	0.00624271	0.025096	0.0813842	0.00377824	0.157525	0.0772832	0.103302	0.544607
ω	0.0028763	0.0280033	0.0292665	0.249171	0.043776	0.170764	0.260557	0.0471019	0.168485
d	0.00020516	0.0114928	0.015692	0.0320452	0.0162045	0.218636	0.364265	0.157286	0.184174
z	7.8388e-05	0.00486119	0.00656516	0.00727485	0.0180019	0.319835	0.395032	0.0564042	0.191948
w	0.000701668	0.0131902	0.00563937	0.0361481	0.0116272	0.628021	0.232418	0.0084618	0.063793
a	0.0017205	0.00559176	0.00618546	0.0372512	0.00521074	0.401214	0.323373	0.042333	0.17712
k	0.000158353	0.00123402	0.00348787	0.0198773	0.00703002	0.0441987	0.120874	0.219771	0.583369
a	0.00541947	0.00190513	0.014154	0.0129417	0.00128365	0.018542	0.102242	0.122684	0.720829
á	0.00218657	0.000858652	0.00646868	0.00263495	0.000299443	0.00710933	0.0127321	0.0258808	0.94183
</S>	0.000542448	0.00755004	0.0181871	0.016353	0.0049444	0.0350939	0.0683097	0.0748524	0.774167
